AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2178|21733|1|Complete Movie|||25|01.09.2004 00:00|5.10|8|0|2
2178|44800|S1|Creator Commentary|||25|19.11.2005 00:00|8.17|1|0|2
2178|44801|S2|Background Gallery|||1|19.11.2005 00:00|3.27|1|0|2
2178|44802|S3|Character Gallery|||1|19.11.2005 00:00|3.27|1|0|2
2178|44803|S4|Designer Interview|||7|19.11.2005 00:00|8.97|2|0|2
2178|44804|S5|Director Interview|||15|19.11.2005 00:00|8.97|2|0|2
2178|40778|T2|Trailer 2|||2|-|8.26|2|0|2
2178|52025|T3|US Trailer|||1|-|1.44|1|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2178|21733|566|192767|208424936|bad0284c878e4ff946473ed619a83b8b|29a46ba24caed4f28526278cf2fb0a69|41ddad6dea1eebb6bfd5f479781460caf7678888|75619c5a|1543|10|very high|704x384|XviD|AC3|english|japanese|1|4097|2|mkv
2178|44800|566|192763|251175655|290522cb7aa083d5d45e1d2903dfff02|dde36952c8ff23e1a70721db0e4384d0|9fdef46b0d1b08db60c1f91fab3eadaa8067f6d9|1b9f6903|1468|10|very high|640x480|XviD|AC3|english|japanese|1|4097|2|mkv
2178|44801|566|192761|6789804|600273a7830bcdc60806bdd4074d15ee|ac50c3ec275e16eaf46a6619c077300f|ca6d5babb2f584d04b3b77de3332bf6d3666d880|e04e694f|73|10|very high|640x480|XviD|AC3||japanese|1|1|2|mkv
2178|44802|566|192762|6323180|bf4a04ae86c71b999594263c96717e50|0e2069f40deab038a04d2c9a018a7011|8df5b77a09b5a074221a75838075fd38bb196190|ae808c4b|69|10|very high|640x480|XviD|AC3||japanese|1|1|2|mkv
2178|44803|566|192765|81265530|c261a21eb049ad38b3057e378d0349ce|e56cbe76a592dbfdbd097075611024f2|5316f460afbb18af42a86739106eeee1e5da8d64|49874872|420|10|very high|576x416|XviD|AC3|english|japanese|1|1|2|mkv
2178|44804|566|192768|140747633|3ede3a2e5f61fcb97c3a535e60f592c4|4edf03c778a0d2dbb30fd3b636d15731|e663e7526dd06cb546ff9de422972224c0a1063b|f6bf17b9|642|10|very high|576x416|XviD|AC3|english|japanese|1|1|2|mkv
2178|40778|566|192764|10635570|9e950ef230b6f219d4a2e642818b2aa9|cc8570a2f8745ca5f8ea0e5dc526170a|c7e8c228bf77764672114807d11d6984b17296ea|9eac9111|98|10|very high|640x352|XviD|AC3||japanese|1|1|2|mkv
2178|52025|566|192766|8819230|a07f9a9fe7407eb5ea8ba6cb52760603|c3a9a9f814e4c290f89ee19808d7a386|98c225a39bebbd515ea9339c287cb4820d91bbf0|0469d9bc|66|10|very high|640x352|XviD|AC3||english|1|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
566|14954|Anime-Legion|A-L|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
127|Alternative Present|0|600
22|Asia|0|600
167|Demons|0|400
289|Earth|0|600
154|Horror|0|600
23|Japan|0|600
13|Mecha|0|400
275|New|0|600
8|Sci-Fi|0|400
244|Twisted|0|400


