AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2185|90227|1|Complete Movie|||100|29.09.2007 00:00|9.00|16|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2185|90227|6173|457122|3681407635|fb14c530ce04bd95237266f3523f253d|6d77ed764ab3dd0b5f88aae00fadaba0|163d625d866e6e45c9b1ee326262122e571ae591|019d5b84|6128|10|very high|1280x720|H264/AVC|DTS|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
6173|34205|Yoroshiku-THORA|Yoroshiku-THORA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
306|Adventure|0|400
464|Anti-War|0|200
423|Archery|0|200
22|Asia|0|600
343|Bishounen|0|200
17|Comedy|0|100
461|Debacle|0|300
537|Drugs|0|300
289|Earth|0|600
322|Feudal Warfare|0|300
497|Friendship|0|400
25|Historical|0|600
23|Japan|0|600
392|Kendo|0|100
20|Martial Arts|0|400
171|Military|0|300
78|Mina|0|600
275|New|0|600
466|Post-War|0|200
28|Samurai|0|400
348|Sengoku Period|0|600
429|Slavery|0|100
173|Swordplay|0|600
474|Thief|0|100
477|Toilet Humour|0|100
84|Violence|0|600
467|War|0|200


