AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
219|2549|2|Part 1 of 2|||60|01.09.2001 00:00|8.05|4|0|3
219|2550|3|Part 2 of 2|||60|01.09.2001 00:00|7.11|4|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
219|2549|670|39537|670876922|145c149e8adf9e4105dcd508da86a6f9|1247c81b0cbd93cf9060ec58f291511a|5d332785e430c3685bbab9de9f0fd01abc36ff5f|e8718a76|3331|10|very high|720x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
219|2550|670|38016|728789204|4547d0331c4abad1de2ed0084dcd52c3|641521bc59bf8cc70bfc4b098e97977c|098294e5caa2bbffe8d3906105c0610df9facd16|f355c423|3576|10|very high|720x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
GROUPS
GID|AGID|Name|ShortName|State
670|3723|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
205|Bounty Hunter|0|600
17|Comedy|0|200
253|Cyberpunk|0|300
12|Future|0|600
263|Gunfights|0|500
450|Mars|0|200
424|Nano Machines|0|200
275|New|0|600
128|Other Planet|0|600
233|Plot Continuity|0|200
459|Reverse Trap|0|200
8|Sci-Fi|0|400
79|Seinen|0|600
129|Shipboard|0|400
493|Terrorist|0|200


