AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
222|2614|1|In the Case of Mai Minase||In case of MINASE, Mai|45|20.06.2002 00:00|7.92|10|0|2
222|2616|2|In the Case of Yuki Aihara||In case of AIHARA, Yuki|30|19.09.2002 00:00|7.10|8|0|2
222|2615|3|In the Case of Kyoko Tohno||In case of TOHNO, Kyoko|30|12.12.2002 00:00|6.29|8|0|2
222|2617|4|Trismegistus||Trismegistus|30|10.04.2003 00:00|6.44|8|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
222|2614|925|47082|305133103|e5560deaa396ad730dba2c671327fa9b|b4fa5ddd717f2a726c6d2d65e3b66566|aeda49278f64bf38ffd1ce24cab53547aee32d13|00d35486|2711|10|very high|704x396|XviD|(HE-)AAC|english|japanese|1|1|2|mkv
222|2616|925|47081|190875151|f8fd3ee8676c4efe2d91f1cceb228f54|90b74342893d53d2e59b0389aa86032a|9cbd3a9cdf882b5aca053bd6abd89f01b124d646|19db9544|1671|10|very high|704x396|XviD|(HE-)AAC|english|japanese|0|1|2|mkv
222|2615|925|47083|200544865|c7748ab8563f285aba2f66d810970424|cfa6ca514826d54e536d67988c111b7a|e8bf8e8df06746e2dc74a01e4cded054e55dbbf4|152969e7|1809|10|very high|704x396|XviD|(HE-)AAC|english|japanese|0|1|2|mkv
222|2617|925|47084|271633467|e86d22910adee60f327f70e5cb68c40b|008a97f1ccb4846877a638b033ceb3d7|0573aedb99e65794538324aff0f4402585204a2b|5d254060|1835|10|very high|704x396|XviD|(HE-)AAC|english|japanese|0|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
925|5201|Baka-Anime|B-A|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
471|Christmas|0|200
161|Detective|0|500
289|Earth|0|600
12|Future|0|600
23|Japan|0|600
275|New|0|600
8|Sci-Fi|0|400
79|Seinen|0|600
130|Virtual Reality|0|100


