AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
229|2720|1|The Shooting Star She Saw||少女が見た流星|25|07.04.1995 00:00|6.96|5|0|3
229|3947|2|The Gundam Deathscythe||死神と呼ばれるG[ガンダム]|25|14.04.1995 00:00|6.35|2|0|3
229|3946|3|Five Gundams Confirmed||ガンダム5機確認|25|21.04.1995 00:00|5.82|3|0|3
229|3949|4|The Victorian Nightmare||悪夢のビクトリア|25|28.04.1995 00:00|4.12|3|0|3
229|3948|5|Relena`s Secret||リリーナの秘密|25|05.05.1995 00:00|5.24|4|0|3
229|4436|6|Party Night||パーティー・ナイト|25|12.05.1995 00:00|4.24|2|0|3
229|4734|7|Scenario for Bloodshed||流血へのシナリオ|25|19.05.1995 00:00|5.47|2|0|3
229|4732|8|The Treize Assassination||トレーズ暗殺|25|26.05.1995 00:00|3.75|2|0|3
229|4730|9|Portrait of a Ruined Country||亡国の肖像|25|02.06.1995 00:00|3.55|2|0|3
229|4736|10|Heero, Distracted by Defeat||ヒイロ閃光に散る|25|09.06.1995 00:00|4.46|2|0|3
229|4735|11|The Whereabouts of Happiness||幸福の行方|25|16.06.1995 00:00|4.46|2|0|3
229|4733|12|Bewildered Warriors||迷える戦士たち|25|23.06.1995 00:00|4.46|2|0|3
229|4731|13|Catherine`s Tears||キャスリンの涙|25|30.06.1995 00:00|2.18|3|0|3
229|4729|14|The Order to Destroy 01||01[ゼロワン]爆破指令|25|07.07.1995 00:00|4.16|1|0|3
229|4728|15|To the Battleground Antarctica||決戦の場所南極へ|25|14.07.1995 00:00|2.88|1|0|3
229|4727|16|The Sorrowful Battle||悲しき決戦|25|21.07.1995 00:00|1.99|1|0|3
229|5256|17|Betrayed by Home, Far Away||裏切りの遠き故郷|25|28.07.1995 00:00|4.33|3|0|3
229|5255|18|Tallgeese Destroyed||トールギス破壊|25|04.08.1995 00:00|4.46|2|0|3
229|5254|19|Assault on Barge||バルジ強襲|25|11.08.1995 00:00|5.23|2|0|3
229|5260|20|The Lunar Base Infiltration||潜入, 月面基地|25|18.08.1995 00:00|7.82|2|0|3
229|5259|21|Grief-Stricken Quatre||悲しみのカトル|25|25.08.1995 00:00|5.45|3|0|3
229|5258|22|The Fight for Independence||独立を巡る戦い|25|01.09.1995 00:00|6.04|2|0|3
229|5257|23|Duo, The Great Destroyer Once Again||死神に戻るデュオ|25|08.09.1995 00:00|4.46|2|0|3
229|6574|24|The Gundam They Called Zero||ゼロと呼ばれたG[ガンダム]|25|22.09.1995 00:00|6.28|2|0|3
229|6573|25|Quatre vs. Heero||カトルVSヒイロ|25|29.09.1995 00:00|6.04|2|0|3
229|6572|26|The Eternal Flame of the Shooting Stars||燃えつきない流星|25|06.10.1995 00:00|2.95|2|0|3
229|6571|27|The Locus of Victory and Defeat||勝利と敗北の軌跡|25|13.10.1995 00:00|1.75|5|0|3
229|6570|28|Passing Destinies||すれ違う運命|25|20.10.1995 00:00|1.92|2|0|3
229|6569|29|The Heroine of the Battlefield||戦場のヒロイン|25|27.10.1995 00:00|3.55|2|0|3
229|6568|30|The Reunion With Relena||リリーナとの再会|25|03.11.1995 00:00|5.23|2|0|3
229|6567|31|The Glass Kingdom||ガラスの王国[サンクキングダム]|25|10.11.1995 00:00|4.46|2|0|3
229|6566|32|The Great Destroyer Meets Zero||死神とゼロの対決|25|17.11.1995 00:00|5.23|2|0|3
229|7080|33|The Lonely Battlefield||孤独な戦場|25|24.11.1995 00:00|3.75|2|0|3
229|7081|34|And Its Name is Epyon||その名はエピオン|25|01.12.1995 00:00|6.04|2|0|3
229|7076|35|The Return of Wufei||ウーフェイ再び|25|08.12.1995 00:00|3.75|2|0|3
229|7077|36|Sanc Kingdom`s Collapse||王国[サンクキングダム]崩壊|25|15.12.1995 00:00|5.47|2|0|3
229|7078|37|Zero vs. Epyon||ゼロVSエピオン|25|22.12.1995 00:00|5.23|2|0|3
229|7079|38|The Birth of Queen Relena||女王[クイーン]リリーナ誕生|25|12.01.1996 00:00|3.15|3|0|3
229|7082|39|Trowa`s Return to the Battlefield||トロワ戦場へ帰る|25|19.01.1996 00:00|5.47|2|0|3
229|7083|40|A New Leader||新たなる指導者|25|26.01.1996 00:00|5.71|2|0|3
229|5867|41|Crossfire at Barge||バルジ攻防戦|25|02.02.1996 00:00|6.52|2|0|3
229|5866|42|Battleship Libra||リーブラ発進|25|09.02.1996 00:00|5.23|2|0|3
229|5865|43|Target: Earth||地上を撃つ巨光[オーロラ]|25|16.02.1996 00:00|5.47|2|0|3
229|5864|44|Go Forth, Gundam Team||出撃Gチーム|25|23.02.1996 00:00|6.04|2|0|3
229|5863|45|Signs of the Final Battle||決戦の予感|25|01.03.1996 00:00|6.84|2|0|3
229|5951|46|Milliardo`s Decision||ミリアルドの決断|25|08.03.1996 00:00|6.04|2|0|3
229|7603|47|Collision in Space||激突する宇宙|25|15.03.1996 00:00|7.30|2|0|3
229|7604|48|Takeoff Into Confusion||混迷への出撃|25|22.03.1996 00:00|2.65|4|0|3
229|7605|49|The Final Victor||最後の勝利者|25|29.03.1996 00:00|2.34|4|0|3
229|12034|C1|Opening 1a|||2|07.04.1995 00:00|6.67|2|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
229|2720|566|26113|236917946|f7175711408f9fae369c1007ce45c6b2|dd5002be9ebd04d16f5ce1f6aa5b7ab7|d1d9915142a7d7611f71ff48498f3122857ccc83|142b8ee8|1258|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|3947|566|26115|236529486|63a2fca02a032e715dd76d99fa480b1f|492b8a08aaeba9b5bb1e917e612039a8|20929665812e1256f4ee1267a48082ce4a6daa0c|948e7d77|1258|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|3946|566|26116|236965391|da9834538d628d54f1f03664c2b07355|9a0a59a8c88195a887ba84104ca61d4c|4e73cadd3c6d4347753eed924ffc58aa224f54e5|6d479702|1258|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|3949|566|26114|236904986|be92ea04697ced5286e7f56e58358ed3|f31a544de57deedaed33bd5601baf71b|cc0fefad5f20a09ffe7c763fa1033db2ac753009|962621cb|1258|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|3948|566|26112|237409694|4604a7923a42689e5a3ab645906bb162|e5c32f069d05d321d119177af79414c1|4281293a3b397b02e3eba4752174afce6a3b33c0|53aa072e|1258|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4436|566|26399|236673477|274bb6025547a10b67e78f59547afffc|7bffaa76e0c80e2561e1ac162e1d34c9|c61c7afdd0878a51426facebd48355890e35e587|2396dd10|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4734|566|26397|237280907|318c2bf31af6c94314ce1a89427e3a96|99c58acd2751aee8d359a4299a532c49|5f6a7148af5f5d4b36afa4da7dec3206efddc3dd|2c766ffb|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4732|566|26398|236918636|cea29b55a09ddadfe09b5c5d2195db4b|c8333cd4efdd163ee3a19a5cc114452e|93ee7b56b930f1580612734bc1d24b3d977dd258|c2266818|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4730|566|26401|236327309|57825c8f865f8d877d2540da65b5491d|e8466626cb98bfbb3566522d793fed45|778637dfbef40f5f535695b91eb5892013ae46e1|46edf76a|1256|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4736|566|26400|236869131|843021902e44376ceebcbb42598fa1b2|a6d1273e88dff164f645c61288744a22|e0bad2a0e811620fc492ae4914b22abdd7375931|5e3fa399|1256|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4735|566|27938|236654480|7a988c1f72ce96e0a1e5e2c67788c797|9c9236ffefe4f4c5a3e8ed4f1a1cc40a|2814909156180ac1196d6bc805c86dea76f3dff6|4a46d09f|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4733|566|27944|236307938|40e170bbe7aaff2938d7003fabc19e04|df11b486727f194dc55812a626928a04|5835f932281d0458f28883b2f84a880f07db05a3|5cf893f6|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4731|566|27939|236024196|f01a24bb31527a452168ecf03ee591e8|cdc9a73723377a307686f7d26964f0c3|76e580e26a074130b4ff8cbe20495373f0c06770|dba602d0|1256|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4729|566|27935|236690883|558f12e4f546e970d31e897d76c8b0be|04eb73a672a934150d064dc1186bb12b|2f1fb8102a4f73ccd6f83a2af1fcd02ea1cb3aac|3bda255e|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4728|566|27941|236668213|0d956cf03974a67d4e1a0542f1d7c008|7da3b49af39bbc95cb0da1bad1cb604b|eec22cebeb45291650df8c494c773108737742f3|d5ec361e|1256|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|4727|566|27942|237256087|c662a92923aa0441a09592ab661e624d|f4b908769d73e289c1b7dcdb8cbda6c7|7b91ce865c2ca705d0c7d0e6d243e90a628a664c|1ca327a0|1257|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|5256|566|27940|236518733|a0707fb0eced8ca5c189aac86d57c6e8|1378873601f035d60a7884083f90b959|4d295c09e4b83b98d554958928bc90e0f0238b50|5082c0c1|1256|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
229|5255|566|27936|236808958|5d627e429a9b02e7890a497820fc91f9|8f1e05ab9b584d0548b9de8868ebf1fc|f66a49b47fa9a9f53a4ca0180f40b740b84263dc|a9b4e1cf|1256|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
