AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2321|27289|1|Complete Movie|||90|23.12.2004 00:00|5.37|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2321|27289|670|322230|993761333|3f5b75e747ea96ac422043f12d4f8e6b|6ae56ed7c795f9f7ceaa5aea74b3baf0|d82b3fa8a47aedb9d42403f1e11245c508d58847|21b39d78|5274|10|very high|720x480|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
670|22483|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|400
126|Alternative History|0|600
22|Asia|0|600
17|Comedy|0|300
167|Demons|0|400
289|Earth|0|600
15|Fantasy|0|400
23|Japan|0|600
230|Love Polygon|0|300
209|Parallel Universe|0|400
10|Past|0|600
198|Romance|0|300
5|Shounen|0|400
18|Super Power|0|500
173|Swordplay|0|500


