AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
233|2763|1|A Devastating Wish||謎のDB(ドラゴンボール)出現!! 悟空が子供に!?|25|07.02.1996 00:00|4.19|11|0|2
233|2793|2|Pan Blasts Off||主役は私! パン宇宙に飛び立つ!!|25|14.02.1996 00:00|4.37|7|0|2
233|2759|3|Terror on Imecka||超ガメツイ!! 商人の惑星イメッガ|25|21.02.1996 00:00|3.70|6|0|2
233|2790|4|The Most Wanted List||ウォンテッド!! 悟空が指名手配!?|25|28.02.1996 00:00|1.74|5|0|2
233|2756|5|Goku vs. Ledgic||強いヤツ見っけ!! 用心棒レジック|25|06.03.1996 00:00|1.74|5|0|2
233|2786|6|Like Pulling Teeth||ちょっとイテエぞ!? 悟空の歯医者|25|13.03.1996 00:00|1.34|5|0|2
233|2752|7|Trunks, The Bride||愛しのハニー!? 花嫁はトランクス|25|20.03.1996 00:00|1.34|5|0|2
233|2781|8|Whisker Power!||悟空もドッカン!! おヒゲパワー全開|25|17.04.1996 00:00|2.11|5|0|2
233|2747|9|Lord Luud||シマッタ!! 悟空飛び込む罠の星!?|25|24.04.1996 00:00|1.34|5|0|2
233|2787|10|Dance and Attack||踊ってアタック!? ボンパッパー!!|25|01.05.1996 00:00|1.31|5|0|2
233|2753|11|Lord Luud`s Curse||ルードの呪い!? 人形にされたパン|25|08.05.1996 00:00|2.20|5|0|2
233|2782|12|The Last Oracle of Luud||神のお告げは超迷惑!! ルード機動|25|15.05.1996 00:00|1.84|5|0|2
233|2748|13|The Man Behind the Curtain||こいつが親玉!? 謎の科学者ミュー|25|22.05.1996 00:00|1.56|5|0|2
233|2777|14|The Battle Within||リズムでバッチリ!? ルード攻略!!|25|05.06.1996 00:00|1.56|5|0|2
233|2745|15|Beginning of the End||もうグレてやる!! パンの家出!?|25|12.06.1996 00:00|1.84|5|0|2
233|2775|16|Giru`s Checkered Past||マシン惑星M2... 裏切りのギル|25|19.06.1996 00:00|2.20|5|0|2
233|2742|17|Pan`s Gambit||パンにおまかせ! 悟空救出作戦!!|25|26.06.1996 00:00|1.63|3|0|2
233|2772|18|Unexpected Power||データにゃないぜ! 悟空の超本気|25|10.07.1996 00:00|1.63|3|0|2
233|2738|19|A General Uprising||出陣!! 最強ミュータント・リルド|25|17.07.1996 00:00|2.17|3|0|2
233|2766|20|The Source of Rilldo`s Power||たまげたぞ!! 悟空を襲う金属津波|25|31.07.1996 00:00|2.17|3|0|2
233|2796|21|A Secret Revealed||何てこった!! 金属板になった悟空|25|14.08.1996 00:00|2.17|3|0|2
233|2762|22|The Baby Secret||暴かれた野望!! 邪悪生命体ベビー|25|21.08.1996 00:00|4.51|2|0|2
233|2792|23|Hidden Danger||隠された危機!? 難破船と謎の少年|25|28.08.1996 00:00|4.27|3|0|2
233|2758|24|Discovering the Truth||ベビー逆襲!! 狙われたサイヤ人!!|25|04.09.1996 00:00|4.96|2|0|2
233|2789|25|Baby`s Arrival||大変だ!! 地球にベビーが現れた|25|16.10.1996 00:00|4.96|2|0|2
233|2755|26|Saiyan Hunting||悟飯と悟天... 最悪の兄弟ゲンカ!?|25|30.10.1996 00:00|4.96|2|0|2
233|2784|27|The Attack on Vegeta||野望完成!? 乗っ取られたベジータ|25|06.11.1996 00:00|2.20|2|0|2
233|2750|28|A Worldwide Problem||悟空帰る... 地球は全部オラの敵!?|25|13.11.1996 00:00|3.42|4|0|2
233|2779|29|The Fall of the Saiyans||超ヤバイ!? 超サイヤ人3敗れる!!|25|27.11.1996 00:00|1.56|3|0|2
233|2743|30|The Game After Life||悟空消滅!? オラは死んじまっただ|25|04.12.1996 00:00|1.40|3|0|2
233|2773|31|Collapse from Within||アッと驚く!? スゴロク空間大崩壊|25|11.12.1996 00:00|1.48|3|0|2
233|2739|32|The Return of Uub||悟空を返せ!! 怒りの戦士ウーブ|25|08.01.1997 00:00|2.46|4|0|2
233|2769|33|The Tail`s Tale||くらえベビー! 新生ウーブ必殺光線!!|25|15.01.1997 00:00|1.93|3|0|2
233|2799|34|Back in the Game||変身失敗!? 悟空の大ザル大暴れ!!|25|22.01.1997 00:00|5.09|4|0|2
233|2767|35|Goku`s Ascension||最強!! 悟空が超サイヤ人4に!!|25|29.01.1997 00:00|3.38|3|0|2
233|2797|36|The Tuffle Gorilla Attacks!||不死身の怪物!? 凶悪大ザルベビー|25|05.02.1997 00:00|1.56|3|0|2
233|2764|37|Old Kai`s Last Stand||壮絶!! ベビーと悟空ダブルKO!!|25|12.02.1997 00:00|2.64|3|0|2
233|2794|38|Family Bonds||みんなの力で... 超サイヤ人4復活|25|19.02.1997 00:00|3.38|3|0|2
233|2760|39|Baby Put to Rest||これで最後だ! ついにベビー消滅|25|26.02.1997 00:00|3.14|3|0|2
233|2785|40|Piccolo`s Decision||地球爆発!! ピッコロの重大な決意|25|05.03.1997 00:00|3.74|3|0|2
233|2751|41|Curtain Call||天下一武道会 サタンの後継者は誰|25|12.03.1997 00:00|3.14|3|0|2
233|2780|42|A Dangerous Union||死ね悟空!! 地獄から蘇る強敵たち|25|16.04.1997 00:00|3.38|3|0|2
233|2746|43|The Resurrection of Cell and Frieza||地獄の魔戦士! セル&フリーザ復活|25|23.04.1997 00:00|4.96|2|0|2
233|2776|44|17 Times 2||究極の人造人間! 二人の17号合体|25|30.04.1997 00:00|4.96|2|0|2
233|2744|45|Piccolo`s Best Bet||急げ悟空!! 地獄からの脱出大作戦|25|14.05.1997 00:00|3.18|2|0|2
233|2774|46|Raising the Stakes||激突!! スーパーサイヤ人4 VSスーパー17号|25|28.05.1997 00:00|2.20|2|0|2
233|2740|47|The Greatest Surprise||大逆転! 悟空と18号の二段攻撃さく裂|25|04.06.1997 00:00|4.96|2|0|2
233|2770|48|The Shadow Dragons||これはビックリ! 神龍が敵に?!|25|11.06.1997 00:00|4.96|2|0|2
233|2736|49|The Two-Star Dragon||最強の敵?! 恐怖の裏ワザを使う龍|25|18.06.1997 00:00|4.51|2|0|2
233|2765|50|The Five-Star Dragon||サイヤパワー玉砕!? 電気獣五星龍(ウーシンロン)|25|25.06.1997 00:00|2.85|2|0|2
233|2795|51|The Six-Star Dragon||六星龍(リュウシンロン)! 大竜巻攻撃の弱点を探せ|25|02.07.1997 00:00|6.53|2|0|2
233|2761|52|The Seven-Star Dragon||パンあぶねぇ! 七星龍(チーシンロン)のとっておき|25|09.07.1997 00:00|4.51|2|0|2
233|2791|53|Saying Goodbye||パンが消滅!? 涙の10倍かめはめ波|25|16.07.1997 00:00|4.51|2|0|2
233|2757|54|The Four-Star Dragon||摂氏6000度のパワー! 太陽の戦士|25|06.08.1997 00:00|1.98|2|0|2
233|2788|55|The Heart of the Prince||ブルマ動く! ベジータ改造計画|25|13.08.1997 00:00|2.20|2|0|2
233|2754|56|The Three-Star Dragon||太陽の次は極寒! 炎と氷の兄弟龍|25|20.08.1997 00:00|3.18|2|0|2
233|2783|57|The One-Star Dragon||強さ圧倒的!! 邪悪龍を支配する龍|25|03.09.1997 00:00|4.96|2|0|2
233|2749|58|Shadow Dragons Unite||反撃開始! スーパーサイヤ人4を超えろ|25|10.09.1997 00:00|4.96|2|0|2
233|2778|59|Super Saiyan 4 Vegeta||敵か味方か...大猿ベジータ大暴れ|25|17.09.1997 00:00|6.53|2|0|2
233|2741|60|Super Saiyan 4 Fusion||フュージョン!! 究極のスーパーゴジータ|25|22.10.1997 00:00|4.51|2|0|2
233|2771|61|The Limits of Power||絶対勝つぞ! 四星球(スーシンチュウ)を食った悟空|25|29.10.1997 00:00|3.18|2|0|2
233|2737|62|Rescue Goku||悟空を救え! 最後の味方登場|25|05.11.1997 00:00|1.45|2|0|2
233|2768|63|Universal Allies||奇跡の逆転勝利!! 宇宙を救った悟空|25|12.11.1997 00:00|3.74|3|0|2
233|2798|64|Until We Meet Again?||さらば悟空...また逢う日まで|25|19.11.1997 00:00|6.52|4|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
233|2763|108|125549|28181|9157d2567060be62725f1df16362a910|29ecee8aa6a2481c5b7f36bc9dded3ae|6b6fd5c8fd8fbced25f9742f0c09179cdad0b9b2|63420b6b|0|20|very high|0x0|||english||1|1|2|ssa
233|2763|108|83636|241288316|a1ec05f23a67bd516161482f9f2b88d0|74dbbfee4cf5c5baa7700fe4e40e5f86|56a98779b02f1ba19d0e64325885ad63ce36a0b6|262f00d7|1248|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2793|108|125553|28152|fa84b21b46e5876cbad1ecc7d5bba426|6091526533871c4386e91c47f14b03b9|7f7ec95aa24063513b3818885cb3c86eb82888c8|50216d99|0|20|very high|0x0|||english||1|1|2|ssa
233|2793|108|83637|241981432|2379c39daf36a702508a3dcbbda4c16f|a3a6a1d21ad59efb0dfbf78f85a09f54|7950c575533b8322c2570718c4a8b830a8cde1a6|ce72c6cb|1173|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2759|108|125554|25244|52229bed71dba6dcf4c4aa566ac4e08c|81769dbf6549a578d9eb7544f95b2b71|45c958318d7bf41990bf20937824eb883db83c38|bdec74ab|0|20|very high|0x0|||english||1|1|2|ssa
233|2759|108|83041|242388986|3f0e26ce32cb67b47f282f59f9c233af|28ac4b5a44f3b27213b1552eee13fcce|354826c9901e844a744638b3c4c9591716a82d0b|23c1e38f|1177|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2790|108|125555|21140|29546232a8b151a5c03ee689b6a5fbc6|6b6fb02c5cd4f9ab103c879530a30898|2d518a0998ec15ce0e8791c95806d375f8a5a0ee|0fcecc02|0|20|very high|0x0|||english||1|1|2|ssa
233|2790|108|98063|233622309|f8ef24812e66b9b49bb9eed7d7864a05|afb2b6df194ad98a92d1bec535e1d773|3ff02a3297033821b8eb085e8f00bc1ccbe347ff|11ede05f|1158|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2756|108|125556|22825|811d1c1c35713e5731abbb075f07a7f6|eeefe9340723a01577daa7c704c08fe9|c814529bdd83f3ec679a5f7248a8c0f9d49e5c4c|aea9c8a5|0|20|very high|0x0|||english||1|1|2|ssa
233|2756|108|98064|225301537|1cfbe7ec2294df06f18071614f2d5836|eef5de7146ddd010bf61e5777350ad0d|ebb3d3fb5b961bd274c70e0e05ccee83e14f995a|e8cbade3|1154|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2786|108|125557|21587|4f76c8de1b7e57fa1f58a8ceec798bf2|4810abea2ce2162bbaa7002887cd40db|6ee789059cc10de2596543cedf740e33b40f4438|31502a0c|0|20|very high|0x0|||english||1|1|2|ssa
233|2786|108|98065|241681306|55d4ed3a1affec3b853dd2795111aede|3229c9c019df65a560c54a4ecdd644b0|929f85c9e152ad2e1425db921af7285bf8e7f54e|26b955b6|1170|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2752|108|125558|24708|1fe9ac46973a72a39cda14740703fce3|e831cd695cb902b0a6d25f0d1d47fd57|0b2d1942f1109273410029bac9b595f0c690da33|d03bf476|0|20|very high|0x0|||english||1|1|2|ssa
233|2752|108|98067|216816558|dcd5d6c0334858e4a25118269ebb7603|d65a20089bf3ef9610eeb2fc1a075350|a01d57ad6ad2018340525fe87661567314a364bd|da9be252|1170|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2781|108|125559|24472|d22e9787a1971606f41def68b93f5e08|038328f3e9ae6b156a9d8ae948105b24|98a4b9c5c21d2ad9fc1e797eab69aa7326d04794|24cea309|0|20|very high|0x0|||english||1|1|2|ssa
233|2781|108|98773|241524532|1b6c40814af0b7e9199ae0acf4078a66|3d0326ec57c4dc8b6ef09bfc56a4a53a|02d09cc92a33986d689beaaa66e7ad385db2be89|d0bcc752|1170|10|high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2747|108|127483|17154|8026463419943cc209079c1d5ba2aa55|8e237e4721b33cb3eedac0fa8ade43b9|5f6e2c40c02f9b7e9ae03c058a68354bb6192e6b|1baa651f|0|20|high|0x0|||english||1|1|2|ssa
233|2747|108|126914|234508023|e1b51ba1124deff11da5471116fe66a8|c400b214327591da614fb6d1753a7080|079a4f43b28e7e5713c08333d26d1f58442f5323|254ac58f|1126|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2787|108|127555|20219|5d296eeca456bd84874ef3e55d898efc|5f077196b42f5629c3fbb9fc90ec9f3e|0f75d70c012703cd9e9657fdf02ff45a60bb5912|a271043b|0|20|very high|0x0|||english||1|1|2|ssa
233|2787|108|127554|244315536|398226953a892b2242976a42faa75e66|b59cb9b27230da2fa6a47d7870407d5c|8dff9f1cdc6d693371bf6aed04eaa84101ea400e|1613f28b|1134|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2753|108|132109|25707|d47ae3abd99e707f59d598a3152dd006|89601b4d3217832085e330c466cdeca9|d1e9519782b4d8e427f01b040222c8ebe174151e|93bbaa4e|0|20|high|0x0|||english||1|1|2|ssa
233|2753|108|132108|237065183|72f90c1d47fc868db8c281ac6597f52d|560e43ef66fe2f1a7acd95855fd5aac4|ee6be0c682fd6db660ebd6274c701dbce495a3e7|ca262da0|1178|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2782|108|136675|17521|a24295bf83c35e78d0c132dc1435cde7|26f11efe74faac0abc3e72e6182ef095|b4b3ffae7d2bf366bf005743d588b0e39fcc5141|d273fe90|0|20|very high|0x0|||english||1|1|2|ssa
233|2782|108|136674|245792058|83cab1fb226b2a5738d4ff12ce1f6ea0|48eecde6eeb610fcff9c7b9e1791926f|14e001dee1062504be434cc36dc09239484157d4|6faeb50f|1126|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2748|108|136677|17788|83370a158649c9b6b5e93a72b2bc2a8d|67ce41d4e2a59589c2ff207a4c18bc2e|50b7bccdcf1250ada03fae4e5d39e5e3a6e83c51|97d301d3|0|20|very high|0x0|||english||1|1|2|ssa
233|2748|108|136676|244355595|6dcfb036c8d9507d781d784ce7b30b96|a2508e543bec20c87c0d2188834bce20|6f8abcecc1c61b6a71903419f60df00a18c87282|6b508523|1150|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2777|108|141458|23320|104a54b5d5f6debab8b0c3327969e80d|5b985688dbe618df248aaa11d4a3fc55|4bb2445072e35f8d7ab9c896b8f97662955f981b|fa150cf1|0|20|very high|0x0|||english||1|1|2|ssa
233|2777|108|141457|226929870|99b124070415102aee58577de0b32e2b|ee025f160fabb839cb1f735b903e3b4a|910b5af60d394c60c714759e6e0409423304beb1|f2ddd3ac|1138|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2745|108|141461|19473|14e34e592417365ecc99c56903edcb81|18eb33e052e8dbee98bbb6244ecc567f|b7f24615ac85ac90bee76af179d0809b4941e95b|393bff32|0|20|very high|0x0|||english||1|1|2|ssa
233|2745|108|141460|212018012|79acde51d6566256562531d091eef06f|8b41cae4db4e5f14f8bd9d2ff2491c43|2a24fa46a04e57e7d6f9388f354a2f0b6012362b|5517184b|1170|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
233|2775|108|145562|20701|190aaf3f2a654a9dd66c3e6a9c04594a|f7b296a0ac267ffe0506b1e758d9bee1|6575bf403c984bad1c2ba7c196c67fbdb234a465|c0183300|0|20|very high|0x0|||english||1|1|2|ssa
233|2775|108|145561|243592018|39d141a5ad15c2727d1e762d5c5065f9|5890b0e9df98f2e61496ecade2de3ecf|14e023e80e11dff2ec2032357c5f7dfcd6695cbd|3b76398e|1150|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
