AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2359|35316|1|Complete Movie|||105|23.07.2005 00:00|7.20|27|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2359|35316|374|208354|1300716785|fbb6157d1d836fcf6bec4126e78c2b4c|46bf3e323aff66bcc53f748558cde05a|80c5d73bbdd4d3426bfc98bfba5dac4f70bc3b27|ea07d24e|6296|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
374|16020|KickAssAnime|KAA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
17|Comedy|0|100
183|Contemporary Fantasy|0|200
289|Earth|0|400
279|Europe|0|400
15|Fantasy|0|300
291|Fantasy World|0|200
27|Germany|0|400
263|Gunfights|0|200
25|Historical|0|400
175|Magic|0|200
273|Manga|0|600
171|Military|0|400
209|Parallel Universe|0|200
10|Past|0|600
466|Post-War|0|300
5|Shounen|0|600
84|Violence|0|400


