AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
242|2839|1|Sex Alone, Sex Together||ひとりエッチ ふたりエッチ|30|26.07.2002 00:00|6.71|8|0|2
242|3956|2|Kiss Kiss Kiss||キス キス キス|30|27.09.2002 00:00|5.76|6|0|2
242|13745|3|White Lovers||ホワイト ラヴァーズ|30|27.11.2003 00:00|4.38|6|0|2
242|14205|4|Yura in costume||優良 イン コスチューム|30|22.01.2004 00:00|3.30|6|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
242|2839|102|33468|244267008|3c9ae9a4a218f8be0433ecfa439090c8|35fa3fef1de64270210549ba39cb0403|e0274b78f444701d65958c601dc1055a579ca4c0|2b2ba585|1641|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
242|3956|102|33476|244299776|c8e61ae8ae9dad82704d40d1ee77ec0c|cb9aeb9baa47f39cbf5e8d87971531d2|b47aee6ec1388b7c31bc883b8b5802d77e72cc06|137329d8|1594|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
242|13745|102|33787|244303872|c88563cedeb2942107e102e95bd79b0f|338cab66e3b92e37bdfd841a26e309f2|afed1cce8c18e761b0933c12acf51abc69a8940f|242bd00e|1573|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
242|14205|102|38944|243677184|a71cb55aa64c24e5315d6e68cb7cae72|5fb11d0f9a0d992c217f759caee19ca1|17300e50499cc7d3697b06083cd49631e65e4cc6|2941fe8c|1543|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
102|2881|The Triad|Triad|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
547|Borderline Hentai|0|600
369|Breast Fondling|0|100
17|Comedy|0|400
470|Cosplay|0|200
236|Daily Life|0|400
289|Earth|0|600
282|Ecchi|0|600
498|Furo Scene|0|200
301|Housewives|0|400
23|Japan|0|600
52|Large Breasts|0|300
108|Maid|0|100
273|Manga|0|600
404|Naked Apron|0|100
88|Nudity|0|400
312|Office Lady|0|100
283|Pantsu|0|300
233|Plot Continuity|0|200
11|Present|0|600
198|Romance|0|200
79|Seinen|0|600
86|Sex|0|400
409|Sexual Fantasies|0|400
401|Sex While on the Phone|0|100
250|Waitress|0|200


