AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2452|22830|1|CHI-SA-TO||千紗都|30|25.11.2001 00:00|8.83|2|0|2
2452|22831|2|KUU||空|30|25.02.2002 00:00|9.51|2|0|2
2452|22832|3|KU-MI-KO||久美子|30|25.08.2002 00:00|10.00|2|0|2
2452|22833|4|HI-NA-MI||日奈美|30|24.07.2003 00:00|7.20|2|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2452|22830|3085|211580|254323507|56e336edb1cb1e7a86c1f6f9886ec619|06313f7bf5b3f3da018b2992fb883fcc|eadbdfdda88da62141472319f0196b3aa99adc75|c8bdbc6c|1675|10|high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
2452|22831|3085|211671|255095819|36fc13dae6e426910b24f0ee894acb1a|50db99e1ce704ad5a0fe03cfba7aac70|70f9a62f55d14f883355c7ab93ab520c6f29a6f8|620092cb|1762|10|high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
2452|22832|3085|216682|253811593|40368b02e76ec7cfa6ddbee507ee0f37|c1a9a56da0fbb2da9c4da2041c49771e|0de80f7fb2d7ef1f669e2d7de4e69a43fd732adf|febcf2f8|1605|10|high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
2452|22833|3085|216684|178376313|3a2d219308ca11ef520fe1d7e32eba43|7b8ada32447a818ae253f575a17d297b|c5683dc5d7bc7ec99f9e5a5d50583e0ef1d8f0d8|6b50fb17|1623|10|high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|16225|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
22|Asia|0|600
57|Bondage|0|300
65|Dildos - Vibrators|1|200
289|Earth|0|600
271|Erotic Game|0|600
301|Housewives|0|200
23|Japan|0|600
108|Maid|0|100
34|Masturbation|0|400
11|Present|0|600
33|Rape|1|100
198|Romance|0|100
86|Sex|0|600
111|Strapon|1|300
47|Torture|0|100
480|Uncensored Version Available|1|600
61|Virginity|1|400
37|Yuri|1|100


