AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2476|23648|1|Volume 1|||30|25.09.2004 00:00|3.41|7|0|1
2476|25007|2|Volume 2|||30|25.11.2004 00:00|4.06|5|0|1
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2476|23648|566|187067|354504487|4795e42ecf05bbe173604a0f3dc2260d|9c7ba2f3b23878c5d6bd9e0ee0e8d7d4|6fc1cb669d0816234b6775ad657726afa795ca7e|8a121e23|1701|10|very high|640x480|XviD|(HE-)AAC|english|japanese|1|4161|1|mkv
2476|25007|566|187066|374853918|895a7409c3cee0d170375fa925a870f9|35859032a1af0c748fc23df6a0a0c043|7c839ecb24cfd1f605717ecaebd6487457d2b71a|a1fa3db0|1809|10|very high|640x480|XviD|(HE-)AAC|english|japanese|1|4161|1|mkv
GROUPS
GID|AGID|Name|ShortName|State
566|14651|Anime-Legion|A-L|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
170|Angel|0|600
17|Comedy|0|100
271|Erotic Game|0|600
60|Female Student|0|400
52|Large Breasts|0|300
11|Present|0|600
33|Rape|1|400
86|Sex|0|600
56|Tentacle|0|200
480|Uncensored Version Available|1|600


