AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2514|23047|1|Volume 1|||30|15.06.2001 00:00|5.61|2|0|2
2514|23048|2|Volume 2|||30|14.09.2001 00:00|5.61|2|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2514|23047|874|69089|238633087|baa760227ae495b00377d4cd476cd33a|410d94b7f42eac8df83b70108731582b|8ff659f5258bca9419a8ab84d235f7cbd4b97999|86b34f66|1869|10|high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
2514|23048|874|69088|177236167|79c910b632fe718764c87c734a999c92|afdaf0ff144f73626fc5e8b3143b198b|8f1bd976ba7351172087567e3f89465864e10fa2|d26068ee|1781|10|high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
874|8222|AnimeSkyScraper-Hentai|ASS-Hentai|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|400
57|Bondage|0|400
293|Dating Sim - Visual Novel|0|600
65|Dildos - Vibrators|1|200
271|Erotic Game|0|600
269|Game|0|600
23|Japan|0|600
11|Present|0|600
33|Rape|1|400
21|School Life|0|400
86|Sex|0|600
47|Torture|0|400
480|Uncensored Version Available|1|600
37|Yuri|1|400


