AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2656|66029|1|Revenge||Number Two|30|04.01.2007 00:00|4.76|21|0|2
2656|66449|2|The Dream Reader||OKIKU|25|11.01.2007 00:00|5.45|12|0|2
2656|66450|3|The Empty Seven Clan||THE EMPTY SEVEN CLAN|30|18.01.2007 00:00|3.31|11|0|2
2656|66451|4|Duel||KUMA|30|25.01.2007 00:00|4.43|13|0|2
2656|66452|5|Justice||JUSTICE|30|01.02.2007 00:00|3.87|13|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2656|66029|670|332949|207400777|676fd5d5500c7927bf68be435608931e|e9b141160fbca3366399f9cc54bedf27|f8ae2d0802fe6df25da37894754408b10671ac75|eedd9b0e|1576|10|very high|720x480|H264/AVC|(HE-)AAC||english|1|1|2|mkv
2656|66449|670|332950|194444618|ee3486274c4411dcab5e6a5b911d6534|a62c134f517bc8c695b3544c87ad848e|39b5e8070338f6c8b68b21f11716dcf3e847ce02|19dc4e2e|1577|10|very high|720x480|H264/AVC|(HE-)AAC||english|1|1|2|mkv
2656|66450|670|332952|198942614|3aed94d80caea0273804bdbe502b3228|2854f0e4868581952508e64d1ad7a2ff|8b92ec9bdba90a5f649dc9bb5139033d02aa1d3e|0d1a565a|1577|10|very high|720x480|H264/AVC|(HE-)AAC||english|1|1|2|mkv
2656|66451|670|332953|183042464|37eb7d6c11346c9e6f5976e6b2f2e646|78611113f216b9971af2879987d5fdce|a17946d3f04171a5769c2b2a262166f24b91362f|5912bbc7|1579|10|very high|720x480|H264/AVC|(HE-)AAC||english|1|1|2|mkv
2656|66452|670|332954|233469609|51e257b879a4df7d90a34c592cd8e89d|a5ea24fad5b4abfa5bdc27fe62ef3e55|e95e0d624a032f5c9d20ed14bf9925e7c4e3cbaa|0ea884f3|1584|10|very high|720x480|H264/AVC|(HE-)AAC||english|1|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
670|22944|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
126|Alternative History|0|200
127|Alternative Present|0|600
263|Gunfights|0|500
328|Human Enhancement|0|200
273|Manga|0|600
13|Mecha|0|500
533|Revenge|0|200
28|Samurai|0|600
8|Sci-Fi|0|100
86|Sex|0|200
173|Swordplay|0|600
84|Violence|0|600


