AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2659|41894|1|That Wonderful Miracle...||その素敵な奇跡を...|25|06.10.2005 00:00|6.02|34|0|2
2659|41901|2|On That Special Day...||その特別な日に...|25|13.10.2005 00:00|5.99|28|0|2
2659|42320|3|With That Transparent Young Girl...||その透明な少女と...|25|20.10.2005 00:00|6.42|26|0|2
2659|42407|4|That Undeliverable Letter...||その届かない手紙は...|25|27.10.2005 00:00|7.91|26|0|2
2659|42645|5|To That Island Which Shouldn`t Exist...||そのあるはずのない島へ...|25|03.11.2005 00:00|7.44|20|0|2
2659|43041|6|That Which You Want to Protect...||その守りたいものに...|25|10.11.2005 00:00|6.96|18|0|2
2659|43042|7|Doing That Wonderful Job...||その 素敵なお仕事を...|25|17.11.2005 00:00|7.22|19|0|2
2659|43043|8|That Melancholy President... / That Cool Hero...||その 憂鬱な社長ったら... / その イケてるヒーローってば...|25|24.11.2005 00:00|3.47|23|0|2
2659|43044|9|That Star-like Fairy...||その星のような妖精は...|25|01.12.2005 00:00|6.15|20|0|2
2659|44655|10|That Warm Holiday...||その ほかほかな休日は...|25|08.12.2005 00:00|7.03|19|0|2
2659|44774|11|Those Orange Days...||その オレンジの日々を...|25|15.12.2005 00:00|7.77|23|0|2
2659|45342|12|That Soft Wish...||その やわらかな願いは...|25|22.12.2005 00:00|8.51|18|0|2
2659|45343|13|That White Morning...||その まっしろな朝を...|25|29.12.2005 00:00|7.18|18|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2659|41894|2757|185047|209924096|f103c191067b905b1dded51bbf6c7ea8|b861e054cd4e3de0a1ce74b1703d3f84|e0d310c97e7ca6a8482da79f98abae68e0fd2de8|391bfa6f|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|41901|2757|185112|210014208|bb44d4a5823712ff139c5e8f245afb52|22ff06947c7fed6c3715e7cc7e9fb898|9bb311cc7014f93d7a77417f1710cf4cf96c7324|4ca0abf6|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|42320|2757|186411|209827840|4c47b933d775b2d892645250b986f825|71fbe6daa128ced3052b4fec3dec4d4e|61c17106a5a8e03f9cdffb6676eab7f59f7bd96b|3e40505e|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|42407|2757|187900|210155520|42ab3219338c59db2006432e17cecdbd|9870910eb4662c636d85358000e91128|33aa7d5dd8180e164d18ab49c4b512658fe8885d|b087279c|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|42645|2757|192107|210030592|10930061ae8cbb140cb6e6748e7e60c6|ea6afb699d5f7334789d88c739495a54|70c62cab88e424c5dc860c5fab879d7b6e8ef31b|c2ab1216|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|43041|2757|193011|210294784|2ca9ddbda799daafa0d6c6ec89112b70|60399e951e3aaae88631e31f66f37b15|501ee3da98e1417f549648470d50c55e1a32e31b|58ee35dd|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|43042|2757|195452|209887232|2efb251ed7c62c7128c2cb34a5182333|5b01723d173a2ebc03637b71d81ff385|96ecbf4aff4400d3c2377cd21c40c4611a8607a2|353ed91b|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|43043|2757|195453|209989632|f897c54a54b3b035c41890c18a0f5bd9|d88d22beaf577c3c99e973beeb2a6f26|159a75f82e14db21d65ed0fed6530eca05220843|6af38b50|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|43044|2757|197101|204750848|6ae67aaae1aceaa31a8e6a86da726c67|c876a9b72f04e67e42acdc916ae7bc5b|6d9e7f85bd75b095d7a2702b9b71452b17bfc791|96ef15f2|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|44655|2757|199666|209827840|b890005d946e5d740e21a49e94142354|3fecd72fcc56d6510f3a922363f0f6ff|a2540d00bbe05d56303e038f05977b4cfb30bfce|20210fbc|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|44774|2757|201101|210524160|103153c4fd36a918da01c9eed23c2bc4|7954ce1fd5a651ffefac6e723b615efc|f35001125511258825d53bee1c312890efb580d4|3e4d9c3f|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|45342|2757|204859|209782784|13298c36d50308eb2c7c5691fcb1b71c|90167c6b1ba031e61d80e852383be84a|c0e3ac937c7a369a2c4b72350a90348f7890594d|b5a2ab65|1485|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2659|45343|2757|211841|209731584|ac18e93b2ae1ee27ad9934fc5a0c9ab1|91180ba74c269b017766e8d6ade83cd7|7da454f8429ff3ff16f4a986dd824273d6a1724b|c2306688|1470|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
2757|14496|Crystal Nova|CrystalNova|complete
GENREN
GenID|GenName|isHentai|Weight 
314|Anthropomorphism|0|100
17|Comedy|0|300
236|Daily Life|0|600
489|Dark-skinned Girl|0|300
15|Fantasy|0|400
12|Future|0|600
339|Italy|0|200
273|Manga|0|600
450|Mars|0|400
128|Other Planet|0|600
233|Plot Continuity|0|200
198|Romance|0|100
8|Sci-Fi|0|300
79|Seinen|0|600
153|Slapstick|0|300
19|Space|0|600
342|Super Deformed|0|300
163|Time Travel|0|200


