AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
27|929|1|Moonlight and Cherry Blossoms||MOONLIGHT AND CHERRY BLOSSOMS|30|21.02.1993 00:00|7.33|32|0|2
27|933|2|Midsummer Night`s Dream||MIDSUMMER NIGHT`S DREAM|30|21.05.1993 00:00|7.16|26|0|2
27|932|3|Burning Hearts on the Road||BURNING HEARTS ON THE ROAD|30|21.09.1993 00:00|6.47|22|0|2
27|931|4|Evergreen Holy Night||EVERGREEN HOLY NIGHT|30|28.12.1993 00:00|7.19|22|0|2
27|930|5|For the Love of Goddess||FOR THE LOVE OF GODDESS|40|17.05.1994 00:00|7.27|21|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
27|929|41|6181|245198580|32fe6ca1681270eec06e7d5949acdaea|2f6cb3a5bbed9f01d64489306cc20c09|b2345cad8c8fa6f94f1438d6f1a179f84eedf0a7|ee919391|1710|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
27|933|41|6183|246150751|b52f82369dbf8d1aa0262642bb4b8021|0af92fa7ed4e592553b35f770da59196|92f7c392330bf6fc2cced485e30014f1dde6def8|a8814448|1713|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|ogm
27|932|41|6182|239705595|f253334738168b83d68823e5814863f5|2666e5bd120bc4768b5a513651231c14|eb2e974b1f6fe6916448c9a63bf8bb4c1dbf4452|b70ed7c2|1725|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|ogm
27|931|41|6180|315838139|dc0173fdfb02cab9d81e824bcc143120|78d0a4f33ef84aafd8108533527dcab1|3123e2e9dba32a4710bd4296fd451bc05f5577e8|a81baab5|1708|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|ogm
27|930|41|6185|417238078|da678a9de2b2ad2c671173a560de6328|94f149a0eab91906b71fa846aeb85672|fa4c8ed941986fe7953bb62e8e296b79ffc831eb|4b3c8735|2332|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|ogm
GROUPS
GID|AGID|Name|ShortName|State
41|414|Zhentarim DivX|zx|complete
GENREN
GenID|GenName|isHentai|Weight 
127|Alternative Present|0|300
252|Angst|0|300
22|Asia|0|600
378|Boobs in Your Face|0|300
369|Breast Fondling|0|300
471|Christmas|0|200
242|Clubs|0|300
240|College|0|400
17|Comedy|0|400
330|Coming of Age|0|300
183|Contemporary Fantasy|0|600
257|Cooking|0|200
236|Daily Life|0|300
289|Earth|0|600
282|Ecchi|0|200
15|Fantasy|0|400
356|Foot Fetish|0|200
243|Goddess|0|600
23|Japan|0|600
175|Magic|0|400
482|Magic Circles|0|200
273|Manga|0|600
140|Motorsport|0|300
458|Nosebleed|0|200
88|Nudity|0|100
209|Parallel Universe|0|300
233|Plot Continuity|0|600
198|Romance|0|600
79|Seinen|0|600
374|Skimpy Clothing|0|300
505|Slow When It Comes to Love|0|300
220|Stereotypes|0|400
255|Sudden Girlfriend Appearance|0|600
18|Super Power|0|400
244|Twisted|0|200
61|Virginity|1|200
479|Zettai Ryouiki|0|200


