AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2710|37690|1|The End of Day by Day||終わる日々|25|14.07.2005 00:00|7.52|50|0|3
2710|37691|2|The Situation Beneath the Surface||水面下の状景|25|21.07.2005 00:00|7.06|33|0|3
2710|37692|3|The Labyrinth and the Dragon||迷宮と竜|25|28.07.2005 00:00|7.62|30|0|3
2710|38543|4|Daylight||デイライト|25|04.08.2005 00:00|8.67|26|0|3
2710|38544|5|Beautiful Sicily||うるわしきシチリア|25|11.08.2005 00:00|8.75|30|0|3
2710|38545|6|Edge of Heaven||エッジ・オブ・ヘヴン|25|18.08.2005 00:00|9.02|31|0|3
2710|38546|7|Left Behind||とりのこされて|25|25.08.2005 00:00|9.61|37|0|3
2710|39368|8|Jungle Groove||ジャングル・グルーブ|25|15.09.2005 00:00|7.92|27|0|3
2710|39369|9|Her Problem||彼女の問題|25|22.09.2005 00:00|9.78|39|0|3
2710|39370|10|Two Hong Kongs||ふたつの香港|25|29.09.2005 00:00|7.90|26|0|3
2710|40846|11|His Problem||彼の問題|25|06.10.2005 00:00|7.83|29|0|3
2710|40847|12|Burning Hong Kong||燃える香港|25|13.10.2005 00:00|9.14|34|0|3
2710|40848|13|The Continuing Day by Day||つづく日々|30|20.10.2005 00:00|9.20|51|0|3
2710|46913|S1|A Relatively Leisurely Day in the Life of a Fleet Captain||わりとヒマな戦隊長の一日|30|26.05.2006 00:00|7.86|60|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2710|37690|374|187511|332372271|1119b902570ec480af827f49d4582efd|9cb32e389aa22f1c0575263a86a8506b|7391c23964208a2d954d574089dd4c8196a7c8b2|18a707f4|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4101|3|mkv
2710|37691|374|188705|302309425|26d09466108d6392965b6fa7cbb9a6f5|3e90a98b12715755d37bfbd2c1f1e064|5b5ed33fa3247d0448f310b9fa2dcc0be4857abe|f76d3ddf|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|37692|374|191421|303396522|8dcc41ac615a54620d06f81f47494e11|baaf9834d28345e8194a559464f957e3|b93037f72c6dc55937908a1d8708060d22a91789|cb3493e4|1417|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|38543|374|195282|302055495|9cee5df7109736c97880027ce9daede5|6a7470f6165d58ce82c9a19dabfa26ae|c8f664517c9a29c90877df85c935e0ffa5647ae0|ad35b3af|1418|10|very high|704x480|H264/AVC|AC3|english|japanese|1|1|3|mkv
2710|38544|374|201797|302242201|590c2ccf2f965f7008eff874a5e84b0e|e41bcb7d90120e7c448ef4c7903f9393|dc585b74e0b8f084f169716f7f586f83baba70ff|4d1cc90d|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|38545|374|203204|302409677|fe7112fbd11aba2bfd0e786b3bb75268|07c89884bc19e024b23c133e26dee09b|56832ce5c157969a758e3c109bcf1389a561b250|53b28a06|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|38546|374|207405|301640761|b4aac67694804d2eddc2ce3184f2263b|b8a78ff701a6ed0aeb397073ae4e8089|6932d6bc5bb41c8ab1be80c377dc6aa90ccf8d2c|2e76ba5f|1417|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|39368|374|208857|302026347|67410b8d94c403a277a45a1faf92c310|20d56c35ed48897422dad915f1c3b091|25385005fd602d5bc747e63560da6ebcad7afbfb|8058bbda|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|39369|374|209541|301340927|469404e95764f32dd80161053e54c0fe|5ed8720f9aff06b816d0461603f3217e|a49fda1b59400c094551fd3f2334b7ce3d25aff4|472f5e53|1417|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|39370|374|214172|302017481|f513a287bcaf0cbaaa1807b58b70efcd|afe50272eee868fb802d25d59b0a2990|5cc391b641bfe9800fea65d956ff74f519200585|69203b88|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|40846|374|217440|292162644|e8f0f80165767717bfd8a1f4886d4312|080a074cd671bffe50ad7476fd980058|5c4d3d3a15449897b1f52560af59cd5b35ac9ab9|10fdf046|1417|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|40847|374|220758|293305173|d31ed69fd7c731a38470806578d9b162|3039842d8b65d8eca856f631d3483b3c|8740dd5a7c0aa882c1fdca54e98ccb7c36166fe5|830ba3a4|1419|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|40848|374|221517|368405959|f65437d486cf5286885d4e9afa5d37b1|2e8529bfddb56bb2d8969d9bc883eb00|1118fa798442773ca66e9befc857fe27f6410ed4|55633d2c|1794|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
2710|46913|374|255175|241273550|b2ee29164f3e6d672f2c16a6aa2b54dd|a1808d48ed9949494a3b903df6260584|19ead24675816ea128da11c58a76d3aa5788b766|41c8617a|1768|10|very high|704x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
374|14215|KickAssAnime|KAA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
22|Asia|0|600
196|China|0|200
17|Comedy|0|300
289|Earth|0|600
279|Europe|0|200
12|Future|0|300
472|General Lack of Common Sense|0|300
263|Gunfights|0|400
239|High School|0|200
23|Japan|0|600
495|Lethal Cooking|0|200
230|Love Polygon|0|300
13|Mecha|0|400
171|Military|0|400
262|Navy|0|200
274|Novel|0|600
88|Nudity|0|200
283|Pantsu|0|100
487|Parental Abandonment|0|300
118|Piloted Robot|0|400
233|Plot Continuity|0|400
198|Romance|0|300
21|School Life|0|200
8|Sci-Fi|0|600
79|Seinen|0|600
278|Shoujo Ai|0|100
153|Slapstick|0|300
505|Slow When It Comes to Love|0|300
220|Stereotypes|0|100
173|Swordplay|0|300
493|Terrorist|0|200
235|Tragedy|0|200
84|Violence|0|500


