AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2747|26437|1|A Fierce & Naughty Battle||Hな激闘編|30|25.12.2004 00:00|4.12|2|0|3
2747|26567|2|Naughty Youth||青春H編|30|25.03.2005 00:00|3.19|2|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2747|26437|3085|276804|290577409|38c7ad2c23f6b5d95f4b12f0495f946a|de630abf1e92b72da10e11509557a715|e092e2376bca6ae65bc7a8e5ba2c93e2bac80586|eb9bf556|1776|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|3|mkv
2747|26567|3085|276807|272626440|66f68e78d01516a0658b32ff28800f3f|e3d0ea8bec521da069c36442d1c82410|6f8cf1498f7d2c91efb351014cea26154d2cf4cc|3e72aa63|1666|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|19668|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
22|Asia|0|600
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
271|Erotic Game|0|600
60|Female Student|0|400
269|Game|0|600
199|Idol|0|100
23|Japan|0|600
73|Lolicon|0|300
11|Present|0|600
21|School Life|0|400
86|Sex|0|500
480|Uncensored Version Available|1|600
351|Urination|1|100


