AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2787|37705|1|Birthday||バースディ|25|15.07.2005 00:00|8.20|26|0|3
2787|39066|2|Ana||アナ|25|22.07.2005 00:00|8.34|23|0|3
2787|39310|3|House Call||家庭訪問|25|29.07.2005 00:00|7.42|21|0|3
2787|39426|4|Part-time Job||アルバイト|25|19.08.2005 00:00|8.06|17|0|3
2787|39789|5|Sleepover||そいね|25|26.08.2005 00:00|7.95|18|0|3
2787|39790|6|Hot Summer Day||真夏日|25|02.09.2005 00:00|9.03|21|0|3
2787|39791|7|Beach Trip||海水浴|25|09.09.2005 00:00|7.63|17|0|3
2787|40363|8|Festival||お祭り|25|16.09.2005 00:00|7.93|18|0|3
2787|40721|9|Growing Child||育ちざかり|25|23.09.2005 00:00|7.90|17|0|3
2787|40722|10|Flower||花|25|30.09.2005 00:00|7.91|16|0|3
2787|41422|11|First Snow||初雪|25|07.10.2005 00:00|8.18|15|0|3
2787|41423|12|Present||プレゼント|25|14.10.2005 00:00|8.94|15|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2787|37705|1257|176798|148883456|46e74e532f35ee4d324928cf30f5a353|67a1cb19c4c073dcc63b7ea04930fcdd|a1e810dee40272f7f22db6ff1c500541e4e9a9bb|df796d1e|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|5|3|avi
2787|39066|1257|176799|147087360|fe7488e19d1076452bc71ad31379a876|713e29aac630304071842c4295ed45f6|7b93f0d4f98822437658c6c5e44703ccb716c538|b63ce712|1470|10|high|720x400|XviD|MP3 VBR|english|japanese|1|1|3|avi
2787|39310|1257|179800|149649408|717caca78abb1ef601fc0c8619210fd9|dd9effc4816afc92fec0aeaaa3d67e33|0faefb1a23d65c8e06dc5c031adc99b703f7ba95|cb594804|1470|10|high|720x400|XviD|MP3 VBR|english|japanese|1|5|3|avi
2787|39426|1257|180142|148453376|571c21e5cd4d37b20801a2407b6e424f|27ced76dcf77e3399f223a6493c32a7e|3ac639324df80dda42d000b2d488e9b4b3a9d976|2670087a|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|39789|1257|193400|143067136|8b6c0c894d375c50a0b53d60e7fa6df2|63b5e415f9a6b7bb2bcc7f072130386c|dde8c2512cb114bac681e140d8bcc77ab2d1fe76|0132fb52|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|39790|1257|193401|148287488|087624298ecd22bb7773deaf443bc81e|1d4b8c8f1eceb697bdba25aa5344d0bf|7d0385f216a3000e7e108133ce11ac640b1c0611|aa9bbfc9|1469|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|39791|1257|200043|148011008|aa8bd44064da7f7b198fd16dfdd9493d|aed4ca7d54e5f85674bebde9f0a2d892|f8d8418f048590734db253bf3fcabfd3bd8e57ca|8e3c49be|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|40363|1257|202120|147935232|18e3f15e6343740e0694c81db7187eaa|a637edf5c9f78ec58bfcedb2fe1d9d34|2bed35ec8834a71d9669168d23e28f1f5c3485e1|5ab4e511|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|40721|1257|217702|148951040|562f4524e3ec81f5c123b6c19116a0b6|c56f391896ff14172a786ba01671c547|2053f8314ad129afa717cce9c977a07333416bf9|d7739e9c|1470|10|very high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|40722|1257|217707|148963328|91e161d5ac39ea919668b6907b134592|5706fdb61fdcf45b9fd0f2edb9791499|078ad0befd5ed183859ec8c819e8e1247307cc19|7fbb3133|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|41422|1257|217706|148946944|ec34e76c5967a8a9d45d95cdfc527586|c7cbf2b9b3231f72467bc2ff9553b73f|b83f8f642edcb623e36b22d7aa11b9c8d92b5ed6|7e8808c5|1470|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
2787|41423|1257|217705|148637696|0ad40ede4748edc317620bc0c5524386|c3e809c63eedfeb19c9050ad3de92866|eb8aa2c9ce4d39bc63f8cb39268c4346ac19b4f8|2bca3cef|1440|10|high|720x400|XviD|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
1257|13249|AnimeYuki &amp; Nanashi|AnY-Nanashi|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
137|Baseball|0|100
369|Breast Fondling|0|300
471|Christmas|0|200
240|College|0|100
17|Comedy|0|400
470|Cosplay|0|200
236|Daily Life|0|600
289|Earth|0|600
237|Elementary School|0|300
182|Football|0|100
498|Furo Scene|0|200
23|Japan|0|600
273|Manga|0|600
88|Nudity|0|100
487|Parental Abandonment|0|300
233|Plot Continuity|0|200
11|Present|0|600
21|School Life|0|300
79|Seinen|0|600
553|Skirt Flipping|0|200
153|Slapstick|0|300
113|Sports|0|100
220|Stereotypes|0|300
481|Summer Festival|0|200
513|Transfer Student|0|200
84|Violence|0|100


