AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2798|27202|1|A Knot in Time - Reflection||時の結び目リフレクション|30|28.02.1987 00:00|6.27|24|0|2
2798|27203|2|Mystery Case - File 538||迷宮物件FILE538|30|28.08.1987 00:00|7.12|24|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2798|27202|1796|134614|249257984|d1468c74c60a4f69a2ead80a7a7a713e|fdcfd89f7c65c2ca392c65bcfd294fc4|913a5cd9d4c4618a86560cf06ae1911ed6f52d8a|a646e8c7|1739|10|high|640x480|XviD|MP3 VBR|english|japanese|1|1|2|avi
2798|27203|1796|134615|258142208|f22c37f5807ac86dadc86c97b70a454d|7e3a272c8f349c6ace239e9b57905be6|c3ff4ab2098ca4c879ac3da6e2f271ac36a5b5c3|f79f0e94|1802|10|high|704x384|XviD|MP3 VBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
1796|11012|JollyRoger|JR|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
183|Contemporary Fantasy|0|600
161|Detective|0|200
289|Earth|0|600
539|Ecology|0|300
15|Fantasy|0|600
12|Future|0|200
243|Goddess|0|300
23|Japan|0|600
275|New|0|600
414|Nopan|0|200
88|Nudity|0|100
10|Past|0|200
11|Present|0|600
8|Sci-Fi|0|400
79|Seinen|0|600
86|Sex|0|100
163|Time Travel|0|400
244|Twisted|0|400


