AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
2843|45818|1|The Young Boy`s Life Changed That Day||少年はその日変わった|25|12.01.2006 00:00|5.42|10|0|3
2843|45819|2|The Girl Realizes That She Is a Girl||彼女は彼女であることを自覚した|25|19.01.2006 00:00|4.35|8|0|3
2843|45820|3|Hazumu`s Heart, Yasuna`s Heart||はずむの心, やす菜の心|25|26.01.2006 00:00|4.82|7|0|3
2843|46415|4|Girl Triangle||少女三角形|25|02.02.2006 00:00|7.98|8|0|3
2843|46416|5|The Things Reflected in Yasuna`s Eyes||やす菜の目に映るもの|25|09.02.2006 00:00|8.19|8|0|3
2843|46417|6|The Bride and the Groom||お嫁さんとお婿さん|25|16.02.2006 00:00|6.54|7|0|3
2843|46941|7|To the Beach with Everyone||みんなで海へ|25|23.02.2006 00:00|4.79|6|0|3
2843|46942|8|Just Watching...||見ているだけが...|25|02.03.2006 00:00|4.32|8|0|3
2843|46943|9|Will This Wish Come True?||この願いはかないますか?|25|09.03.2006 00:00|7.79|6|0|3
2843|47212|10|Small Storm||小さな嵐|25|15.03.2006 00:00|7.56|8|0|3
2843|47703|11|Things That Disappeared from Yasuna`s Eyes||やす菜の瞳から消えたもの|25|22.03.2006 00:00|6.88|10|0|3
2843|47704|12|Love Begins at Last||やがて恋がはじまる|25|29.03.2006 00:00|7.99|9|0|3
2843|45895|T1|Promotion|||1|10.01.2006 00:00|1.05|1|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
2843|45818|3005|203005|179482624|30fed1d17116385e823d6652cddd9447|bca04ab7780fdcf7ccead3dba2c86603|7d115e90ba5769c8baeb2c4074828d53b87d0479|429df23d|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|45819|3005|205131|180068352|0eb167bb8f847beede9534a1e4d31c19|883e91a14700ed78cc5e244707d3953d|18c489df57b9c066e229091c7dbfb14b09bb787d|675497a5|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|45820|3005|207588|180334592|31feac244a275a34f7185531458f2ebf|7b52f7e87ad379b046eb527431361042|f32afe4345950b15788cb081d8518ff564eae8bb|8250fd10|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|46415|3005|208784|180346880|ddb12e41c9bf296fcf146fd8c5be832d|f4e5d1e8d68b20e8421b51c6e3a4e74c|d012ce57df2632080f357f36cde4eebf2304f532|72ace1e2|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|46416|3005|212963|180232192|2e31bb2885f9ff75f0e3f36b46fa5a3c|df4aa9c326fa30a069e11ff24e8c7957|ddc78225ba6d7a9107b55cff38637489e99c7674|237ffe5b|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|46417|3005|212892|180322304|b4368f4ceee3ba32fb10f9b89508dacc|bb4ad177f3e17da0eb16e7d2a44058d3|b64914f0a18e6ee16be7fcfd337b088ea3541427|cbaf0124|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|46941|3005|220055|180338688|ec283aab3b41d4b5756e2f27372a6fa7|f549bd3c1ab51a7982dc283e9ffd30fa|105153b5a9e66d97f88fd0176f61eb1c61174617|43649772|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|46942|3005|226611|180269056|3d845ee24f52e65c39c889da8437c741|5fc474ec9bb3c8511ef28dc62fc175ba|17f5862060241c7b2ec8a61a05ce9d96133755cf|d31fc584|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|46943|3005|234891|180209664|0242e8c4aa7eab59dcd4ab5498ffdb5d|32035cc2aea89c00b85c4430bab7c9a8|0dc98fb8306386c3ab240efac75f5441a12ab8a2|c3fb815a|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|47212|3005|235130|180191232|3e3d8d9ad7cb0fd503c4f9d3fe9b51e3|3282a387fb87db3992ae8fb2b1b0b4a2|d42e25139265142faeeec7f89591d480fc5174f0|bd937b5e|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|47703|3005|240147|180340736|bd5a329e4005f1ea78090af77d9821e4|af500b391d2826d8e8035cadb9d4b940|a822ff8d6b7e343761581e40a7b3afa53409184f|c0d99033|1455|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|47704|3005|240521|180348928|2f6319c76f8cffe6b0aaf64b63254e67|683a2d62af02716d410ae362c96c6548|420bfaa4930337c98e3e9065780fbc64973f9541|6e73c225|1440|10|high|640x480|XviD|MP3 CBR|english|japanese|1|1|3|avi
2843|45895|0|201786|2669144|26c3f3a4f80655b310977069f45984b4|84d20080bec5f8bad4a86f5b2f224af1|7a5a77a8629a8209f0117b67e3804a23a1d899c9|c6e931d0|15|10|high|640x480|DivX5/6|MP3 CBR||japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
3005|15625|Kazenokoe and Doremi-fansubs|KnKF-Doremi|complete
GENREN
GenID|GenName|isHentai|Weight 
184|Alien|0|500
252|Angst|0|400
22|Asia|0|600
284|Boing|0|200
369|Breast Fondling|0|300
471|Christmas|0|200
17|Comedy|0|300
289|Earth|0|600
282|Ecchi|0|100
497|Friendship|0|300
241|Harem|0|300
239|High School|0|300
185|Humanoid Alien|0|500
23|Japan|0|600
534|Karaoke|0|200
411|Lingerie|0|300
230|Love Polygon|0|600
273|Manga|0|600
404|Naked Apron|0|300
88|Nudity|0|200
487|Parental Abandonment|0|300
233|Plot Continuity|0|300
11|Present|0|600
198|Romance|0|600
21|School Life|0|300
8|Sci-Fi|0|100
79|Seinen|0|600
129|Shipboard|0|100
278|Shoujo Ai|0|600
496|Shower Scene|0|200
153|Slapstick|0|300
481|Summer Festival|0|200
342|Super Deformed|0|400
235|Tragedy|0|200
285|Violent Retribution for Accidental Infringement|0|100


