AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
286|8332|1|Complete Movie|||105|29.07.1989 00:00|9.61|16|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
286|8332|3484|335076|1468707185|21f3efe739d12eff804768eb231ac39c|6ff717fc2fef005a91d2bc4cd1cd3f42|af7c6ddf97fbef367ae2a036f29ece012eec97c0|3a529797|6182|10|very high|656x448|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
3484|23043|niizk|niizk|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
306|Adventure|0|500
127|Alternative Present|0|600
252|Angst|0|300
314|Anthropomorphism|0|200
17|Comedy|0|400
330|Coming of Age|0|400
183|Contemporary Fantasy|0|200
236|Daily Life|0|400
289|Earth|0|600
15|Fantasy|0|400
175|Magic|0|400
78|Mina|0|600
274|Novel|0|600
198|Romance|0|400
509|Witch|0|300


