AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
3030|30518|1|Complete Movie|||100|06.08.2005 00:00|5.97|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
3030|30518|1412|226897|734147846|67afbf4aea8a8ebac28fca650c09056d|046a070ffc8d369377717c49946eb8bb|89c28798197f5959e13389de73d059ba394c6831|1e8a1b97|5784|10|very high|768x432|XviD|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
1412|17206|Dattebayo|DB|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
306|Adventure|0|400
273|Manga|0|600
20|Martial Arts|0|400
29|Ninja|0|600
5|Shounen|0|600
18|Super Power|0|600
173|Swordplay|0|100


