AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
3126|35764|1|Volume 1||一両目|30|08.04.2005 00:00|5.12|7|0|3
3126|38582|2|Volume 2||二両目|30|08.07.2005 00:00|5.21|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
3126|35764|3385|228695|296761053|2817593592f648442982820295d25abc|20f013fd53bc8906da3157361f0f9f53|cdaca2dfaa92a9ed0dbd04e7fbbf1b3500e47eac|09e99900|1571|10|very high|640x480|XviD|(HE-)AAC|english|japanese|1|65|3|mkv
3126|38582|3385|228696|293465203|ee2ea006d0d5f611dc8f81f17c59cbef|b74c0fa85b1606fcba8fec4db506ced0|2fa4072b953d27cf5115c4f019f140a4ac91bb82|2e201202|1586|10|very high|640x480|XviD|(HE-)AAC|english|japanese|1|65|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
3385|17421|Fap2Hentai|F2H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|400
22|Asia|0|600
327|BDSM|0|200
229|Chikan|1|600
289|Earth|0|600
407|Enema|1|300
271|Erotic Game|0|600
60|Female Student|0|400
269|Game|0|600
333|Gangbang|1|300
301|Housewives|0|100
23|Japan|0|600
52|Large Breasts|0|400
88|Nudity|0|600
312|Office Lady|0|400
11|Present|0|600
33|Rape|1|400
86|Sex|0|600
480|Uncensored Version Available|1|600
37|Yuri|1|100


