AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
32|185|1|The Undead||The Undead|25|11.10.2001 00:00|7.24|49|0|3
32|186|2|Club M||Club M|25|18.10.2001 00:00|5.89|32|0|3
32|187|3|Sword Dancer||Sword Dancer|25|25.10.2001 00:00|6.75|31|0|3
32|188|4|Innocent as a Human||Innocent as a Human|25|01.11.2001 00:00|6.24|26|0|3
32|189|5|Brotherhood||Brotherhood|25|08.11.2001 00:00|6.70|28|0|3
32|190|6|Dead Zone||Dead Zone|25|15.11.2001 00:00|7.12|27|0|3
32|191|7|Duel||Duel|25|22.11.2001 00:00|6.76|24|0|3
32|192|8|Kill House||Kill House|25|29.11.2001 00:00|5.03|22|0|3
32|193|9|Red Rose Vertigo||Red Rose Vertigo|25|06.12.2001 00:00|5.54|21|0|3
32|194|10|Master of Monster||Master of Monster|25|13.12.2001 00:00|5.95|23|0|3
32|195|11|Transcend Force||Transcend Force|25|20.12.2001 00:00|5.09|22|0|3
32|196|12|Total Destruction||Totally Destruction|25|10.01.2002 00:00|6.87|23|0|3
32|197|13|Hellfire||Hellfire|25|17.01.2002 00:00|7.73|32|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
32|185|240|227936|366440368|713b181866ae33120f6879441184acd6|f0a3c294e3bb3a20e4975ce0855f1d12|64c3597b323765abad91178e4c9999725b20cc0f|a946deb3|1382|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|186|240|227937|364465051|4793c7bfa10f0f835e8a86ef606d0732|0be95992d9178ce29b64f608c2444ba7|cb7ded8922c0affa63778cc2ba201f4638c3a22f|9589cdc2|1380|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|187|240|227938|368633291|d42f27d051f0814491c781e681d7dae5|215c27707aaf01a5d6be9fb7ba3d398e|024c8d3cfd48f015196393f9ce44815384564b35|df0ad790|1395|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|188|240|227939|367524301|10c42e7cc55cbaf7537d037cee30fe0c|73b02c4600d8039d9586c6004d6ea554|542943e5d65e65ed3d12bfb561e53f329f254f3a|5cb4f9f5|1382|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|189|240|227940|365882205|4d915c938c94454d5b5538625b1d67d7|c72eeea157c0a674ea41ca0ff5210956|c87c256e2df4e2e7222321c6410d846752d28acc|a4e7f348|1382|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|190|240|227941|365939532|898ddf9d43779b6b5c328e926ffaf497|7a37896ea5a3d6c47d3aa420bf2b6a09|e8d9a242977f82d73de90be2aa599c65b9e1c8ac|e13dfa1e|1381|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|191|240|232170|366019417|917382a569372811954c8a90f2e902c0|e360929ecaca706c882c4b768e6184e1|fe097044d0b53ad4b3e629a09d3a8cbbc716a5fc|c37e766d|1380|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|192|240|232171|365223952|071d6a501f5d49a66a7ce07290542a12|bc8d537f6f638d647a5241320bc2d227|75fd9245ef350a85be2391b1b4a8b12e097b1f53|7e7ff04d|1381|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|193|240|232172|366672276|ab6f527b24170cf8ebfac657d0651beb|3c75b7c87202d7bcfe15609872d4a963|2535380c75282812c0f3927b148878abd6b235f4|f70eec07|1379|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|194|240|232173|365552229|2ac225dc4aae0325d0f4dffdad39c2f8|62a6477e626e6899690c6cd14524f7f4|c7c6ca450dddb64c7fb4855436e32cc69c2f6940|e0b2957d|1381|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|195|240|232174|366282373|a24c11cc387446c1ea86398f6cd81282|63287719831a4027e8159ec12e59162b|53a0ec1d923750f7f0f89be4e183470d2da3e0d6|9dca693c|1380|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|196|240|232175|365443760|047e2607fbe739bdd59f91defefa20de|572ab5721fb95c809e01a4686f62916a|b95775298b6d9222d04c3f460934fb524d366e32|0ca6e7c9|1379|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
32|197|240|232176|367789475|a50d8cfbcc0d30c387eb8d6d7bf1018c|b8a44415e3f6aed135718b46e8e6e722|953dc599440415659323fb6e7faa5c835a6024c6|42414b79|1388|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
240|17310|Anime-MX|Anime-MX|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
127|Alternative Present|0|600
183|Contemporary Fantasy|0|400
177|Cops|0|600
289|Earth|0|600
279|Europe|0|600
15|Fantasy|0|400
263|Gunfights|0|500
154|Horror|0|500
323|Law and Order|0|600
444|London|0|200
273|Manga|0|400
11|Present|0|600
79|Seinen|0|600
203|Special Squads|0|600
197|United Kingdom|0|600
158|Vampire|0|600
84|Violence|0|400
476|Zombie|0|300


