AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
321|15234|2|Part 1 of 2|||50|24.06.2000 00:00|-|0|0|3
321|15235|3|Part 2 of 2|||55|24.06.2000 00:00|-|0|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
321|15234|41|37569|730359302|ade70fa4c888aa552983b83c0be6ed30|2c3d04474d32e03ac08560b8b9402ca4|827cb66a3a2b05c79e13496f54e72e5e94766c3d|9baef980|2762|10|very high|704x448|DivX5/6|(HE-)AAC|english|japanese|1|4097|3|mkv
321|15235|41|37570|731535379|2dab919a15c7f6cd6f3fbe674cc9f4a1|71d976dd8fcb77a561632663000bd1f5|ec3830fc924e089f80fc9e8be057b5ccab09c278|73460551|3104|10|very high|704x448|DivX5/6|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
41|3621|Zhentarim DivX|zx|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
314|Anthropomorphism|0|200
202|Catgirl|0|200
454|Collateral Damage|0|400
489|Dark-skinned Girl|0|300
15|Fantasy|0|400
291|Fantasy World|0|600
13|Mecha|0|400
209|Parallel Universe|0|400
118|Piloted Robot|0|300
11|Present|0|100
77|Shoujo|0|400
5|Shounen|0|400
374|Skimpy Clothing|0|300
422|Steampunk|0|400
173|Swordplay|0|200
244|Twisted|0|300
84|Violence|0|400


