AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
332|4064|1|Complete Movie|||90|16.04.1988 00:00|9.35|26|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
332|4064|41|4651|734451275|1f6b8d2a39709dd6a02f765de31f7b52|ccc732fe721ea2e57335ebc66518ddde|29fcaf961e05931ad53c576f871c8901b2129baf|9db6ac2e|5408|10|high|640x352|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|ogm
GROUPS
GID|AGID|Name|ShortName|State
41|1748|Zhentarim DivX|zx|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
252|Angst|0|600
464|Anti-War|0|400
22|Asia|0|600
330|Coming of Age|0|300
25|Historical|0|600
23|Japan|0|600
78|Mina|0|600
274|Novel|0|400
88|Nudity|0|200
10|Past|0|600
235|Tragedy|0|600
84|Violence|0|400
467|War|0|600
193|World War II|0|600


