AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
3395|48909|1|The Black Lagoon||The Black Lagoon|25|09.04.2006 00:00|6.36|63|0|2
3395|48910|2|Mangrove Heaven||Mangrove Heaven|25|16.04.2006 00:00|7.21|45|0|2
3395|48957|3|Ring-Ding Ship Chase||Ring-Ding Ship Chase|25|23.04.2006 00:00|6.05|42|0|2
3395|48958|4|Die Ruckkehr des Adlers||Die Ruckkehr des Adlers|25|30.04.2006 00:00|5.80|38|0|2
3395|49244|5|Eagle Hunting and Hunting Eagles||Eagle Hunting and Hunting Eagles|25|07.05.2006 00:00|5.89|36|0|2
3395|49491|6|Moonlit Hunting Grounds||Moonlit Hunting Grounds|25|14.05.2006 00:00|7.43|35|0|2
3395|49882|7|Calm Down, Two Men||Calm Down, Two Men|25|21.05.2006 00:00|9.11|45|0|2
3395|50254|8|Rasta Blasta||Rasta Blasta|25|28.05.2006 00:00|6.83|38|0|2
3395|50375|9|Maid to Kill||Maid to Kill|25|04.06.2006 00:00|8.22|42|0|2
3395|50541|10|The Unstoppable Chambermaid||The Unstoppable Chambermaid|25|11.06.2006 00:00|5.47|33|0|2
3395|50613|11|Lock`n Load Revolution||Lock`n Load Revolution|25|18.06.2006 00:00|7.58|33|0|2
3395|50664|12|Guerrillas in the Jungle||Guerrillas in the Jungle|25|25.06.2006 00:00|5.65|35|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
3395|48909|495|223767|244654080|3e441b6ed03d1c08781ec4ab70ea38c4|6f0cd97928fe84d8dfa665a5e1434b87|6d00ced97dabe7381770237acf0c5911b24e4955|fbf35f0c|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|48910|495|225856|244707328|4310f072c6162242f8752fdd39f2232e|c12a69ccbe9de856e3966a55ba25eacf|21ad72d97ad0588578201d2a469b53e2c29cfade|fd1d5432|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|48957|495|227252|244445184|7af06d7fa82d4a18f7197f136574e005|34d1726170e96d23256d4ca638f9789b|8ec0845e5b20e5e36a05dd1d75ca078a2cf0c8a1|250f6c64|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|48958|495|229465|244703232|34d104705039804147f91c2323666f8b|8aeb65cf857660c9391bce0d81896d7c|b40cbb01aaccb70fcfd672c7155b428cbd39ff99|12b5a707|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|49244|495|229500|244709376|4b03b01db94b512391919e4d792547b5|c1086ef1afcb210107b0800251e7ebbb|00b86cd5236d6a3b062f22fd9d98d16e0b764c3c|09b86546|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|49491|495|231792|210132992|5a35d271ae20544370b88b79a3d14873|86545b83a44b18220d9a1cdf06871070|38faa1d297ea95819fb85158decd8910ed0ca308|0265ea6c|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|49882|495|232737|244713472|2df7ad33b7dfd72e8ce9a6a3ebbdd2c1|b130404545657224c6426f4adb323fa8|de47dc1fc950c2dbe6a305c536487bfbfb665860|62595aa0|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|50254|495|233225|211699712|e59e378c60aa1398ee685cdeb7f5b583|4260a5dba1ef26595f823a99b5177c48|07ee3b97210086e1917c89ba9a5877ca6846733e|c0b083e7|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|50375|495|234523|244729856|7a51b14181485848c3455a4ea3ec5e04|cd8f88cdf4f7ec2e6d324e290703d16d|54c231fa6f710d98681ab06e43c4699d4ef3de93|d956b35a|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|50541|495|243752|236879872|98f0553054d837a73d9c6963778fb317|c02326cb3a60f4fc91098e1ebe4a7b63|23f9e8e7b04db938a2179fd57e16e311c0f2f22f|db3017d8|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|50613|495|248960|244748288|1c77b9b9aa97e1b81ba8181906845540|278a1153d6f939b630e1132800bc7d79|bb7a08737080fdab1669f330638189ca220a17d8|39055d97|1425|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
3395|50664|495|255271|244715520|31cd4bd82ae72d25829def9eb6c52721|55c33350b2ba209dc9357ca7da1e8227|43367e5b0811e19d62def1049d6793f5fdf695e0|55980222|1415|10|high|848x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
495|16981|Shinsen-Subs|Shinsen-Subs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
22|Asia|0|600
205|Bounty Hunter|0|200
454|Collateral Damage|0|300
17|Comedy|0|200
236|Daily Life|0|400
537|Drugs|0|300
289|Earth|0|600
282|Ecchi|0|100
263|Gunfights|0|600
323|Law and Order|0|100
344|Mafia|0|400
273|Manga|0|600
171|Military|0|200
88|Nudity|0|100
151|Parody|0|100
396|Pirate|0|400
233|Plot Continuity|0|400
11|Present|0|600
79|Seinen|0|600
374|Skimpy Clothing|0|300
493|Terrorist|0|200
235|Tragedy|0|100
295|Underworld|0|600
84|Violence|0|400


