AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
3452|38353|1|Volume 1|||30|25.06.2005 00:00|3.49|4|0|2
3452|39289|2|Volume 2|||30|25.07.2005 00:00|5.58|3|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
3452|38353|3085|236569|288940898|9e29bbbf1f05b01ad520e875d83430a4|46ece4925923f2de70ea79497766881a|6cb15bd4946eb481897dfc9d1e59257508405ef2|a05a82c8|1721|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
3452|39289|3085|236570|285950110|a7dddb30cc508987ba10367fa524d1ea|fd0e827f56c1bdba831ba489d24f97a5|ca19d0a153f42748d46550036a877eff74915e7e|ce1759ae|1711|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|17787|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|400
57|Bondage|0|400
293|Dating Sim - Visual Novel|0|600
65|Dildos - Vibrators|1|300
271|Erotic Game|0|600
60|Female Student|0|600
269|Game|0|600
341|Lactation|0|100
225|Music|0|400
46|Scat|1|500
86|Sex|0|600
111|Strapon|1|200
56|Tentacle|0|400
480|Uncensored Version Available|1|600
37|Yuri|1|500


