AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
3480|40935|1|Volume 1|||30|25.09.2005 00:00|5.15|3|0|2
3480|47061|2|Volume 2|||30|25.02.2006 00:00|5.90|3|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
3480|40935|3085|246508|253880518|44d1501f6ee1fb9239f24ed488e43a12|7ac9cfdca801cc4a5667ef2121aa1c4c|2a38a101eadcd84eca67c715ba53da2a732e8c3c|5f362fd6|1700|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
3480|47061|3085|291933|261124909|7e47fbc47b3059edd7a500b8b49cd5e2|e4ff26a35be73b262128a525a9b7394f|c38858331ae1338574f3339951975bc1c4725828|8715b5ee|1752|10|very high|640x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|18316|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
22|Asia|0|600
289|Earth|0|600
241|Harem|0|500
301|Housewives|0|200
23|Japan|0|600
52|Large Breasts|0|600
230|Love Polygon|0|200
273|Manga|0|600
88|Nudity|0|600
354|Paizuri|1|300
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|200
86|Sex|0|600
480|Uncensored Version Available|1|600
536|Unrequited Love|0|300
61|Virginity|1|400
250|Waitress|0|100


