AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
408|4787|1|OVA|||55|21.02.2001 00:00|-|0|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
408|4787|670|37840|735126823|e82cfd2bdbb6e5eedbb600e6a9acd3f0|befb51d5ce6454d55f6dc1d859f6e1e8|84ff87003caab7a695bea1782db15cd09e7754cc|11a1a633|3095|10|very high|576x432|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|ogm
GROUPS
GID|AGID|Name|ShortName|State
670|3682|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
270|Action Game|0|400
12|Future|0|600
269|Game|0|400
450|Mars|0|200
13|Mecha|0|400
171|Military|0|400
128|Other Planet|0|500
118|Piloted Robot|0|600
198|Romance|0|200
8|Sci-Fi|0|400
235|Tragedy|0|200
84|Violence|0|400


