AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
427|5015|1|The Ocean, the Wind, and...||海と風と|35|21.12.2002 00:00|7.85|28|0|2
427|5022|2|The Star on the Ground||地上の星|30|23.05.2003 00:00|7.06|20|0|2
427|13057|3|Blue Death Match||蒼き死闘|35|01.12.2003 00:00|7.92|18|0|2
427|19884|4|Jungle||密林|35|28.05.2004 00:00|7.66|21|0|2
427|25203|5|Bird Human||鳥の人|35|22.10.2004 00:00|5.89|16|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
427|5015|155|7074|365799424|3bf804ab3edb5197cf70aad57e28bd2e|b1c52f298f5fa4ccee0cbc76d2a53b97|1d4dff6c27352709b074372451ce7ba042b97785|83dd8640|1908|10|very high|704x384|XviD|MP3 CBR|english|japanese|1|1|2|avi
427|5022|155|13145|360167424|a2cf31629cbaf380b5f4cfa40a93f6fe|f898c8246010efb5a423da4dadd3fe66|fe3240f39b566f5d7d0203bafc99e2a3cb1a7b5b|8a03827f|1954|10|high|704x400|XviD|MP3 CBR|english|japanese|1|1|2|avi
427|13057|155|29837|357013504|a1c1025996464aeb731a1e9a8c9c57f2|e6db373fff7e24083cd3e7882deec566|934ba11738e0227a2dae02e380884c72e8601870|b86c6a93|1874|10|very high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
427|19884|155|53844|245721088|0301c24372ec32e2e12a115a0f33066a|fdf5a83b166dbb5589e4f1ac72237ee6|522ed9777ec621fb6976e99cc5f023ee61a21959|e5c83010|1882|10|very high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
427|25203|23|77219|367005696|cfe53deaa8f9b0294cbd4cd6bfdd5625|87eacf49992e488343b71091253af31c|a6706dd92a61d96444f9291fbcd2a657852101b7|7079a26a|2069|10|very high|720x400|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
23|8837|Ansatsu Senjutsu Tokushu Butai|ANBU|complete
155|2030|Ansatsu Senjutsu Tokushu Butai &amp; AnimeOne|ANBU-AonE|dropped
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
259|Air Force|0|500
252|Angst|0|300
464|Anti-War|0|200
454|Collateral Damage|0|300
330|Coming of Age|0|300
282|Ecchi|0|100
15|Fantasy|0|400
291|Fantasy World|0|500
12|Future|0|600
263|Gunfights|0|300
13|Mecha|0|500
171|Military|0|500
262|Navy|0|300
88|Nudity|0|300
233|Plot Continuity|0|600
198|Romance|0|400
8|Sci-Fi|0|400
79|Seinen|0|600
235|Tragedy|0|300
149|Transforming Robot|0|300
244|Twisted|0|200
84|Violence|0|300


