AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4309|84119|1|The Three Minami Sisters||南さんちの三姉妹|25|08.10.2007 00:00|6.62|25|0|2
4309|84352|2|Weird School||おかしな学校|25|15.10.2007 00:00|6.53|22|0|2
4309|84353|3|The Delinquent Soccer Player Returns||球蹴り番長再び|25|22.10.2007 00:00|6.68|22|0|2
4309|84354|4|The Pattern of Love||恋もよう|25|29.10.2007 00:00|5.63|20|0|2
4309|84355|5|Let`s go to the Beach||海に行こうよ|25|05.11.2007 00:00|7.31|19|0|2
4309|85067|6|The Birth of Mako-chan||マコちゃん誕生|25|12.11.2007 00:00|6.86|20|0|2
4309|85363|7|Many Faces||いろいろな顔|25|19.11.2007 00:00|7.12|19|0|2
4309|85362|8|Hosaka||ほさか|25|26.11.2007 00:00|6.28|17|0|2
4309|85361|9|Fine Weather for the three Sisters||三姉妹日和|25|03.12.2007 00:00|5.42|17|0|2
4309|85360|10|Boy and Girl||おとこのこ×おんなのこ|25|10.12.2007 00:00|7.19|17|0|2
4309|85359|11|Neighbor Minami-san||となりの南さん|25|17.12.2007 00:00|8.78|21|0|2
4309|85414|12|Of Christmas and Eves||クリスマスとかイブとか|25|24.12.2007 00:00|5.92|17|0|2
4309|85845|13|Love Going Around in Circles||恋のからまわり|25|31.12.2007 00:00|6.77|18|0|2
4309|86191|S1|Ham-man Reference|||0|-|1.02|1|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4309|84119|3938|377006|191090688|5a363992c56a6d28cc87dfaaa856b88c|e5556700c812c5e57bdf34338dccadc0|a6a8906a041af8f5b849ca031317354440ebc83c|204fb084|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|84352|3938|379514|191793152|68a6d0d3052e7141163af9f54a9fe111|f0da2087a6157a8965a334f5d98e53a3|bd16bf31ba24f193314076eadaa141d186b42a08|829c7305|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|84353|3938|379761|191805440|e282e85ab2569366d0c69d150ee87fe9|9a238d08f284c5b6ee2d9af3a4ff63e7|641624a12238280db86eb450e367d6d989747446|4f360d0a|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|84354|3938|380501|191596544|7c47b06f8857549bf330b196eeae09ef|e78f005a13d942fd6665bb9c7ae552a2|26f89360cbbdec1e34cba1b2d554d2a71d37f8f8|4a98b831|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|84355|3938|382697|191905792|a7c8ad0a2cd12dc334272fbb2bb531ce|ab1a41fee79a98186af0cdd984523fb6|6ca5ae9df41913be8f7de5c6e4e2909611e79c70|322115b3|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85067|3938|384447|192880640|37664c602ecdad461c74539cf6c49ab8|80699f59fd1f344a20970dfb0e919bc7|2aad1722fe31303ed9d5499556463c2ceda3506a|94fdb351|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85363|3938|386658|192892928|02285ed12ba279e5a18f3ebc13d2dcbd|7db639364c0d92c6efa0dab2f6b996e9|4ec40e55b061a302f693bb8f2ef8e364d4cbde97|09510d41|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85362|3938|387900|192327680|d924f6ef5eb453f5428aefcbcf5efe90|da856ad5244294f3f02dcf250af0084a|6719a4e4f60c1ec1dd3dd14ee1884cc3224551c5|b266abd6|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85361|3938|391655|192837632|79f4846171106b9fafe87eb40f15eda7|8ed30d596e3e2181851effd97bb2acca|0c0359cfe456975a998d8b117774f874f1e82443|31be48ed|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85360|3938|395184|192950272|9baa8fd0ce26d069e68d20cea4fa7ea8|4ae365e7ec728609c9be58c694d0034c|c5377872cf9e31776a38c446023765173dcc1405|6863ca32|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85359|3938|397408|192931840|bbb4b5a180391bf0041ebd73bc108561|20b6c2a9d0db653b376d338752d417a3|cb33996add8077435cefd7d078e3d612177f5ad5|30d190fc|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85414|3938|399838|194111488|5831eea4966f60e39d56f2038226e117|6d658c462742e771b2a967639dff2083|5ddc7bc7d62d82e27e179ae39ae2cc0b7f7386af|020c6f3f|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|85845|3938|403073|201445376|0cdcf9f27bdd0d5f4db895ebe84b89f2|2f31ae1e411ec8c615f0423147d8099d|41c923617f6796a63abd785f7e325c891776d57a|5aeb04e2|1450|10|high|1024x576|XviD|MP3 CBR|english|japanese|1|1|2|avi
4309|86191|3938|401118|10303488|5dccaa590b6dc7dce4869fc13ea3c17e|f8629e7968c979b63db688772e0e68f6|2d7b8033a4223a0f7ef44fc505b80869e7edc7e1|ff4b3129|15|10|med|1280x720|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
3938|29087|Ayako-Fansubs|Ayako|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
504|Breaking the Fourth Wall|0|200
471|Christmas|0|200
17|Comedy|0|500
542|Cross-dressing|0|300
236|Daily Life|0|500
289|Earth|0|600
282|Ecchi|0|200
237|Elementary School|0|200
239|High School|0|200
23|Japan|0|600
230|Love Polygon|0|200
273|Manga|0|600
238|Middle School|0|200
487|Parental Abandonment|0|300
11|Present|0|600
459|Reverse Trap|0|200
198|Romance|0|200
21|School Life|0|400
79|Seinen|0|600
340|Trap|0|300
479|Zettai Ryouiki|0|200


