AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 
160|Conspiracy|0|600
177|Cops|0|300
289|Earth|0|600
279|Europe|0|600
15|Fantasy|0|400
116|France|0|500
25|Historical|0|600
154|Horror|0|300
323|Law and Order|0|300
175|Magic|0|500
274|Novel|0|600
438|Paris|0|600
10|Past|0|600
233|Plot Continuity|0|600
228|Russia|0|300
79|Seinen|0|500
203|Special Squads|0|300
173|Swordplay|0|400
235|Tragedy|0|500
340|Trap|0|100
197|United Kingdom|0|300
84|Violence|0|400
476|Zombie|0|300


