AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
447|5283|1|The Legendary Hero||伝説の勇者|25|09.01.2003 00:00|3.33|5|0|2
447|5288|2|Kite`s Bracelet||カイトの腕輪|25|16.01.2003 00:00|4.99|6|0|2
447|5409|3|The Phoenix Feather||不死鳥の羽|25|23.01.2003 00:00|4.06|6|0|2
447|5634|4|Tanabata Night||七夕の夜|25|30.01.2003 00:00|5.02|6|0|2
447|5656|5|Mansion of Terror||恐怖の館|25|06.02.2003 00:00|4.68|6|0|2
447|5918|6|Trap of the Steaming Hot Water||湯けむりの罠|25|13.02.2003 00:00|4.06|5|0|2
447|6017|7|Twilight Moon||黄昏の月|25|20.02.2003 00:00|4.38|6|0|2
447|6239|8|The Solitary Knight||孤高の騎士|25|27.02.2003 00:00|4.37|6|0|2
447|6417|9|Footsteps of Collapse||崩壊の足音|25|06.03.2003 00:00|5.63|6|0|2
447|6557|10|Capitol of Illusion||幻の都|25|13.03.2003 00:00|4.69|6|0|2
447|6672|11|The End of the World||世界の終わり|25|20.03.2003 00:00|4.44|5|0|2
447|6673|12|The Legend Begins||伝説のはじまり|25|27.03.2003 00:00|4.06|5|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
447|5283|374|56791|233233532|db3e92b9d08f400d01208f29e73bee03|4201f7fd837ee530229dfa644752dd5e|a0a3429c83ba50903c10406bc50d59b69432fc70|34b6f1f2|1417|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
447|5288|374|56792|232153306|4f74abaeef04fe0078d7febb5118ccaa|1577819b5bd036f8e6cc222100755fe0|7829387c49a7b5741617b552b145110e0e39bfa0|62f30c5d|1417|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|5409|374|56812|232442372|d7673c813449c4937fc29f3c5111b1db|83396b72da6b9c2c48fada05adc0dca1|40d9f096661f34cb8f157a8eaf8e1758d84ed33b|ae1fd9af|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|5634|374|56813|232195964|6440128a99de4e12a304a925fdde687f|ce2b2d0cf04d036652e55d2a8426115d|ad77ae417cf22503baacfa9505726780522359dd|c0911672|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|5656|374|64564|234531968|c4a0ae7bf7a9a7b8b7123d9c923a42af|ba9e1bb2a7719a3395c88e35f587c94b|5a1a433552cff589ce0fed2c9ffd6070c32058f3|79cad21c|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|5918|374|64672|237977690|5673bac13c589a8375fbb589071ad542|01a6d92304cdbba2417470d8aa632f57|125e830792e53d08e7561af1cd35cd3fd64a4f9c|ad169176|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|6017|374|64670|238110248|11305accf697da6bdaa59444b70058d2|a24e3b5101db131886d5a64660026811|142dfa444f01f33ea433747acca782702e6e28e2|5e04897d|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|6239|374|64671|238040042|2a26187b5528061b22a3a3d7785b1213|b19b38bc702d5d567c2894a2bd1fa675|292fc4d1d8c5bb03c573f4cd57c681d60070b758|06da16fc|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|6417|374|74534|279970478|2d22a4256277a77168e0523063482ecc|da2f1a10a83459e884aa895c4aa17416|d43f9fbbe73c3f102a3fa0e4463654e99d357863|0729aacd|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|6557|374|74533|279587636|f155477710563ad70ec4efd1965412c0|79df3df9a5ce4cdd59401806bdec61b5|a18fe1e45c547dd47cb9d49eb121fbb8e397edc4|267b8eb7|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|6672|374|74531|279561722|0fe8c31dd33179e482bfa3de2a61dfec|f55473a0e9f62e4942b2ad19be2f6d38|fc3e66f9f7c4e7f5696c512e4e6123f2badd08f9|76d31e38|1416|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
447|6673|374|74532|277051486|6ecc3f9925137b83a04722fb6e42b597|cf4e7f656977bbd5e8167605c4fe8e22|2ad3da4c75755f663829ee80fc90cbdfccf040f0|fc1a0598|1401|10|very high|704x396|VC-1|(HE-)AAC|english|japanese|0|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
374|6529|KickAssAnime|KAA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
284|Boing|0|100
378|Boobs in Your Face|0|100
486|Calling Your Attacks|0|300
17|Comedy|0|400
282|Ecchi|0|200
15|Fantasy|0|400
175|Magic|0|400
275|New|0|600
8|Sci-Fi|0|400
79|Seinen|0|600
374|Skimpy Clothing|0|300
153|Slapstick|0|300
130|Virtual Reality|0|600


