AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4563|63217|1|Rebirth||新生|25|04.10.2006 00:00|8.68|128|0|2
4563|63650|2|Confrontation||対決|25|11.10.2006 00:00|9.02|83|0|2
4563|63651|3|Dealings||取引|25|18.10.2006 00:00|8.82|62|0|2
4563|64277|4|Pursuit||追跡|25|25.10.2006 00:00|9.04|60|0|2
4563|64278|5|Tactics||駆引|25|01.11.2006 00:00|8.79|58|0|2
4563|64279|6|Unraveling||綻び|25|08.11.2006 00:00|9.07|50|0|2
4563|65023|7|Overcast||曇天|25|15.11.2006 00:00|9.71|70|0|2
4563|65024|8|Glare||目線|25|22.11.2006 00:00|9.07|51|0|2
4563|65025|9|Encounter||接触|25|29.11.2006 00:00|8.65|52|0|2
4563|65381|10|Doubt||疑惑|25|06.12.2006 00:00|7.98|44|0|2
4563|65385|11|Assault||突入|25|13.12.2006 00:00|9.15|51|0|2
4563|65386|12|Love||恋心|25|27.12.2006 00:00|8.68|47|0|2
4563|65582|13|Confession||告白|25|10.01.2007 00:00|9.04|39|0|2
4563|65674|14|Friend||友達|25|17.01.2007 00:00|8.61|40|0|2
4563|65756|15|Wager||賭け|25|24.01.2007 00:00|9.42|42|0|2
4563|65757|16|Decision||決断|25|31.01.2007 00:00|9.58|41|0|2
4563|66641|17|Execution||執行|25|07.02.2007 00:00|9.03|41|0|2
4563|66912|18|Ally||仲間|25|14.02.2007 00:00|5.61|40|0|2
4563|66913|19|Matsuda||松田|25|21.02.2007 00:00|5.49|39|0|2
4563|66985|20|Makeshift||姑息|25|28.02.2007 00:00|6.92|39|0|2
4563|67386|21|Performance||活躍|25|07.03.2007 00:00|8.09|36|0|2
4563|67468|22|Guidance||誘導|25|14.03.2007 00:00|8.70|41|0|2
4563|67469|23|Frenzy||狂騒|25|21.03.2007 00:00|9.51|42|0|2
4563|67709|24|Revival||復活|25|28.03.2007 00:00|9.51|52|0|2
4563|68303|25|Silence||沈黙|25|04.04.2007 00:00|9.80|72|0|2
4563|68520|26|Renewal||再生|25|11.04.2007 00:00|5.59|47|0|2
4563|68521|27|Abduction||誘拐|25|18.04.2007 00:00|6.66|37|0|2
4563|71898|28|Impatience||焦燥|25|25.04.2007 00:00|7.10|40|0|2
4563|71930|29|Father||父親|25|02.05.2007 00:00|8.61|38|0|2
4563|71931|30|Justice||正義|25|09.05.2007 00:00|7.18|38|0|2
4563|71932|31|Transfer||移譲|25|16.05.2007 00:00|8.44|37|0|2
4563|72066|32|Selection||選択|25|23.05.2007 00:00|8.60|35|0|2
4563|72067|33|Scorn||嘲笑|25|30.05.2007 00:00|4.49|32|0|2
4563|73591|34|Vigilance||虎視|25|06.06.2007 00:00|5.63|32|0|2
4563|73592|35|Malice||殺意|25|13.06.2007 00:00|6.63|31|0|2
4563|73674|36|1.28||1.28|25|20.06.2007 00:00|9.29|53|0|2
4563|73675|37|New World||新世界|25|27.06.2007 00:00|4.63|76|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4563|63217|3232|273654|183455744|5b6789f81ceb3262b7513ae88c2ecda5|94e94a4945f98913b5aebfdd37a4c428|004f3f4001bfbb3d2da6b2948fba94c8bc7b721c|383c4ef9|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|5|2|avi
4563|63650|3232|268376|183459840|3fe2fcc30d8d6600afeaa1811b880320|c03d432e2642f0e93a20947af7c4f5c4|976df237bd29de429816f962dda935423c8c46ec|08ec888a|1367|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|63651|3232|269506|183435264|150656cbf72cc0506c5fb593e3ccc6cb|f09fce62a60b6711517625015758b878|d51807f82e4db2bd8a08ad446f74f747d34dfe6a|27d14d5b|1365|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|64277|3232|271239|183363584|ef7a378d3de84cb7ab1db84abf06b636|86f8859bb8336165ec9bcf8fecf2c713|998ad303c5ae689beb4bab4bcfae59ecd4692479|6253e2fb|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|64278|3232|272951|183427072|0fc861b0d844797d5998650b4cbc2a89|ecb431bcb6d9db85cf2c5ad106524d51|9807396e73f402e86cef30f326a7295757033717|f28d66c3|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|64279|3232|274779|183519232|39f1b299dde52bd3e0b7ddc44d6bf747|6bbb5f2501375b43f985c0af89f0817f|2788bc2b5b76c04e1a917c2842245c85f542898e|2c8274a2|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|65023|3232|275491|183506944|1c6910e656ee3c12636f9a4624393ef9|837238336ce5f7114b5b0d2386c21840|1a47210ccda0f7e55103a48203e72b05988b99ee|695b39f5|1373|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|65024|3232|276592|183504896|b9ea7996737738a7bfcf9d9fdc34e2c5|85e4a16b66287e75820b2dc71529bbaf|7bc5be03668c8e34f536cb197c7a02b3edf32481|18582f64|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|65025|3232|277759|183554048|682891d3d8253a3164d822cc8c8ce6c8|a946fe8dba47a8cb37e163ba26f43848|5d3652b8bde812808a42a64e37d9be448ff5d07c|3c9b16db|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|65381|3232|278879|183472128|b955f7a4104346af11a6c57fef49ff7c|390b2361b038f66ac7ed134572260b8b|220c85287dcb6792c209234f5f64e6c435a1e4ef|4920628f|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|65385|3232|279822|183533568|223b4b8c2ccd9037c5da2585b86c2ca0|3db49efd122783fda31c47d105937d43|7c24d298103a21a0ff22aa5cbb311262f2a2c643|b7b58422|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4563|65386|3232|284939|183496704|61d26f35c8a2a0410aa044b42aa8079b|35f437cd5382ef3b05f74e1ed946f755|b9d82a0ccb64aa6979036d0dff062500ef4a3075|400af72b|1364|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
