AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4568|52019|1|Cherry Blossom||桜花抄|30|11.02.2007 00:00|9.22|78|0|2
4568|67613|2|Cosmonaut||コスモナウト|25|03.03.2007 00:00|8.46|49|0|2
4568|67614|3|5 Centimeters per Second||秒速5センチメートル|15|03.03.2007 00:00|6.61|47|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4568|52019|4884|356376|733357674|af5ac9dc2845d92ae636c1402d11151b|97754b3bd7b0e755808305b7ee4be276|8df9ce834488cd651c545aa008b76d0fe8f76e08|f3e2a981|3766|10|very high|852x480|H264/AVC|AC3|english|japanese|1|1|2|mkv
4568|67613|4884|356376|733357674|af5ac9dc2845d92ae636c1402d11151b|97754b3bd7b0e755808305b7ee4be276|8df9ce834488cd651c545aa008b76d0fe8f76e08|f3e2a981|3766|10|very high|852x480|H264/AVC|AC3|english|japanese|1|1|2|mkv
4568|67614|4884|356376|733357674|af5ac9dc2845d92ae636c1402d11151b|97754b3bd7b0e755808305b7ee4be276|8df9ce834488cd651c545aa008b76d0fe8f76e08|f3e2a981|3766|10|very high|852x480|H264/AVC|AC3|english|japanese|1|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
4884|27626|Sugoi Hikouki|SuHi|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
330|Coming of Age|0|200
236|Daily Life|0|500
289|Earth|0|600
23|Japan|0|600
275|New|0|600
233|Plot Continuity|0|200
11|Present|0|600
198|Romance|0|600
21|School Life|0|400
79|Seinen|0|600
505|Slow When It Comes to Love|0|400
174|Space Travel|0|100
235|Tragedy|0|500
536|Unrequited Love|0|300


