AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
457|15674|1|Episode 1|||45|21.10.1992 00:00|4.76|11|0|2
457|15675|2|Episode 2|||50|21.03.1994 00:00|5.81|12|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
457|15674|240|224243|731057246|fe65aa1343a6ae09fa373dd80f65dc3b|14ef56f4d4e6df5d1cab004e473e91aa|a365563dd53c1cbf3c3b00271d140ef01e024c75|085c5811|2682|10|very high|640x480|H264/AVC|AC3|english|japanese|0|1|2|mkv
457|15675|240|224244|732589113|a714b29b1484efba459da5921c2d701d|39f6cf9a92f21bc59c884851243bffa7|d71706f1de1365209ec7be5530ac1fffae4cc463|a39202f5|2923|10|very high|640x480|H264/AVC|AC3|english|japanese|0|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
240|17008|Anime-MX|Anime-MX|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
252|Angst|0|300
22|Asia|0|600
343|Bishounen|0|200
17|Comedy|0|200
161|Detective|0|600
289|Earth|0|600
15|Fantasy|0|400
23|Japan|0|600
175|Magic|0|400
273|Manga|0|600
11|Present|0|600
8|Sci-Fi|0|400
77|Shoujo|0|600
277|Shounen Ai|0|100
153|Slapstick|0|200
18|Super Power|0|300
235|Tragedy|0|200
84|Violence|0|300


