AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4574|64877|1|Scars||右腕の傷|25|16.10.2006 00:00|5.10|12|0|3
4574|64878|2|Yoshimori and Tokine||良守と時音|25|16.10.2006 00:00|4.71|6|0|3
4574|65149|3|The Beautiful Tamer||美しき鬼使い|25|23.10.2006 00:00|5.49|6|0|3
4574|65150|4|Her Treasure||彼女の大事なもの|25|30.10.2006 00:00|7.02|5|0|3
4574|65173|5|The Sweet Ghost||お菓子な人間霊|25|06.11.2006 00:00|4.33|4|0|3
4574|65174|6|Night Blooms of Karasumori||烏森の宵桜|25|13.11.2006 00:00|5.52|5|0|3
4574|65175|7|The Best Cake in the World||最高のケーキ!|25|20.11.2006 00:00|3.42|6|0|3
4574|65176|8|A Day in the Life of Yoshimori||良守な日々|25|27.11.2006 00:00|4.90|5|0|3
4574|65378|9|A Dangerous Teacher||危険な高校教師|25|04.12.2006 00:00|5.86|4|0|3
4574|65529|10|Shikigami Chocolate Battle||式神チョコバトル|25|15.01.2007 00:00|5.69|3|0|3
4574|66931|11|Koya and Madarao||鋼夜と斑尾|25|22.01.2007 00:00|4.94|4|0|3
4574|66932|12|Sealing the Demon Dog||妖犬斑尾封印|25|29.01.2007 00:00|4.20|4|0|3
4574|67370|13|Masamori Sumimura: Chief of the Night Troops||夜行の頭領正守登場|25|05.02.2007 00:00|6.47|4|0|3
4574|67421|14|Masamori`s Scheme||正守のたくらみ|25|12.02.2007 00:00|6.66|4|0|3
4574|67422|15|Yoshimori`s Ambition||良守の野望|25|19.02.2007 00:00|6.66|4|0|3
4574|67423|16|Lord Uro of the Colorless Marsh||無色沼のウロ様|25|26.02.2007 00:00|5.30|4|0|3
4574|67424|17|The Divine Field||それは神の領域|25|05.03.2007 00:00|6.66|4|0|3
4574|67460|18|A Day in the Life of Toshimori||末っ子利守の日々|25|12.03.2007 00:00|6.66|4|0|3
4574|68496|19|Assault of the White Feathers||白き羽の襲撃者|25|16.04.2007 00:00|6.33|5|0|3
4574|70411|20|The Ominous Spy||不気味な監視者|25|23.04.2007 00:00|7.09|6|0|3
4574|72090|21|Gen Shishio: The Heartless Transfer Student||非情な転校生 志々尾限|25|07.05.2007 00:00|6.05|6|0|3
4574|72091|22|Emissary from the Shadow Organization||裏会からの使者|25|14.05.2007 00:00|4.79|6|0|3
4574|73622|23|In Pursuit of the Legitimate Heir||狙われた正統継承者|25|21.05.2007 00:00|7.10|6|0|3
4574|73623|24|A Crush on Gen||限と恋のアタック|25|04.06.2007 00:00|5.03|6|0|3
4574|74390|25|Tokine and the Prince||時音にイケメン|25|18.06.2007 00:00|5.42|6|0|3
4574|75156|26|A Night Without Yoshimori||良守がいない夜|25|25.06.2007 00:00|7.27|7|0|3
4574|78030|27|The Council of Twelve||最高幹部十二人会|25|02.07.2007 00:00|4.71|7|0|3
4574|78031|28|The Kokuboro`s Declaration of War||黒芒楼の宣戦布告|25|09.07.2007 00:00|5.51|8|0|3
4574|80223|29|Seal of Dispelling||呪力封じの魔方陣|25|23.07.2007 00:00|5.96|8|0|3
4574|80760|30|The Right Person for Karasumori||烏森の適任者|25|30.07.2007 00:00|3.14|7|0|3
4574|80988|31|Gen`s Dark Past||志々尾驚きの経歴|25|06.08.2007 00:00|4.39|7|0|3
4574|81123|32|A Challenge from Atora||強烈な亜十羅の試練|25|13.08.2007 00:00|6.05|7|0|3
4574|81353|33|Hurry Grandpa Shige!||急げ繁じい本気走り|25|20.08.2007 00:00|6.08|6|0|3
4574|81354|34|Call of Darkness||卵から声 闇の誘い|25|27.08.2007 00:00|4.12|6|0|3
4574|81471|35|The Kokuboro Draws Near||迫り来る黒芒楼|25|03.09.2007 00:00|5.08|6|0|3
4574|81472|36|Karasumori in Flames||烏森炎上|25|10.09.2007 00:00|7.36|7|0|3
4574|81473|37|Gen Shishio`s Last Stand||志々尾限最期の戦い|25|10.09.2007 00:00|8.05|7|0|3
4574|82462|38|Requiem||それぞれの鎮魂|25|16.10.2007 00:00|3.17|6|0|3
4574|84363|39|The Mystery of Karasumori||烏森の謎|25|23.10.2007 00:00|4.35|6|0|3
4574|84427|40|A Passage to Kokuboro||黒芒への道|25|30.10.2007 00:00|3.27|7|0|3
4574|84428|41|Days in Training||特訓の日々|25|06.11.2007 00:00|5.02|7|0|3
4574|85076|42|Night Troops Arrive||夜行の面々|25|13.11.2007 00:00|3.17|7|0|3
4574|85077|43|Resurgence||暗雲の再来|25|20.11.2007 00:00|3.23|7|0|3
4574|85078|44|The Battle of Karasumori||烏森の激戦|25|27.11.2007 00:00|4.05|7|0|3
4574|85079|45|Kokuboro`s Hostage||黒芒楼の人柱|25|04.12.2007 00:00|4.09|6|0|3
4574|85594|46|Through the Maze||異界の迷路|25|11.12.2007 00:00|4.00|6|0|3
4574|85759|47|Byaku and Matsudo||因縁の決着|25|18.12.2007 00:00|4.21|7|0|3
4574|85762|48|The Collapsing Castle||崩れゆく城郭|25|25.12.2007 00:00|3.52|6|0|3
4574|86154|49|Flower of Sorrow||哀しき妖花|25|15.01.2008 00:00|4.33|6|0|3
4574|86749|50|The Final Battle!||最終決戦!|25|22.01.2008 00:00|3.24|6|0|3
4574|86748|51|Yoshimori and Kaguro||良守と火黒|25|29.01.2008 00:00|4.17|6|0|3
4574|86747|52|The End of Kokuboro||黒芒楼の終焉|25|12.02.2008 00:00|3.89|6|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4574|64877|3103|275580|483185674|e248398ed086ef3e747d3776d0a96547|ca5885778256286ba0a7f970a0f505ba|3aeed4b3a13e7e72a448ed809e5aa0ac199abbc2|78b46844|2934|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|64878|3103|275580|483185674|e248398ed086ef3e747d3776d0a96547|ca5885778256286ba0a7f970a0f505ba|3aeed4b3a13e7e72a448ed809e5aa0ac199abbc2|78b46844|2934|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65149|3103|276934|244083196|ee1daa142d9c6a7f9addfa1801752306|4bb997e588305a3eb993264cbabdd0f1|5718e4a837aeb749849f83cefd1285d6b9def7ab|0ad25b35|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65150|3103|276940|242178938|9d0dc6880c1eecf0d449977da6636aa9|00285177f3834de23500eae347986c28|43d1282515f6f0517e38d01913a1db4f2a40d365|0c1a3d78|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65173|3103|280418|242387749|5bcd6df39cdcb1d1a43fdd76ffadccaf|42e1cf2dea3f49fd230f8babc5454058|802459956a9db65231f168846a2b9275f7bdfa25|b50de272|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65174|3103|288046|247496887|df8200d5c10730990ff4e88f54c0433a|d41de4d2363a4fe3148ee90b365abbb7|47032bdb99ab31331510105af0d8b08496dc11d7|eb782986|1455|10|very high|1024x568|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65175|3103|288045|247516286|3766b132bc55e3d396376a2b9984f89c|56e0e8bcf40032bb01a8b5b5bb91dee7|a2d1887352de1657ae26a06305fc243779a69d4f|21037a2e|1455|10|very high|1024x568|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65176|3103|288150|247822711|991881ca6fcb770d1f10eab329e35b10|c41133c0375cace53feab40fe62b9d54|701f8d6f54cfcc88585675669bd6b9402e130769|f6532c78|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65378|3103|288151|247693787|1917756d8af6db7d89927bef946e20dc|4378d2b2cd5c924f91cf854743d9f2c7|1437e8f92790b035260c9bbab8ec418cffc73e3b|0ee76a41|1455|10|very high|1024x568|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|65529|3103|289724|247388992|d1cff9abdb06cfc4d3b71898a0c635bf|8c3f8db8b20c1eb982bc4fff5b8d6991|e31ce178a49aec0746ff3e4b004d9ac490aa7422|dac104fd|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|66931|3103|290696|245511094|ae593b5109f06ea93ea7567e8dd5d52b|880138321d729e0406cd4456447b4aad|1da6997e7d6a0adb88c09ebb14af17f3a31a036a|4999490d|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|66932|3103|291340|247768712|5f50abee181edd362005793987b404c2|2503f846b2610211d1ee901c039ea957|ec2064528c327f1bb697c87fe69537764fee76f7|e56cc83a|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|67370|3103|302863|247389142|948ee04e5cd890dc74ac79535f3d4f22|3c2164aa3bf7911c6b6a3c22d91e5dd1|5c25a581578c5c74b2c779ef346adccc53149a80|74ab1b36|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|67421|3103|313044|247815878|b179af5b84a8534becaf7f7a5f2e109b|96f804b6cd0292145392822d26fa8d41|9ed88dcd248b828f4dae70b321fc94e319b368cd|cb822b89|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|67422|3103|313045|246840260|dbebbddf8c1a021b47a723a9abc406fd|f207514e137cd5163698c276b80514ae|0bdfd5dafb2634085b1c2aec3412f46e15ef5f43|3ef00d5f|1454|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|67423|3103|316518|247857389|e0dd0247e1d038fefcdbcdbf77b349ee|fd1c3d5ef7032998530ae20807071b17|c9756215e456693f2e991c6db69ede5e5d6a2fc5|b938fb4e|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|5|3|mp4
4574|67424|3103|317548|247821256|aa50e97adf1db64bdc9645dcd78fe666|15254a13ff4dc2cc724c9a78b8d6b13a|3bd3eac25106021c4097db2f2afb1a46db479148|7ad91283|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|67460|3103|322217|247490981|d48c01813dc5c8b622a3da5b13808183|38388e32ae65e081156eead76c24648e|2eb1cb8546a0ab77922171ae39081ce5d3103154|c8492492|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|68496|3103|328114|247831397|702048582abfe67eb5f80de3a138c4d3|b818c94af72f6047ac341d438ff11835|df9965a029a589bdcc3cf1ab18201372f998c300|da376ed0|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
4574|70411|3103|328283|247822450|50042606083e88fc3b771b65b7b9d4e3|67092a828565078cf35122b9241c5d35|cdb397500bfae3611d60729ebf14f0eda5a2b21a|6e0842a6|1455|10|very high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mp4
