AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
461|5336|1|OVA|||5|-|5.92|13|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
461|5336|374|40589|49480708|c473141da940a862d562c1ab7bc60217|78ec1ad6672c9c355e9ea549caa2748d|907f7be9f3b762ea00bf10f9216250721564de36|d88ed2c7|284|10|very high|640x480|VC-1|MP3 VBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
374|4115|KickAssAnime|KAA|complete
GENREN
GenID|GenName|isHentai|Weight 
314|Anthropomorphism|0|300
22|Asia|0|600
236|Daily Life|0|600
289|Earth|0|600
23|Japan|0|600
275|New|0|600
11|Present|0|600
198|Romance|0|200


