AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4738|62334|1|OVA|||30|08.09.2006 00:00|4.86|3|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4738|62334|3085|277546|284182148|f891ae34217474bf4fe701ea449e76e6|2b88a5aad4bf5c1add4cc345ba7b8c84|4a1c1fafebb4803432eefe086fc192bd93d34f63|15e87cca|1619|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)|english|japanese|1|65|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
3085|19706|KHMER-HENTAI|KH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
48|Incest|0|600
73|Lolicon|0|300
34|Masturbation|0|200
275|New|0|600
88|Nudity|0|600
86|Sex|0|600
51|Small Breasts|0|400
480|Uncensored Version Available|1|600
351|Urination|1|200


