AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4776|73729|1|Devil May Cry||Devil May Cry|25|14.06.2007 00:00|4.85|34|0|2
4776|73730|2|Highway Star||Highway Star|25|21.06.2007 00:00|4.88|15|0|2
4776|73731|3|Not Love||Not Love|25|28.06.2007 00:00|6.43|11|0|2
4776|73732|4|Rolling Thunder||Rolling Thunder|25|05.07.2007 00:00|5.22|10|0|2
4776|73733|5|In Private||In Private|25|12.07.2007 00:00|5.27|8|0|2
4776|73734|6|Rock Queen||Rock Queen|25|19.07.2007 00:00|4.82|10|0|2
4776|73735|7|Wishes Come True||Wishes Come True|25|26.07.2007 00:00|6.05|8|0|2
4776|73736|8|Once Upon a Time||Once Upon A Time|25|02.08.2007 00:00|5.50|8|0|2
4776|73737|9|Death Poker||Death Poker|25|09.08.2007 00:00|6.52|9|0|2
4776|73738|10|The Last Promise||The Last Promise|25|23.08.2007 00:00|6.66|12|0|2
4776|73739|11|Showtime!||Showtime!|25|30.08.2007 00:00|6.04|13|0|2
4776|73740|12|Stylish!||Stylish!|25|06.09.2007 00:00|4.73|13|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4776|73729|4633|338322|184911872|1a57515725208797af80c1a7fe827fe7|d4db7772ed2b90b887221b0c43f6ec3b|b52781d36212e45c3afdce90d122fb65504bba1e|6063b290|1470|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4776|73730|4633|341792|184893440|b8e1d39f5130fe2f066e680e553e0446|d82a8b4968031db98b06676e5dedfada|66345f89f94ba417bef6bd62a054c0b61f21e039|83fdf5e2|1489|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
4776|73731|4633|346451|185085952|ee31df5426e0abfa58dc9af3a9a14433|1f4ad78597a4730e0e50f758931405a6|638ea836bc9fa257f2fd0f86b88382e10a30c0ed|a1e876a6|1470|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4776|73732|4633|347364|185030656|23e4530e25fcd44525dd535a9b657f35|3512cc82e58d8ece3607c1b571327f25|2a278d039c9ce99f4fab1f6ae79a5e274d44613b|19934c29|1470|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4776|73733|4633|348065|143654912|4b5095446058f5a8801573fcb3d7ac24|a701d7053ab4e2d989aa9c26f660dbe7|96a2fc26ae6ce7767084b4d09b150b0ab8f89632|790c8845|1470|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
4776|73734|4633|351146|162088960|6d0a654d8d3dcd65fe305eacaee902b0|622c235464bf40a04371d9b8064c27a6|d92e08b1d0cedd1e26af001ce0cb75bf2dd65680|a588c271|1470|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
4776|73735|4633|352653|167759872|1c923d788ce50dafc1d5eab7846c5656|03008999d5b5ed2cd87993520ff965da|5d731ada52291613e6cc322e2eaecec7a7a36eda|d633b19f|1470|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
4776|73736|4633|355799|157472768|8e1c400e13ef7d3968df0d102764b8ca|c1366464e1834760101826c3e930950f|4683c44551055e51d9150715c09b208563b759fb|c3a2413a|1470|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
4776|73737|4633|357576|184508416|7e134e2a66cb5a85248a4e7307d7826e|0e90940614ab9fd4a86446d21895e817|296e322aed3f1e3b63c34e8282979385a9f0b224|516e092f|1470|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4776|73738|4633|364076|184135680|3f9daa67b72ba8cbb5fed8e0cbe54f0a|01bf0edd6d793078e794b8795b8b4fb1|c8d8311d428d9bce4d2428aad8c3d95095badc81|9a4b4dab|1470|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
4776|73739|4633|365567|184528896|a734e3d460178c7cd085eecb796ec231|16c8964b3db85c702c10229c9a4f4dba|6a01d3c1bce17f18110698b4514b036fdf13a9b3|2cbabf3d|1470|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|2|avi
4776|73740|4633|367729|184070144|21a9b3e92d3f78de693bf89e01328b00|16e2587b963413e59d92d49ca83d2c58|9d4b494bf86530e34d70f7e259e183809a6df0dd|9adf2331|1470|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
4633|23220|AnimeOne &amp; Conclave|AonE-Conclave|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
270|Action Game|0|600
127|Alternative Present|0|600
17|Comedy|0|200
167|Demons|0|600
282|Ecchi|0|100
15|Fantasy|0|600
291|Fantasy World|0|600
269|Game|0|600
263|Gunfights|0|600
154|Horror|0|200
199|Idol|0|100
344|Mafia|0|100
482|Magic Circles|0|200
225|Music|0|100
209|Parallel Universe|0|600
151|Parody|0|100
321|Performance|0|100
233|Plot Continuity|0|200
11|Present|0|600
5|Shounen|0|600
153|Slapstick|0|100
173|Swordplay|0|600
235|Tragedy|0|100
295|Underworld|0|200
24|United States of America|0|600
84|Violence|0|500
250|Waitress|0|100


