AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4932|90862|1|Thanatos. (Overlooking View)||俯瞰風景|50|01.12.2007 00:00|7.40|111|0|3
4932|93769|2|...And Nothing Heart. (Murder Speculation Part A)||殺人考察 (前)|60|29.12.2007 00:00|8.28|101|0|3
4932|93770|3|Ever Cry, Never Life. (Remaining Sense of Pain)||痛覚残留|60|09.02.2008 00:00|8.87|99|0|3
4932|93771|4|Garan-no-Dou. (The Hollow Shrine)||伽藍の洞|45|24.05.2008 00:00|8.03|97|0|3
4932|93772|5|Paradox Paradigm.||矛盾螺旋|115|16.08.2008 00:00|9.31|113|0|3
4932|93773|6|Fairy Tale. (Oblivion Recording)||忘却録音|60|20.12.2008 00:00|6.35|76|0|3
4932|93774|7|......Not Nothing Heart. (Murder Speculation Part B)||殺人考察 (後)|120|08.08.2009 00:00|8.67|72|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
4932|90862|6163|455919|734526159|6f819577a515a2b7dd17b54a697fd74f|33f78ac6c90f6369d2791963b6f93288|f313f42d059c3efcc06116647862506eb96c795e|3f2e8fea|3055|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4101|3|mkv
4932|93769|6163|468102|737463418|2402c55b1ccf851c5a0e03367166e6dd|7bbe4503339058e06abd09b3f54a8c3a|a94a0f59d1555c0aba14796f71d43174fabdbb23|665eb12c|3658|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4101|3|mkv
4932|93770|6163|479182|735357805|47f215a8b0918cdd6c8981c5baa17c8a|d6725fbbe74291304c02baf5eda92d2f|9e3c6d22dd7880537cd3ee476d12e545cb1103b0|8ed4206b|3502|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
4932|93771|6163|528901|658589648|d28b0f767e3d2fe8e6ad10ed4769b1b7|481d9eaf856aa67e99be919c1cc8a012|4a1144927ded376e60e255d43f2216237186d738|b2465a9b|2785|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
4932|93772|6163|545459|1782874863|6228e743b9090e2c74cf8b8e7b746d3e|e903e511d01f0f6e4db198e79b8717a5|07966780a681093b4fc3eecdf16acba868b40a74|999900e4|6895|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
4932|93773|6163|618874|733349116|af42137c3733d0eab4b9119aeb288cff|649141431032844110390ed3927bbfb6|398e0bc36c80c43bb24bf5fcc854bae049948544|238f9ce7|3612|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
4932|93774|6163|678596|2207037474|bce7c0ad92f577f26aa173b90f237861|396b6b05b2c159004132f4067ff16412|efa5a80c08fe4b89d931ad673712ecf282d2d39d|9789ce05|7284|10|very high|704x480|H264/AVC|AC3|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
6163|34149|gg-TakaJun|gg-TakaJun|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
543|Catholic School|0|300
183|Contemporary Fantasy|0|600
177|Cops|0|200
161|Detective|0|100
537|Drugs|0|300
462|Fairies|0|200
15|Fantasy|0|600
507|Ghost|0|200
241|Harem|0|100
239|High School|0|100
154|Horror|0|400
23|Japan|0|600
148|Judo|0|100
323|Law and Order|0|200
230|Love Polygon|0|200
482|Magic Circles|0|200
274|Novel|0|600
88|Nudity|0|100
11|Present|0|600
533|Revenge|0|200
198|Romance|0|300
21|School Life|0|100
79|Seinen|0|600
331|Sexual Abuse|0|500
496|Shower Scene|0|200
505|Slow When It Comes to Love|0|200
18|Super Power|0|600
173|Swordplay|0|200
235|Tragedy|0|300
536|Unrequited Love|0|300
84|Violence|0|400


