AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
4971|69084|1|Cherry Blossoms||桜|25|03.04.2007 00:00|3.15|9|0|2
4971|69085|2|Song||歌|25|10.04.2007 00:00|3.17|4|0|2
4971|69086|3|Sword||剣|25|17.04.2007 00:00|3.67|3|0|2
4971|69087|4|Crown||冠|25|24.04.2007 00:00|4.56|2|0|2
4971|69088|5|Buddha||仏|25|01.05.2007 00:00|3.44|2|0|2
4971|71874|6|Butterfly||蝶|25|08.05.2007 00:00|2.61|3|0|2
4971|72291|7|Darkness||闇|25|15.05.2007 00:00|5.64|2|0|2
4971|72292|8|Ice||氷|25|22.05.2007 00:00|3.71|3|0|2
4971|72293|9|Snow||雪|25|29.05.2007 00:00|2.10|3|0|2
4971|73389|10|Blood||血|25|05.06.2007 00:00|5.64|2|0|2
4971|73655|11|Festival||祭|25|12.06.2007 00:00|4.54|3|0|2
4971|73656|12|Life||命|25|19.06.2007 00:00|3.25|3|0|2
4971|73657|13|Mansion||館|25|26.06.2007 00:00|2.06|3|0|2
4971|75092|14|Journey||旅|25|03.07.2007 00:00|4.05|3|0|2
4971|75093|15|Calendar||暦|25|10.07.2007 00:00|2.55|2|0|2
4971|78555|16|Star||星|25|17.07.2007 00:00|3.31|2|0|2
4971|78556|17|Moon||月|25|24.07.2007 00:00|1.90|2|0|2
4971|79927|18|Sea||海|25|31.07.2007 00:00|2.44|2|0|2
4971|80987|19|Curtain||幕|25|07.08.2007 00:00|8.94|3|0|2
4971|81165|20|Peach||桃|25|14.08.2007 00:00|6.92|2|0|2
4971|81385|21|Garden||園|25|21.08.2007 00:00|10.00|4|0|2
4971|81386|22|Shadow||陰|25|28.08.2007 00:00|6.81|3|0|2
4971|81387|23|Bride||嫁|25|04.09.2007 00:00|5.64|2|0|2
4971|81388|24|Pattern||綾|25|11.09.2007 00:00|2.55|2|0|2
4971|81506|25|X||〆[エックス]|25|20.09.2007 00:00|4.39|2|0|2
4971|82939|26|Bloom||華|25|25.09.2007 00:00|6.92|2|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
