AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
510|5624|1|OVA|||30|20.12.2002 00:00|1.45|8|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
510|5624|155|15148|180508672|38f259efe41261cc945b15ad308beb5f|8990cf22e330030da1cb513fc188329d|5fcc539e32065766a99121d0f9b70928c534471f|0a4223e2|1617|10|very high|640x480|XviD|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
155|34|Ansatsu Senjutsu Tokushu Butai &amp; AnimeOne|ANBU-AonE|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
369|Breast Fondling|0|300
17|Comedy|0|600
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
282|Ecchi|0|400
271|Erotic Game|0|600
269|Game|0|600
239|High School|0|600
23|Japan|0|600
52|Large Breasts|0|200
283|Pantsu|0|200
11|Present|0|600
198|Romance|0|400
457|School Festival|0|200
21|School Life|0|600
79|Seinen|0|600
153|Slapstick|0|300
220|Stereotypes|0|400
84|Violence|0|100
285|Violent Retribution for Accidental Infringement|0|300


