AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5115|81307|1|OVA|||30|03.09.2007 00:00|7.97|7|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5115|81307|2757|385897|209715200|537d77abed0e21153273c2c19a99ec96|9501cdd54184b8b41dd4097212733878|3017752dd8fb3d8ceec3063096c3035a3c31ddd1|c00fab8a|1830|10|very high|720x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|0|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
2757|29849|Crystal Nova|CrystalNova|complete
GENREN
GenID|GenName|isHentai|Weight 
17|Comedy|0|300
236|Daily Life|0|500
15|Fantasy|0|400
12|Future|0|600
339|Italy|0|200
273|Manga|0|600
450|Mars|0|400
128|Other Planet|0|600
198|Romance|0|200
8|Sci-Fi|0|300
79|Seinen|0|600
153|Slapstick|0|300
19|Space|0|600


