AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5147|79013|1|Chura Umi!||ちゅらうみっ!|25|04.07.2007 00:00|5.76|18|0|2
5147|79653|2|I... Might Be... Interested...||興味.... ある.. かも...|25|11.07.2007 00:00|6.18|13|0|2
5147|80139|3|I`ll Show You!||魅せる!!!|25|18.07.2007 00:00|4.31|11|0|2
5147|80204|4|I`m Going to Show You||見せてあげるんだから|25|25.07.2007 00:00|5.77|9|0|2
5147|80205|5|Do You Want Mine, Too?||あたしのもほしい?|25|01.08.2007 00:00|4.77|8|0|2
5147|80206|6|No!||めっ!|25|08.08.2007 00:00|4.45|10|0|2
5147|80207|7|Curse||呪い|25|15.08.2007 00:00|3.00|8|0|2
5147|80208|8|Take a Good Look||よ~く見てなさい|25|22.08.2007 00:00|5.61|8|0|2
5147|80209|9|Help Me Forget...||忘れさせて...|25|29.08.2007 00:00|6.23|8|0|2
5147|80210|10|Breast Massage?||にゅうにゅう?|25|05.09.2007 00:00|6.33|8|0|2
5147|81646|11|No Way...||まさかの...|25|12.09.2007 00:00|5.63|7|0|2
5147|82743|12|Oma Oma||おまっおま~♪|25|19.09.2007 00:00|7.81|7|0|2
5147|83071|13|Mermaid||人魚|25|26.09.2007 00:00|7.52|7|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5147|79013|958|345574|146543114|d6dde5941be98b2c217c05962a4fd1de|06dcace4e4ae7520146ac3a80701fd14|3056947b6a3bac47e69786e55c66b87115e7851c|bcf01131|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|79653|958|347612|146441367|e04648d419a69aa736a74164b29d95d3|d502e1ef48007573937bd1b3fc6cb349|d88d9d9b68f0fb6203a7795c1498ad7a8039b4e3|2d1b707f|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|80139|958|348659|146474265|fa001cc7ad90a90c0732032963eac16c|1ab84ced57be2da7feb0e1a84b8c4346|e9fd3eaf0f58a34199b96579bdfcc9d06a08280b|e8c04f46|1529|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|80204|958|351283|146335927|e44e3a9b0be1fe9b067e6ebb3cc553f7|8c0f050945d732f9627712b16fce8737|314ca2f16c790c37674799194d0e7d1c1864a3d1|a4745cd1|1530|10|high|704x400|H264/AVC|(HE-)AAC|english|japanese|1|5|2|mkv
5147|80205|958|354409|147029956|60eb8e274a10e6ee1d1b6f62f3fa281d|56152e60a9c55b2396a105b0010d9e27|21308450db92d4e97f5c4737d496a0cd559ba919|35e8d2d4|1530|10|high|704x400|H264/AVC|(HE-)AAC|english|japanese|1|1|2|mkv
5147|80206|958|356590|147495259|a524ab4e2e1451496975f374187c5f23|c91078203e280faa5e8438c3efc4442c|8878c4187ac9538b31087f54305b8d876a6da471|e0d935a9|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|80207|958|361578|146542462|587f33822fe9eb8ff40ce7ff04834f20|40f2bc712d944310aca317df3aa50997|358590a7fe4a63ebb01d42dd03ef6ec28b9204ef|7de702f8|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|80208|958|366032|147351782|14f54383702593c59be6ac0307d3a33f|81c3b8d61ef7bf30d1594f17fe9219b0|08b20c22291115cb728f98f5e8c3b97ff3fcedda|32d5e8bf|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|80209|958|367054|147397480|c85e92c43cb84a4da395ed6c21b63d0f|5f0b1efb1f8c0895256de7cf2d247fd1|07367f185484b3c133008170ea3693973f7f52a3|29226c7a|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|80210|958|368043|147722467|753746c1a99116229461dfe2d922e303|91afe0a55b22ec6ab7f6dd8bbe2fc066|208714ff0c4eefff2e25f7025e35a7724949ad6b|88414277|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|81646|958|372747|147373874|8ff57789afde32dd10727598a09c88c3|7027e2decc8bf9edd300660851335ad6|fb2532e6ac7b661397e2773779acc658ec5e82f6|8a382ec2|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|82743|958|373593|147399922|6745cf91e16d9a7195b0461b4abe1323|2459e4e7da4654a989ef52149ff42dfa|4fffd00197af34e1a7bde08b5dcd561345d1caba|6af5c7dd|1530|10|high|704x400|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|2|mkv
5147|83071|958|380315|143919325|dc88584f8dbc11718e30d026fefaa7dd|47c8ac27e162ccdec0de74a8f780ec76|9c95f963d2d44963951c8dd10ae3b7556861bb3a|9257f2c5|1500|10|high|704x400|H264/AVC|(HE-)AAC|english|japanese|1|1|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
958|23384|Ayu|Ayu|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
284|Boing|0|500
378|Boobs in Your Face|0|300
369|Breast Fondling|0|300
242|Clubs|0|400
17|Comedy|0|600
289|Earth|0|600
282|Ecchi|0|500
60|Female Student|0|200
241|Harem|0|300
239|High School|0|400
23|Japan|0|600
52|Large Breasts|0|500
406|Mahjong|0|300
273|Manga|0|600
483|Mermaid|0|200
414|Nopan|0|200
88|Nudity|0|200
283|Pantsu|0|200
233|Plot Continuity|0|400
11|Present|0|400
5|Shounen|0|600
374|Skimpy Clothing|0|300
153|Slapstick|0|400
113|Sports|0|400
220|Stereotypes|0|500
384|Swimming|0|400
513|Transfer Student|0|200
84|Violence|0|200
285|Violent Retribution for Accidental Infringement|0|200


