AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5178|81251|1|Complete Movie|||100|04.08.2007 00:00|7.18|6|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5178|81251|1412|446487|734003200|1cd4d283e5e6077d657511909d0f6a44|95f1591739665290d11e3844d01d19bb|530d8d23f63044b5477bdcb1d2a1f5557796e6ba|75f57621|5689|10|very high|768x432|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
1412|33634|Dattebayo|DB|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
486|Calling Your Attacks|0|300
167|Demons|0|300
291|Fantasy World|0|400
273|Manga|0|600
20|Martial Arts|0|600
29|Ninja|0|600
5|Shounen|0|600
18|Super Power|0|500


