AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5192|72482|1|Strange Kind of Woman #1||Act.1「ストレンジ♥カインド オブ ウーマン#1」|30|25.05.2007 00:00|7.41|22|0|1
5192|72483|2|Strange Kind of Woman #2||Act.2「ストレンジ♥カインド オブ ウーマン#2」|30|27.07.2007 00:00|6.46|11|0|1
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5192|72482|4523|355901|240910498|3d7b8f33d409a70a7c11abd554118bae|e0aa5888b3423c48139a75429648051a|00a8d90ce8f1a9143c54b8b703542f95cfecf368|4ca33abf|1754|10|very high|704x396|H264/AVC|MP3 CBR|english|japanese|1|133|1|mkv
5192|72483|4523|358908|242096150|49b59448a8bcd4058fc6310bf990e89d|30093f0c4f6fcf6334e26ffee3afaa64|fda5c3dbcb6d12418346ef876e6caa3e258bbdde|f552ebe3|1689|10|very high|704x396|H264/AVC|MP3 VBR|english|japanese|1|129|1|mkv
GROUPS
GID|AGID|Name|ShortName|State
4523|22849|Ecchi-Ero Anime Philosophy|HEroAP|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|400
22|Asia|0|600
229|Chikan|1|100
360|Cream Pie|1|200
65|Dildos - Vibrators|1|500
359|Double Penetration|1|300
289|Earth|0|600
353|Fellatio|1|300
60|Female Student|0|500
333|Gangbang|1|100
23|Japan|0|600
52|Large Breasts|0|400
273|Manga|0|600
34|Masturbation|0|300
88|Nudity|0|600
354|Paizuri|1|300
11|Present|0|600
198|Romance|0|100
21|School Life|0|300
86|Sex|0|600
61|Virginity|1|200


