AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5210|82570|1|The New Chairman`s Ambition||新会長のココロザシ|25|10.10.2007 00:00|5.21|18|0|3
5210|83008|2|Discord at the Meeting||会議はモメル|25|17.10.2007 00:00|6.57|14|0|3
5210|83009|3|A Hot Summer`s Day||アツい夏の一日|25|24.10.2007 00:00|8.08|16|0|3
5210|83010|4|Are You an Item?||デキテンデスカ?|25|31.10.2007 00:00|9.47|18|0|3
5210|83011|5|Madarame: Total Uke||マダラメ総ウケ|25|07.11.2007 00:00|6.85|22|0|3
5210|83012|6|A Question of Tastes||趣味のモンダイ|25|14.11.2007 00:00|7.37|15|0|3
5210|83013|7|Graduation Syndrome||卒業症候群|25|21.11.2007 00:00|4.46|15|0|3
5210|83014|8|Cos-ken||こすけん|25|28.11.2007 00:00|5.43|14|0|3
5210|83015|9|It Always Rains on the Job Hunt||シューカツはいつも雨|25|05.12.2007 00:00|7.62|15|0|3
5210|83016|10|Otaku from the USA||オタク・フロムUSA|25|12.12.2007 00:00|6.56|18|0|3
5210|85783|11|Real Hard-Core||リアル・ハードコア|25|19.12.2007 00:00|8.45|15|0|3
5210|85798|12|What Lies Ahead...||その先にあるもの...|25|26.12.2007 00:00|8.06|14|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5210|82570|1412|374447|178257920|acf15202a351da725386c9ec630640cc|ffeafa35ad8dc070935c715952300723|4392729258574eb64f1a4dcf27c65258b67f1aa2|94f6c109|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83008|1412|377027|152249708|7b40d4ea6337dc39386cb6b60da00e90|65d538e2d76dd5be3d71b17762bf077d|5fe93f8efd4d64f060122acd855d2a8eff7d1518|ff945a14|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|5|3|avi
5210|83009|1412|379425|178325582|a22da8bd5bdd365ec4cef4bf1631b3a2|441ee92a88ce2b964783cd60100d0693|8dde9fdb473ec7cd0b2104f217398c313ef18d97|8cf238f9|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83010|1412|380828|178334340|143717cc3eedcd421d15d4708659fee3|b56375f1e86ac0a5f7e1671ee019a7cb|5709f9086fe0611e29aca268f9b0ed0a3244f6c5|923da595|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83011|1412|382774|152090050|75c6a5946e575326a40d28b0e13f6886|70aaba8b32eb610775aaff0bff6c6a5d|a91fcb0b433157b270f26c8ce44983598e7c5c68|bf71cc3f|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83012|1412|384529|178479870|2b4120b1b49e02661b4c966050f43f26|27d18334f132a98334d7b7af8124d417|cf1db088c1337ec66c3ed9115d90f285032a28b9|0a68a299|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83013|1412|386721|178295568|63a3380b6ad7334f852134f248470115|8dc003f5068231a13e4192f41e9f5dbd|ccdc7eb84f2ed03045539137e6c1a31db1947a7a|49307da7|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83014|1412|388476|178288882|0fcbde39fc80eb9ea48c34f1b7a8378d|0e6bb3da8909c5ef13cb04285f043b2e|a59580ded6aaa65f02876e259ce2755120cd57fe|bfefec8e|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83015|1412|391273|178590762|db8850e0eed457d5a939d4eed6ba2944|90a0d65782433f36f5f783554f83e608|07b0ee837dd115cad0f58b7da2463230b81c362d|d0de38d8|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|83016|1412|395149|178331376|d79a97a0f0f2fa471f5fdeb04ef268f8|54b72cf939adb7a338e55593c2128c3b|54008550e2f3654e23c5026ebe06d89d94bd3a05|6d48ca52|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|85783|1412|397471|178360734|dd6e40033c15b4507a2010a5c6d9f698|a0796f1053c1a722fc45bc57e92addad|0cf5befa7eecae1e555bdf547f8877f33cab66a8|42e88814|1420|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5210|85798|1412|400367|152054054|7debea370ecf8c1c2fd846a98e984579|3f8fdd40c4ca80fe6588e9d6c6d26a8c|e7f25b8e0a7739bd1ba30d5af8715cd7b6df37de|57cfcf20|1390|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
1412|29096|Dattebayo|DB|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
284|Boing|0|200
242|Clubs|0|600
240|College|0|600
17|Comedy|0|600
330|Coming of Age|0|300
470|Cosplay|0|200
236|Daily Life|0|500
289|Earth|0|600
282|Ecchi|0|300
23|Japan|0|600
52|Large Breasts|0|200
273|Manga|0|600
88|Nudity|0|100
283|Pantsu|0|100
151|Parody|0|300
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|300
21|School Life|0|600
79|Seinen|0|600
86|Sex|0|100
277|Shounen Ai|0|200
153|Slapstick|0|200
220|Stereotypes|0|400
340|Trap|0|200
84|Violence|0|100


