AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
528|5850|1|School of Black Magic||黒魔術の学園|30|21.07.2001 00:00|5.32|33|0|3
528|5854|2|Black Ceremony||黒の儀式|30|21.09.2001 00:00|6.35|23|0|3
528|5853|3|Black Sacrifice||黒の生贄|30|21.11.2001 00:00|5.27|22|0|3
528|5852|4|Black Caress||黒の愛撫|30|25.02.2002 00:00|5.43|19|0|3
528|5851|5|Black Dinner||黒の晩餐|30|25.12.2002 00:00|6.79|21|0|3
528|9484|6|Black Descent||黒の降臨|30|25.06.2003 00:00|6.85|17|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
528|5850|203|37676|245062890|dde5a361995ff61f6509e2d24445d3e6|2678b1c81d8c4ac0f125bad296463171|b6a6483ddc8b3e72ecd3fc2c9183211dc6311743|a1ccd123|1703|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|65|3|ogm
528|5854|203|37675|244983167|e257c16fd3385ff58f8543266025d931|a0202df6b3232e65fd1fffca9832a469|36e39ba59764f912bbc1603d243e58afce47b436|debffe30|1689|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|65|3|ogm
528|5853|203|37677|251136515|ad683733cefba07c7b7ba2bd5f367a1a|7bbb63c811f8f515b89436d6afa7cec3|660e9b7d1940208357d7710e3492e868525d9652|ba10d18a|1721|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|4161|3|ogm
528|5852|203|37678|230835082|385224895ded36c3fb1d355b87d45deb|9486f167a7c60b44d3ab773a5bbc3e0c|de419f0c18950a63d00d1ff1dd7e3d4dfc9e549e|59c14c2c|1715|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|4161|3|ogm
528|5851|203|48211|355913747|63198c6d3cd7571120efa82915a3d362|3e85e175cda3f5f62b40ad01068724e5|37eb5c639569bd094e88a7a4826e38f4b828d44d|85e1e67b|1735|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|65|3|ogm
528|9484|203|48212|379553681|486411f80e77943964a52961ac026d43|a2b712b5cd02a2ceada9be8edcfc9a53|fa4f430ad1771a994d6838b2a64a28821bfc33c3|24971588|1652|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|65|3|ogm
GROUPS
GID|AGID|Name|ShortName|State
203|3641|Hentai-Legacy|HL|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|500
327|BDSM|0|200
57|Bondage|0|200
358|Bukkake|1|200
360|Cream Pie|1|400
265|Dark Fantasy|0|600
167|Demons|0|400
65|Dildos - Vibrators|1|100
373|Doggy Style|1|300
359|Double Penetration|1|300
537|Drugs|0|100
407|Enema|1|300
271|Erotic Game|0|600
353|Fellatio|1|300
60|Female Student|0|500
336|Female Teacher|0|400
363|Femdom|0|300
55|Futanari|1|400
419|Futa x Female|1|600
333|Gangbang|1|400
554|Girl Rapes Another Girl|0|300
555|Guy Getting Raped|0|300
239|High School|0|600
154|Horror|0|400
23|Japan|0|600
52|Large Breasts|0|600
175|Magic|0|400
482|Magic Circles|0|600
34|Masturbation|0|100
433|Netorare|0|600
59|Nurse|0|300
354|Paizuri|1|300
233|Plot Continuity|0|200
11|Present|0|600
417|Public Sex|0|200
372|Pussy Sandwich|1|200
33|Rape|1|500
365|Rimming|1|100
21|School Life|0|600
86|Sex|0|600
546|Squirting|0|300
375|Stomach Stretch|1|200
516|Summoning|0|200
425|Teacher x Student|0|500
480|Uncensored Version Available|1|600
351|Urination|1|100
84|Violence|0|500
544|Voyeurism|0|300
388|Window Fuck|1|300
509|Witch|0|500
37|Yuri|1|200
479|Zettai Ryouiki|0|200


