AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5352|88258|1|Complete Movie|||95|22.12.2007 00:00|6.92|7|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5352|88258|1412|493194|734003200|ca28a647fd9009f6de4c6e6261549992|0255edbc6f80181ba5fbcd443753779d|36e5fdb6835443800a9086a010997234fc7b0376|2a49aca1|5561|10|high|768x432|H264/AVC|MP3 CBR|english|japanese|1|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
1412|36380|Dattebayo|DB|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
486|Calling Your Attacks|0|300
489|Dark-skinned Girl|0|300
289|Earth|0|300
273|Manga|0|600
209|Parallel Universe|0|300
11|Present|0|600
5|Shounen|0|600
18|Super Power|0|300
173|Swordplay|0|600
235|Tragedy|0|200


