AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
546|6024|1|OVA|||30|08.12.2000 00:00|-|0|0|1
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
546|6024|92|35172|219119616|d6ea5293c79d2f63545f06b088dee343|7a76442036843aa71815eb13afa3bc26|35d3a3974a765e051d503a707e747004b800a186|54b802b3|1706|10|high|800x600|DivX3|MP3 VBR|english|japanese|1|64|1|avi
GROUPS
GID|AGID|Name|ShortName|State
92|3257|Hentai-Heaven|HH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
327|BDSM|0|200
57|Bondage|0|200
336|Female Teacher|0|200
34|Masturbation|0|100
275|New|0|600
198|Romance|0|400
86|Sex|0|600
111|Strapon|1|200
47|Torture|0|200
480|Uncensored Version Available|1|600
64|Whip|0|200
37|Yuri|1|200


