AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5535|88798|1|Extreme Night||極夜|25|04.04.2008 00:00|7.12|26|0|3
5535|89833|2|With a Drain and Stream||溝と流れと|25|11.04.2008 00:00|6.88|20|0|3
5535|90082|3|Face of an Imposter||偽者の顔|25|18.04.2008 00:00|5.35|19|0|3
5535|90256|4|Clever One||才物|25|25.04.2008 00:00|6.43|18|0|3
5535|90362|5|Wish||望み|25|02.05.2008 00:00|5.82|16|0|3
5535|90437|6|A Light Probably Shines over Your Head||貴方の頭上に光が輝くでしょう|25|09.05.2008 00:00|4.40|27|0|3
5535|90647|7|Woman||女|25|16.05.2008 00:00|6.17|17|0|3
5535|90723|8|Taking Care of One`s Self and Cowardice||自愛と臆病と|25|23.05.2008 00:00|7.94|15|0|3
5535|90724|9|With You and Me||貴方と私と|25|30.05.2008 00:00|7.56|16|0|3
5535|91161|10|Dreadful Experience||慣れの恐怖|25|06.06.2008 00:00|6.88|13|0|3
5535|91238|11|I Think||われ思う|25|13.06.2008 00:00|7.48|14|0|3
5535|91327|12|Exist||われ存在り|25|20.06.2008 00:00|8.25|16|0|3
5535|90725|C1|Opening|||2|04.04.2008 00:00|4.95|3|0|3
5535|90726|C2|Ending|||2|04.04.2008 00:00|9.36|3|0|3
5535|91104|C3|Ending 2|||2|23.05.2008 00:00|6.82|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5535|88798|4678|468207|249224566|004c0d227636c234cbdb7fba4479e4e0|c53daaaa9aae7e35c2760f0b7dbf68db|fee09f7aaad7bd948b996e1c6be8a12493507a0d|36511006|1499|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4101|3|mkv
5535|89833|4678|468208|242382410|c4e99a6a1b28515d8ba0956bbd582b0f|447533a199229288e6c7b9730a7bfa0d|354b87ada14eb17f7eea25bcb81eb5c928e651cf|6346c714|1485|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4101|3|mkv
5535|90082|4678|468209|244443817|2afddc697339366020340ebf020c966f|da57a92031ab3056ede02e8ad9723a1f|653de37aa30d6a1ad252a61058f0978622e12814|d45a3415|1470|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4101|3|mkv
5535|90256|4678|446270|244456937|e1d35213a57ffd92e6076ec76da279fc|a95832332980f7942897bf37b974d47f|b7a974b10f154725ce5381ecc3208e7652817f9b|3f4e2e23|1465|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|90362|4678|450707|241867024|465b630a9f691049af6355f0d4490300|1862597397c92ef0a5f30a6864512dea|d7a72256fa3cda7ee59c32021ec158fbf99e9b35|b9954ecd|1465|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|90437|4678|453120|183316471|aee8445f367cf9ad70d0bbb0f244bef9|ca14861e23b1d8972844d407a71dd723|8aa3303d10e389cd66e4af656b28681fc5f6be9d|0356526f|1285|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|90647|4678|468210|183316198|de2efadcec1848374d4256fb18551115|440beda1511ba1c4a7bd59a1f09061ec|41bf7dce8b5f37cac564cb205c6e19bb795181f5|f9b75730|1285|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4101|3|mkv
5535|90723|4678|457652|183202656|f40f006b8b0303e9b4408d38d493d418|1e0a83788bc15f0c4b3d9f4a6ea5d3cd|6672ee09b991e4a56643f06d8959f8a6a9cf0c31|c802eab2|1285|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|90724|4678|459124|183239506|7e09b204030108c2921d24bc64ef4998|ed19b5411d317391597331cbf72e44e0|34a564d0b56af7edb92f1123789fd58b6706ee8b|ecec6fbb|1285|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|91161|4678|463191|183301078|8ec8023793deb51949b529a55317b9cc|61dd8bd7cebf1eb7c646d902b8118487|4ea7e06cedeb8d5929471ee0435361037584c7bc|a17eae93|1285|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|91238|4678|466429|259046490|142838325d93f8a4924dacfeef219dac|00bef8c2e0210f73e342d7e74e6eae98|00427f7b6ad058aece3ff73da11e4f5eac433c2a|6a0a040f|1285|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
5535|91327|4678|468211|244421744|22d4130b241527e3debc8421b73230c7|0be87b0f319b387651392f20739b733c|033b92d8e1671b05a4a6e33812ca1a8780de0655|9da1eeeb|1364|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4101|3|mkv
5535|90725|4678|453122|105619260|5b36b8f9edff2411907b920ea7e54ca9|1825bffed70bc525d821a16a7800bce5|efe5f5abd6a411f7eb532ff5752e8fe9bba6a362|01b79b1b|90|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|mkv
5535|90726|4678|453123|18150086|8872472a3b4b6e13000bd9ac30b4da7a|c18cb9af825d07627cbedcae52877bd7|c6e78acb83cd8734c1edf4ad6377f0e109297ed6|feb4acdc|90|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|mkv
5535|91104|4678|457655|28124998|67518ffcda13fe9513520b59d0bdc4a6|911a90eac73bdf845c15389154837fae|ea5ad734108ae81e100bd7d488d4db762403210e|724f14d7|90|10|very high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
4678|33043|BSS|BSS|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|300
22|Asia|0|600
240|College|0|200
17|Comedy|0|200
236|Daily Life|0|300
245|Delinquents|0|300
161|Detective|0|100
289|Earth|0|600
241|Harem|0|400
239|High School|0|300
328|Human Enhancement|0|200
48|Incest|0|200
23|Japan|0|600
73|Lolicon|0|100
20|Martial Arts|0|400
274|Novel|0|600
487|Parental Abandonment|0|300
11|Present|0|600
8|Sci-Fi|0|200
79|Seinen|0|600
18|Super Power|0|300
235|Tragedy|0|400
244|Twisted|0|400
295|Underworld|0|100
84|Violence|0|400
334|Yakuza|0|400


