AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5581|91937|1|Oh, No...||もう, ダメです...|25|11.07.2008 00:00|5.27|22|0|3
5581|91968|2|My First Time...||初めてなんです...|25|18.07.2008 00:00|5.78|16|0|3
5581|92044|3|It`s Over...||おしまいです...|25|25.07.2008 00:00|5.57|16|0|3
5581|92079|4|It`s Not Weird Is It...?||変じゃないでしょうか...?|25|01.08.2008 00:00|4.90|15|0|3
5581|92191|5|If You Look at Me Like That...||そんなに見られますと...|25|08.08.2008 00:00|5.05|13|0|3
5581|92192|6|It`s Natsukomi||なつこみ... です|25|15.08.2008 00:00|5.44|12|0|3
5581|92193|7|I Love You!||...大好きなんです!|25|22.08.2008 00:00|7.72|13|0|3
5581|92194|8|...Onii~san||...おに~さん☆|25|29.08.2008 00:00|4.58|10|0|3
5581|92486|9|I Was Happy...||嬉しかったんです...|25|05.09.2008 00:00|6.99|10|0|3
5581|92487|10|I Want to Be With You...||一緒に, いたいです...|25|12.09.2008 00:00|5.09|11|0|3
5581|92933|11|...Sorry to Keep You Waiting||...お待たせしました♪|25|19.09.2008 00:00|4.79|10|0|3
5581|92934|12|It`s a Secret!||秘密です!|25|26.09.2008 00:00|6.77|10|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5581|91937|5460|478697|177041408|ab20567af2dfa49769ba8f6edf678f49|fb0e727a1df9a00029ddc97b64c2c91a|0c1d028804a97576415a95e4013c6802c20d59e8|b3ccc0bd|1499|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5581|91968|5460|479525|176943104|e91e5c69682a884ba362fcd3963fcd48|cb2a0d867f214a2c66e15a84be9fdd82|ea3b777820d3323f8ef39f006d0cf3c13f436aca|07eec4ca|1500|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5581|92044|5460|481369|177899520|76fd85ee04d5ccff56f1f2940be69407|22cf0b99901c7be77f321c8cc7698114|a54b6adee14345c777200174a89e0a9dc9f98c6d|2e6866a1|1500|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5581|92079|5460|482735|177518592|df9ae9b45cbf0d81c2efc082d03ef275|32b66ed4769aa473142da05d066edcca|cc5f09494ee528c7839c1254d9a069b8ec169bae|c19feb11|1500|10|high|704x396|XviD|MP3 CBR|english|japanese|1|1|3|avi
5581|92191|3187|485390|177753064|5ccebefd4d20b541db82d4095792b3a9|e357a12030e3bd15389101b08a323546|a646b658f45e9099de94655f13facf5a05e483fc|7846a5a6|1499|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92192|3187|487077|177594920|71fa69536639eb20bd0d85b459b00ed9|79bba382ee11cd082ff7c3b7fa1a200a|8b1ee24e22cc3d9ca87a69b31b1507ddadb86bd8|49eb9457|1480|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92193|3187|488797|178294648|1ed5d45c3ad06f3be9fe441c7e579097|dd5af42f8fde29fa563760f72cf8835c|da37139bf96c28c204fd136bf0f22f7b6f50114b|155e9385|1499|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92194|3187|491415|178329626|1d94e52144ca574e22b747f56cacf926|d6bca1051bd634927c90272cd1197af3|6e0a71976723a93c517f41b29f9019e5d22b1243|b1a799a0|1500|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92486|3187|493651|178183946|60873f4b2f17fc9122f3850c5b0d8db5|1b5e74dbd51ba11347d3053edea8f7b7|1f6bf6cae2fb739bab0454d858d47c68cd1a91d5|e450820f|1498|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92487|3187|495582|178133054|cad38429177d38fac1eae690fdf216e4|bd0cdbbfc52dbb81299d0c8b041b59af|405c55dba5d1d387e56130752594388d929e31ed|f2ae3644|1500|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92933|3187|497310|177689648|dca98eb8cf89f599084c9c527e22fa46|1a85a0027cf65613a73f23bb300843c8|6d647f24a9465e0b32301c6cfb477d0ea8fe8a7c|6d05831f|1500|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
5581|92934|3187|499135|178319726|5586d3ff1df487cf3f745c56af14840b|90cfb57f34237296dbfbc0a79c583c4c|a62e823a981a0fd939c18406ea8a91b1fc33b4df|99b4acd8|1485|10|high|704x396|XviD|MP3 VBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
3187|35866|Misc. Enlightened Entertainment Works|m.3.3.w|complete
5460|35424|Baka Wolf &amp; Misc. Enlightened Entertainment Works|BakaWolf-m.3.3.w|dropped
GENREN
GenID|GenName|isHentai|Weight 
532|Alcohol|0|200
17|Comedy|0|400
470|Cosplay|0|200
236|Daily Life|0|600
241|Harem|0|300
108|Maid|0|200
274|Novel|0|600
283|Pantsu|0|100
487|Parental Abandonment|0|300
151|Parody|0|300
198|Romance|0|500
505|Slow When It Comes to Love|0|300
220|Stereotypes|0|200


