AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5602|85718|1|Unforgivable Round Butt||丸いお尻がゆるせない☆|30|29.02.2008 00:00|8.13|8|0|3
5602|89999|2|Tentacles and the Two Hanako-sans?||触手と二人の花子さん?|30|23.05.2008 00:00|7.10|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5602|85718|6348|497645|183495330|54d0a013f89c37d591acd08c53bf3d9e|fd92b925bbeda7855e179ec819bdcf11|ba6a16370c7f2cba785d25ea66840c470972d693|0e0c661e|1674|10|very high|704x480|H264/AVC|(HE-)AAC|english|japanese|1|128|3|mkv
5602|89999|6348|521854|175450643|3137633bfe1fac7da088b76ba50367a7|53664c41af19af364b614a898f986b3b|7a113a41670e56b1413e2fa7957858ca3bff3a9f|a6ec1ee3|1616|10|very high|704x480|H264/AVC|(HE-)AAC|english|japanese|1|128|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
6348|36640|Killer Maid|Killer-Maid|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|400
22|Asia|0|600
17|Comedy|0|400
393|Cum Swapping|1|300
167|Demons|0|400
289|Earth|0|600
352|Exhibitionism|0|300
15|Fantasy|0|400
60|Female Student|0|500
336|Female Teacher|0|300
55|Futanari|1|500
333|Gangbang|1|300
507|Ghost|0|300
23|Japan|0|600
52|Large Breasts|0|400
273|Manga|0|600
34|Masturbation|0|200
88|Nudity|0|600
233|Plot Continuity|0|600
11|Present|0|600
33|Rape|1|400
86|Sex|0|600
56|Tentacle|0|200
351|Urination|1|100
84|Violence|0|200
37|Yuri|1|500


