AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5673|88814|1|The Name Is Warp||名はワープ|25|11.04.2008 00:00|7.29|33|0|3
5673|90041|2|Stowaways||密航|25|18.04.2008 00:00|6.79|25|0|3
5673|90040|3|Chroniko`s Leather Boots||クロニコのながぐつ|25|25.04.2008 00:00|9.50|30|0|3
5673|90039|4|Grandma`s Room of Memories||ばあさんの記憶の部屋|25|02.05.2008 00:00|7.92|21|0|3
5673|90038|5|Abipa, the Utopian Planet||憧れの星アビパ|25|09.05.2008 00:00|8.95|19|0|3
5673|90037|6|Muscular Woman||筋肉質な女|25|16.05.2008 00:00|8.99|18|0|3
5673|90036|7|The Man Who Doesn`t Dwell in Memories||記憶に残らない男|25|23.05.2008 00:00|9.25|23|0|3
5673|90391|8|Sheep`s Clothing||化けの皮|25|13.06.2008 00:00|8.93|18|0|3
5673|90390|9|Shoot Warp!||ワープを討て!|25|20.06.2008 00:00|9.59|18|0|3
5673|91131|10|Kaiba||カイバ|25|11.07.2008 00:00|10.00|15|0|3
5673|91130|11|Turning Fan||まわるファン|25|18.07.2008 00:00|9.62|15|0|3
5673|91129|12|Everyone in the Clouds||みんな雲の中|25|25.07.2008 00:00|9.54|17|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5673|88814|5590|444148|244416319|8f33dea3aa3fef880cd7a7b898e3f9e7|f3aad9a3579596dfd29bca4883d58690|e3faca412485c111a1512e2ed2817e5a5bd7bb46|e99f0b13|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90041|5590|447381|244469929|a7cf217306d72727d232f0c8cd44765b|69ee96f1885ae4f7e51ca5189ede9439|514f3016ed2e43192d3444bee0ef344ce34051f3|118adc15|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90040|5590|448841|244397082|3c22e5ce23ec6a27b0efd78634f2c3c4|aa5004020ba4242d4c25ba1743b3f8c1|b21de2379ebb5421ffd513a6361734a80da9e67b|a32d4ba4|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90039|5590|451928|244440317|11b2be6aae86dffb8b9bc6c2096c0fd2|8bdee54261ed4e35ba434f256a050ec6|1cb4537838a15abbc2fb0ae40e421426b0d18199|98e37313|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90038|5590|457572|244390277|5aec42b3ec22d5b38cf72e10d6413a9f|f3caef77e73ed358664ac5d97e396764|81691a3eebd5e974d652e94f7d32d0b8a251b2b6|9accf92b|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90037|5590|459023|244218710|a1d1235b4a5b44d3d8d66e9c6c2dd13a|bdbb06962bee38e6fc03dfd6e8b28b23|040ce13f526db01339af9d47f9f58e75e7fa2cf4|47f8827f|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90036|5590|460325|244242123|f27922423f51c49375503472e802e77d|3a4a9009330d536ebe1e672126ce5e5e|9fbd2ffde3fae0ed37e13d918a723243f1c11584|cc9d7ee2|1442|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90391|5590|467057|244249807|6dadfcb59bdd374d42bac6026286599f|8f9dbf2b3f9058c66ddafd6f24d6dea0|738336215b702111f9ed9e1e75b647d90fa97526|553f7e1d|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|90390|5590|471905|288399165|8f83104efb89ed56cfdc9614f0d0c181|48bb6c172f06d20a3f10b479ef5b8d3b|ad4bf2a31a2416222bbdd33b7cd4c72f6bd84bd2|4550a239|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|91131|5590|481580|364943170|8f2a7a92abfe3cf2ce4ff4ecb97b698c|f3b21d0ae24eca7bb26556cf402a1588|bcd48c1f4ce312423ffb9cc387607590761fdbdc|19866061|1439|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|91130|5590|483544|365175920|4e947243f7be35648f913eb4841008b7|6e3d206d990f75209182c15b8b8d5a75|8844cc101f6467cd8879d72bc2f905dddb1ba150|048c066e|1440|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
5673|91129|5590|483824|364881539|b0e1bcf37688af9c6db5bb096b5b89b6|35e016ce721a3dd4b2af66dbb11fdc54|4cd581af0b3808658fb027c615106c795fdfc8c7|80de2feb|1439|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
5590|33473|Ureshii &amp; Froth-Bite|Ureshii-F-B|complete
GENREN
GenID|GenName|isHentai|Weight 
306|Adventure|0|500
532|Alcohol|0|200
119|Android|0|100
253|Cyberpunk|0|600
120|Cyborgs|0|100
186|Dystopia|0|500
291|Fantasy World|0|600
12|Future|0|600
329|Genetic Modification|0|200
328|Human Enhancement|0|200
323|Law and Order|0|200
13|Mecha|0|200
275|New|0|600
414|Nopan|0|300
128|Other Planet|0|400
198|Romance|0|400
8|Sci-Fi|0|600
79|Seinen|0|600
86|Sex|0|300
129|Shipboard|0|200
174|Space Travel|0|400
493|Terrorist|0|200
477|Toilet Humour|0|300
235|Tragedy|0|500
149|Transforming Robot|0|100
244|Twisted|0|600


