AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
568|6343|1|Inherit the Stars||惑星(ほし)を継ぐもの|25|05.04.2001 00:00|2.39|6|0|3
568|6347|2|The Ship Who Sang||歌う戦艦(ふね)|25|12.04.2001 00:00|1.78|3|0|3
568|6346|3|Rendezvous in Space||宇宙(そら)のランデブー|25|19.04.2001 00:00|1.50|3|0|3
568|6345|4|The Sentinel||前哨|25|26.04.2001 00:00|1.67|3|0|3
568|6344|5|Angels and Spaceships||天使と宇宙船|25|03.05.2001 00:00|1.01|1|0|3
568|6356|6|Hotline from the Past||過去からのホットライン|25|10.05.2001 00:00|4.15|4|0|3
568|6354|7|Ring World||リング・ワールド|25|17.05.2001 00:00|1.01|1|0|3
568|6352|8|The Moon is a Harsh Master||月は無慈悲な闇の帝王|25|24.05.2001 00:00|1.01|1|0|3
568|6350|9|Less Than Human||人間以下|25|31.05.2001 00:00|1.41|2|0|3
568|6349|10|The Men Women Don`t See||女たちの知らない男|25|07.06.2001 00:00|1.01|1|0|3
568|6355|11|Rite of Passage||成長への儀式|25|14.06.2001 00:00|2.10|2|0|3
568|6353|12|The Gentle Man of Ganymede||ガニメデの優しい男|25|21.06.2001 00:00|1.08|2|0|3
568|6351|13|Childhood`s Beginning||幼年期の始まり|25|28.06.2001 00:00|1.03|2|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
568|6343|374|157221|272209837|8ec81041a52396af32ddc81af4b33b40|a5de50cf13fb3e6104f597adca258018|3dfeb1aa56ef8e3e4fd44dbc519f1689201aa200|514ae95a|1367|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|5|3|mkv
568|6347|374|157222|276872106|cf6ba87c68d3a36e5ad3a25b9caa8006|27d1251ec8f9faf4d27d840bef966b31|1533e9cc314ac88936e03f4834af20037f0a7772|d69382ea|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6346|374|167075|258639823|c65dd8e0dd3f3ebcc2e15103fd1c59a1|f17dd3dfe470b79ff259093d030ed171|e9895760f841547776190f6dc74a7d49b2cc6d85|1b3f6eb8|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6345|374|167076|260296805|5739d8b30c3fc30f60596a31db99a97a|d1ff3e50d71b301a90f373ce23e57754|236a722930099cb66e98ba24d20a44b0c023b337|f5f48da3|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6344|374|218244|210527003|97ebfec15eb9b2f4e62af3b5b86c922f|dbe2733052c39eab54899901e3840de1|a1933aa8fc3f4cf31fa2c350705a0655c966ff4e|9620f2cf|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6356|374|218245|237313380|700b514b9329c54ed302665bb02116b8|5e59b368f09e1151f77a6932036f35cd|253259bdb44f2a2eafc1b64a27c88664c55d3640|139546d3|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6354|374|218243|237931225|a3af44f5745029eb7e3925ba33895684|6d9bb595492d1bb9783c275061615749|29416d5a86a4a7dec1ecfce6f4c80a4ddbd62f32|bf03eb08|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6352|374|218618|236663775|756537ca68a16a02aca6b1e2dfa894f0|9fc7480cbb2568df728d38500a461391|710bf59cda5e92955c539e9a700e063b24c9020f|f2933bb8|1315|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6350|374|218620|236834740|a58de12df8f7dc256da79a990badc294|7f0610a7b82ba59ff5937fe7abaff27b|ce6d92bb0d3879f7717e7b8d712d26760acbd01c|7933f3f7|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6349|374|218619|237069153|5cf9f1c67c3ecf6d3edb09980cbb417c|dc576c979e46c6248970ac039b059b6f|8329a083e4f01fc0dd15820a545218832a190a72|ac32f155|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6355|374|222627|236743117|a346c77aeaf8cd91935696faef79eb92|7a845ebcf62315f14e67dc4c427a61b5|072462a4943e8ec743b1d1098c0dd41b230c3d64|0376be33|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6353|374|222628|237137259|95ff259ec3a764d083e1d5d97de8c934|d3ccb6983cdc34368847c564f6e16505|e8cce0dd067157d5f29cd6605b992add3beae583|1e48a850|1316|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
568|6351|374|222837|234874704|6d8fdfb8f525621252b9ad29b287ffef|5ab4aa949a3891f54331ed85f3743f53|59aa02c75513aa814fde1afc20561d9030f32588|87b29e68|1300|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
374|180|KickAssAnime|KAA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
184|Alien|0|500
252|Angst|0|200
17|Comedy|0|400
330|Coming of Age|0|300
473|Confession|0|100
160|Conspiracy|0|400
253|Cyberpunk|0|500
489|Dark-skinned Girl|0|300
461|Debacle|0|400
186|Dystopia|0|300
289|Earth|0|100
282|Ecchi|0|200
539|Ecology|0|100
497|Friendship|0|400
12|Future|0|400
329|Genetic Modification|0|400
263|Gunfights|0|200
328|Human Enhancement|0|400
52|Large Breasts|0|200
20|Martial Arts|0|300
13|Mecha|0|400
275|New|0|600
128|Other Planet|0|100
118|Piloted Robot|0|300
484|Politics|0|200
198|Romance|0|100
8|Sci-Fi|0|400
129|Shipboard|0|500
374|Skimpy Clothing|0|300
153|Slapstick|0|200
505|Slow When It Comes to Love|0|300
19|Space|0|600
447|Space Colony|0|200
220|Stereotypes|0|200
235|Tragedy|0|300
244|Twisted|0|300
84|Violence|0|300
479|Zettai Ryouiki|0|200


