AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
5932|93176|1|OVA|||45|26.09.2008 00:00|9.07|12|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
5932|93176|1637|502913|367406217|ddf6caf6deaba651d813686f5c98e951|e1c3037d1bbfbb1be3030a3bd5ea8f24|5798da703991400c1315a9ebb93157052905cb41|5f74ae07|2523|10|very high|720x400|H264/AVC|(HE-)AAC|english|japanese|1|4097|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
1637|36974|Eien no Anime|EnA|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|100
22|Asia|0|400
504|Breaking the Fourth Wall|0|200
17|Comedy|0|600
330|Coming of Age|0|100
470|Cosplay|0|200
236|Daily Life|0|300
289|Earth|0|400
497|Friendship|0|300
23|Japan|0|400
273|Manga|0|600
487|Parental Abandonment|0|300
151|Parody|0|500
233|Plot Continuity|0|200
11|Present|0|400
518|School Excursion|0|200
21|School Life|0|100
79|Seinen|0|600
153|Slapstick|0|200
220|Stereotypes|0|300
342|Super Deformed|0|200
244|Twisted|0|200
147|Volleyball|0|200


