AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
61|378|1|Complete Movie|||85|18.11.1995 00:00|8.93|40|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
61|378|41|402|701952516|687a1fe037374915b19824e036e0198d|84d138d1544741a7a057d652673c7ee7|b5a495f360999704e7cb92c2bbbe4893819789b8|986a8d0f|4969|10|very high|640x336|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|4097|2|ogm
GROUPS
GID|AGID|Name|ShortName|State
41|2358|Zhentarim DivX|zx|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
22|Asia|0|600
177|Cops|0|500
253|Cyberpunk|0|600
120|Cyborgs|0|400
289|Earth|0|600
12|Future|0|600
328|Human Enhancement|0|400
23|Japan|0|600
323|Law and Order|0|500
273|Manga|0|600
88|Nudity|0|200
8|Sci-Fi|0|400
79|Seinen|0|600
203|Special Squads|0|500
84|Violence|0|400
130|Virtual Reality|0|400


