AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6107|98463|1|Fullmetal Alchemist||鋼の錬金術師|25|05.04.2009 00:00|4.81|67|0|3
6107|99294|2|The First Day||はじまりの日|25|12.04.2009 00:00|6.80|56|0|3
6107|99300|3|City of Heresy||邪教の街|25|19.04.2009 00:00|5.10|46|0|3
6107|99299|4|An Alchemist`s Anguish||錬金術師の苦悩|25|26.04.2009 00:00|7.25|44|0|3
6107|99298|5|Rain of Sorrows||哀しみの雨|25|03.05.2009 00:00|6.70|37|0|3
6107|99951|6|Road of Hope||希望の道|25|10.05.2009 00:00|5.62|36|0|3
6107|99950|7|Hidden Truths||隠された真実|25|17.05.2009 00:00|6.58|35|0|3
6107|99949|8|The Fifth Laboratory||第五研究所|25|24.05.2009 00:00|6.47|36|0|3
6107|99948|9|Created Feelings||創られた想い|25|31.05.2009 00:00|6.12|35|0|3
6107|102030|10|Separate Destinations||それぞれの行く先|25|07.06.2009 00:00|7.53|37|0|3
6107|103962|11|Miracle at Rush Valley||ラッシュバレーの奇跡|25|14.06.2009 00:00|5.03|38|0|3
6107|104001|12|One Is All, All Is One||一は全, 全は一|25|21.06.2009 00:00|6.41|35|0|3
6107|104000|13|Beasts of Dublith||ダブリスの獣たち|25|28.06.2009 00:00|7.21|34|0|3
6107|103999|14|Those Who Lurk Underground||地下にひそむ者たち|25|05.07.2009 00:00|8.38|37|0|3
6107|104978|15|The Envoy from the East||東方の使者|25|12.07.2009 00:00|6.19|32|0|3
6107|104977|16|Footsteps of a Comrade-in-Arms||戦友の足跡|25|19.07.2009 00:00|7.30|32|0|3
6107|105067|17|Cold Flame||冷徹な焔|25|26.07.2009 00:00|7.37|32|0|3
6107|105066|18|The Arrogant Palm of a Small Human||小さな人間の傲慢な掌|25|02.08.2009 00:00|7.99|31|0|3
6107|105065|19|Death of the Undying||死なざる者の死|25|09.08.2009 00:00|9.65|51|0|3
6107|106187|20|Father Before the Grave||墓前の父|25|16.08.2009 00:00|7.90|33|0|3
6107|106211|21|Advance of the Fool||愚者の前進|25|30.08.2009 00:00|8.09|32|0|3
6107|106210|22|Backs in the Distance||遠くの背中|25|06.09.2009 00:00|7.78|35|0|3
6107|106431|23|Girl on the Battlefield||戦場の少女|25|13.09.2009 00:00|8.96|33|0|3
6107|108372|24|Inside the Belly||腹の中|25|20.09.2009 00:00|8.70|33|0|3
6107|108371|25|Doorway of Darkness||闇の扉|25|27.09.2009 00:00|8.00|33|0|3
6107|108370|26|Reunion||再会|25|04.10.2009 00:00|9.12|40|0|3
6107|109069|27|Interlude Party||狭間の宴|25|11.10.2009 00:00|2.16|36|0|3
6107|109258|28|Father||おとうさま|25|18.10.2009 00:00|9.12|32|0|3
6107|109257|29|Struggle of the Fool||愚者の足掻き|25|25.10.2009 00:00|7.29|29|0|3
6107|109256|30|The Ishvalan War of Extermination||イシュヴァール殲滅戦|25|01.11.2009 00:00|6.51|32|0|3
6107|109255|31|The 520 Cens Promise||520センズの約束|25|08.11.2009 00:00|6.16|29|0|3
6107|111273|32|The Fuhrer`s Son||大総統の息子|25|15.11.2009 00:00|5.18|32|0|3
6107|111272|33|The Northern Wall of Briggs||ブリッグズの北壁|25|22.11.2009 00:00|6.68|33|0|3
6107|111271|34|Ice Queen||氷の女王|25|29.11.2009 00:00|6.63|32|0|3
6107|111270|35|The Shape of This Country||この国のかたち|25|06.12.2009 00:00|7.94|33|0|3
6107|111881|36|Family Portrait||家族の肖像|25|13.12.2009 00:00|8.11|34|0|3
6107|111919|37|The First Homunculus||始まりの人造人間[ホムンクルス]|25|20.12.2009 00:00|6.67|31|0|3
6107|111918|38|Conflict at Baschool||バズクールの激闘|25|27.12.2009 00:00|6.82|31|0|3
6107|112149|39|Daydream||白昼の夢|25|10.01.2010 00:00|6.89|32|0|3
6107|112959|40|Homunculus (The Dwarf in the Flask)||フラスコの中の小人[ホムンクルス]|25|17.01.2010 00:00|8.92|41|0|3
6107|112977|41|The Abyss||奈落|25|24.01.2010 00:00|8.22|37|0|3
6107|112976|42|Signs of a Counter Offensive||反撃の兆し|25|31.01.2010 00:00|8.28|34|0|3
6107|112975|43|Bite of the Ant||蟻のひと噛み|25|07.02.2010 00:00|7.82|34|0|3
6107|116315|44|Revving at Full Throttle||バリンバリンの全開|25|14.02.2010 00:00|7.11|31|0|3
6107|116427|45|The Promised Day||約束の日|25|21.02.2010 00:00|7.63|31|0|3
6107|116426|46|Looming Shadows||迫る影|25|28.02.2010 00:00|7.91|31|0|3
6107|116425|47|Emissary of Darkness||闇の使者|25|07.03.2010 00:00|7.24|33|0|3
6107|116804|48|The Oath in the Tunnel||地下道の誓い|25|14.03.2010 00:00|8.01|30|0|3
6107|116906|49|Filial Affection||親子の情|25|21.03.2010 00:00|7.31|30|0|3
6107|117037|50|Upheaval in Central||セントラル動乱|25|28.03.2010 00:00|8.84|32|0|3
6107|117215|51|The Immortal Legion||不死の軍団|25|04.04.2010 00:00|8.32|32|0|3
6107|117444|52|Combined Strength||みんなの力|25|11.04.2010 00:00|8.96|34|0|3
6107|117632|53|Flame of Vengeance||復讐の炎|25|18.04.2010 00:00|9.04|35|0|3
6107|117813|54|Beyond the Inferno||烈火の先に|25|25.04.2010 00:00|8.72|37|0|3
6107|117958|55|The Adults` Way of Life||大人たちの生き様|25|02.05.2010 00:00|8.55|28|0|3
6107|117993|56|The Return of the Fuhrer||大総統の帰還|25|09.05.2010 00:00|8.96|28|0|3
6107|117992|57|Eternal Leave||永遠の暇|25|16.05.2010 00:00|9.32|30|0|3
6107|117991|58|Sacrifices||ひとばしら|25|23.05.2010 00:00|8.18|27|0|3
6107|117990|59|Lost Light||失われた光|25|30.05.2010 00:00|8.93|31|0|3
6107|117989|60|Eye of Heaven, Gateway of Earth||天の瞳, 地の扉|25|06.06.2010 00:00|9.72|36|0|3
6107|117988|61|He Who Would Swallow God||神を呑みこみし者|25|13.06.2010 00:00|8.99|34|0|3
6107|117987|62|A Fierce Counterattack||凄絶なる反撃|25|20.06.2010 00:00|9.61|35|0|3
6107|117986|63|The Other Side of the Gateway||扉の向こう側|25|27.06.2010 00:00|9.85|38|0|3
6107|118848|64|Journey`s End||旅路の涯|25|04.07.2010 00:00|8.22|36|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6107|98463|2723|569752|346643904|c545f239d505a604c49c2747d0d3c085|38e8248c59c63ed383f21c30d53453e3|4c7027c4b757eac4eda110c845ab2fa3ebbfc05e|70c1405d|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99294|2723|572794|353649260|c646d82a184a33f4e4f98af39f29a044|c94b2925a98e5efd8739da420a53e601|078db6ee9dadf28e496ed5d3b8288e0bc94293de|8452c4bf|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99300|2723|576021|348462593|91b7f810f910ca0932bffa84384a7aef|fe03067f432bea11fa0d95e5acbc9dbe|0b04b91ee6f307dd9774ea6a50586af20314fb84|11e50952|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99299|2723|578268|347677045|a19c1d38dc2717f546881fdfc41cf397|c11e784314081674d622e924955fae27|660393c923a54a35b9112bdebb91070fde523907|0c79871d|1455|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99298|2723|582358|351988359|44ea0e549beb17672dcd77589c655124|08d8b6b147516732d06e1029130a5452|7b40dd78870496cb02ae5aaa78c890daabcc301d|3373df87|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99951|2723|585389|351235097|6658330403e82bf3333949ed69b1f07b|0542b66577ba49c9cf4c914731fb8117|9039eb42e88762dc5ce802275640a26fe0b4ab25|97c5cb7a|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99950|2723|588568|350933580|a407be8ffac02260f6309dd078a1a9e7|9b33d1e92140c7e180a0b3c21dbc3297|1aebed8475992cc2a9662b3ea6801ce7932e55e5|b9aa0038|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99949|2723|591351|351458897|99d35ee98ff6ee6d7639c6d856bb7035|df7843c0f6f8ec4b77d82cf043342b67|da102837e01f64a8151efbb64dcb23dbfe29e5c4|27ee07cf|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|99948|2723|595314|351123480|ce3e827f7b77c35985d39222c2708e60|8328834b77ffb78b5841d03e678a8a2e|274c40f8140da92ed09397a702608caa7e5d3e4c|3a18c972|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|102030|2723|598675|350802184|14314fddb19e639a0be57032eac35028|06af56f99ace47d466a4cd35658644d9|5766cf349d874946d07aef8fdf0646b155c9e3c4|1f079947|1469|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|103962|2723|600765|350624876|b4c6ee533565b21ae229c939c02f2541|ae78c386a4cc307288bccf2ef7f1e368|45a475668ec0b8114571f20162f433c04b0fd23d|a208f634|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|104001|2723|602919|351483512|5f4f337e254602dea5c9d7ebeb555b58|3ececcbb21b3be95c61af59ab1fa30ca|83005a16364a8c2b7615f4473df1f7156bdb7e4e|f6c1f1d2|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|104000|2723|605991|351045227|50c43ab82d4a9f0015e4d202d0638db9|d7236cf196facebf2ce5236a9b61a7f7|3b9a42aa84dfd62c5f2ef35333645dbf8a988cc2|9c826f6b|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|103999|2723|610183|351248759|7ea23be22a6d20b083c2e676315a2938|10f957c998792953db3bf71c44cef9e4|52c7d084acd7c7532610641ea68bac004d302610|6d502b9f|1469|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|104978|2723|613943|351163727|b364723c7fb79dc84252155373eb87e4|e9639595b728f2bd1327c13873234d06|d1a57128f6b88f8a927862ea3c0c20853afd5434|9feeb416|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|104977|2723|615486|350858233|bdd3723ea6015bc0feab7148238e74ee|f86386f7d43105fa7ef5c8ff90cddd56|6a9a288a241afa6a9776047850f1e9a783b0865f|e8914107|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|105067|2723|617671|351178970|12623dc8153e9fe2a46b50a58be3f877|b7055d8dfdbf0777795c20d5a4516163|8f25811a5d950ecd8d3f901de92e26e46200cc96|56c535ef|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|105066|2723|620731|350993933|5953a1e9c9b650acf96ffd0644e38265|cdde423acdb57ce6eb4f4fe1374d5cc5|91036c7bf4251eabb61c9ea8fb3df582ca97d3b1|17a0785b|1469|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|105065|2723|623421|351565330|2ff98f7048f70095119cb52afe1fb9aa|f1a39ba5be0d383cb5dd66d1761405ef|2eaec3d647dc3a569f9f4c5751e7a0cafaaf3711|fe59d457|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|106187|2723|626706|351845401|3083cfc81375bbc986be2fc2dd0c4545|cda20e95cf8cdc315bbd2b0d74781844|654b6797ccd3d33ea6f0e567ffb6f54fd519a5d3|2408c9f4|1469|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|106211|2723|635295|350482899|f2de45e02e13cd8806421384bb544235|f3795ee1ad06de4e89cb9e1cf7bf4872|643d0e720cd4c9058d67192d7c4c06dc39b56848|0f1f5696|1469|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
6107|106210|2723|641197|351286038|cd5bbb1ac05bd49ee3a3d7349adc832a|bc683432a16dfef96ec12bd453972ba9|c853c7b178e79a8683856d40f60400bf4ef50d01|4438145f|1470|10|high|1280x720|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|4097|3|mkv
