AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6171|104726|1|Complete Movie|||110|27.06.2009 00:00|9.15|17|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6171|104726|9153|743337|11724784014|f7559a1c2e7de2af13886a828b7569b0|df6194fc95c9fa5aa0a012d8f4c202a2|5cb22e302c10651f0daaaffa7d993e60a855da72|8b521921|6729|10|very high|1920x1080|H264/AVC|DTS|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9153|54349|Unlimited Translation Works &amp; THORAnime|UTW-THORA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
184|Alien|0|600
252|Angst|0|600
314|Anthropomorphism|0|400
378|Boobs in Your Face|0|300
454|Collateral Damage|0|300
282|Ecchi|0|200
12|Future|0|600
23|Japan|0|600
13|Mecha|0|600
171|Military|0|300
275|New|0|600
118|Piloted Robot|0|600
26|Post-apocalypse|0|600
8|Sci-Fi|0|400
5|Shounen|0|600
84|Violence|0|400


