AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6238|99338|1|I Picked Up a Prince||王子様を拾ったよ|25|10.04.2009 00:00|8.05|48|0|3
6238|99339|2|Melancholy Monday||憂鬱な月曜日|25|17.04.2009 00:00|8.05|38|0|3
6238|99673|3|On the Night of the Late Show||レイトショーの夜に|25|24.04.2009 00:00|7.86|36|0|3
6238|99672|4|Real Reality, Fabricated Reality||リアルな現実 虚構の現実|25|01.05.2009 00:00|7.73|36|0|3
6238|99671|5|This Is No Time to Be Thinking About That...||今そんなこと考えてる場合じゃないのに|25|08.05.2009 00:00|7.17|35|0|3
6238|100012|6|Eden of the East||東のエデン|25|15.05.2009 00:00|7.14|35|0|3
6238|100011|7|Flight of the Black Swan||ブラックスワン舞う|25|22.05.2009 00:00|7.10|35|0|3
6238|100010|8|Searching for the Path Already Lost||あらかじめ失われた道程をさがして|25|29.05.2009 00:00|6.43|33|0|3
6238|100009|9|A Man Too Ephemeral||ハカナ過ギタ男|25|05.06.2009 00:00|7.50|32|0|3
6238|100008|10|Who Killed Akira Takizawa?||誰が滝沢朗を殺したか|25|11.06.2009 00:00|8.66|33|0|3
6238|100007|11|The East That Continues On||さらにつづく東|25|19.06.2009 00:00|8.06|33|0|3
6238|111128|S1|Music Video - Oasis "Falling Down"|||5|27.05.2009 00:00|8.62|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6238|99338|7091|573702|366913862|d2f850b40782b19a298091c3a39e5179|83e96f1854240d98d893e0e2ec20c5d0|c8e9038214d31d1ce63522552b02d15ec5501573|03b976e4|1349|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|99339|7091|576684|366587159|a2d522a152a5224e6649f87c035f8330|4dd9c23617e99615ea7116b9d41df4f8|669ec4003196da2a3de3e30bc8fb6c1f016a6e1e|e8e65142|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|99673|7091|578706|366922043|cae7cbaa64e01e90236e510da8510c00|6b724ab43a83f04f15c533a84bb8a6fc|36b9937481521031fe811f3cf4c9426f2ce71678|81b65832|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|99672|7091|587049|366856036|b1fe2af6d9300e68786e2ac292c31b24|f1464d8f7d752cc3dac633e8dd51c9e5|12de82a053db254337be3f37301393507bdd5e35|f21fabfb|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|99671|7091|587635|366912846|6426491a6c39b86cb2bbed10f8190b35|58df9fe19b3aeb8523e581a57e97d519|07b1deada6bcedf29e5de8be5a6bcde448104757|9c4a6ca2|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|100012|7091|591472|366961226|ab88fabb7feeea96b7ad2f5eef179ad6|9605ac04cb73e770e6445659fdbd2350|cf874f278bdad2ad616f4fd88ab0adc151553397|89e61b1c|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|100011|7091|599399|366700485|4140abac81ba680799f2d8479549bce4|6995ff03d1638d5cfda8e1b042e8c5af|e39cb73bc9726fc5170dfbce183e95a679bdf4b4|123f77b9|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|100010|7091|601765|366691407|242036a380ee50927309fa31d222a9b6|31e128db6bdd8711651d0ef612cf0e77|45eba83ca6c1ab9f6b5b1a8d4af0f923ba201bb4|5eea3220|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|100009|7091|602735|366701685|b970a2e91ee4821b5710d4fa59d88246|db8c12143857242c0f573b63ce7b4688|6ad3a5d14076b609287b689d38e75877c214fe8f|3a696093|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|100008|7091|611564|366681092|c7155e5c08ba86028e28d1614af31309|21d7f4ff4986664c942f3a671bcb9f93|4775fb4ea86ff532eb3fbae73a4102e7a5d7a9ec|94691d32|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|100007|7091|613865|366390766|cef0c8a28afe5ae4dcd4f31ed847d7e1|be41b0f0a3e1c6cf1b0ada7b305e1634|c928556897c94faf7b4bf1c23f3777da35b05369|a7320701|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6238|111128|8137|663071|126179988|7e727a3a18dfa86199ee191a1513b0d2|73c22af627c5fcdb56d5e64210d7b045|9611c72aa8d940eec8657ef3846f44f78cd7ba5d|75eaf74c|264|10|very high|704x480|H264/AVC|AC3||english|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7091|40434|Frostii|Frostii|complete
8137|49993|Grohotun|Grohotun|specials only
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|300
127|Alternative Present|0|600
512|Battle Royale|0|400
17|Comedy|0|200
160|Conspiracy|0|400
161|Detective|0|200
289|Earth|0|600
12|Future|0|200
23|Japan|0|500
286|Josei|0|600
345|Middle East|0|200
275|New|0|600
88|Nudity|0|200
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|400
8|Sci-Fi|0|200
86|Sex|0|100
550|Sudden Naked Guy Appearance|0|300
493|Terrorist|0|200
172|Thriller|0|300
24|United States of America|0|200
84|Violence|0|200


