AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6262|95981|1|A Summer Day`s Dream||夢想夏郷|25|29.12.2008 00:00|5.53|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6262|95981|7076|534729|189519101|4703175bf7ae7a18d3a15a5ccb625da9|334dca239c5b9afff83dbd2210d7f30d|26c1e05d744dd37e2f661b5e3ba6597a8e7122ab|3164c789|1237|10|high|720x480|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7076|38361|Strike-Subs &amp; Ayako|StrikeS-Ayako|dropped
GENREN
GenID|GenName|isHentai|Weight 
270|Action Game|0|600
236|Daily Life|0|400
15|Fantasy|0|600
291|Fantasy World|0|500
269|Game|0|600
201|Juujin|0|400
175|Magic|0|600
482|Magic Circles|0|200
247|Mahou Shoujo|0|400
158|Vampire|0|300


