AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6367|102626|8|Bamboo Leaf Rhapsody||笹の葉ラプソディ|25|22.05.2009 00:00|7.69|36|0|1
6367|103079|12|Endless Eight I||エンドレスエイト|25|19.06.2009 00:00|5.48|39|0|1
6367|103080|13|Endless Eight II||エンドレスエイト|25|26.06.2009 00:00|6.15|36|0|1
6367|103888|14|Endless Eight III||エンドレスエイト|25|03.07.2009 00:00|1.78|45|0|1
6367|104933|15|Endless Eight IV||エンドレスエイト|25|10.07.2009 00:00|1.75|46|0|1
6367|103889|16|Endless Eight V||エンドレスエイト|25|17.07.2009 00:00|1.86|43|0|1
6367|104932|17|Endless Eight VI||エンドレスエイト|25|24.07.2009 00:00|1.61|39|0|1
6367|104931|18|Endless Eight VII||エンドレスエイト|25|31.07.2009 00:00|1.53|36|0|1
6367|104930|19|Endless Eight VIII||エンドレスエイト|25|07.08.2009 00:00|3.67|34|0|1
6367|105133|20|The Sigh of Haruhi Suzumiya I||涼宮ハルヒの溜息I|25|14.08.2009 00:00|4.69|25|0|1
6367|105134|21|The Sigh of Haruhi Suzumiya II||涼宮ハルヒの溜息II|25|21.08.2009 00:00|6.18|21|0|1
6367|105135|22|The Sigh of Haruhi Suzumiya III||涼宮ハルヒの溜息III|25|28.08.2009 00:00|6.05|20|0|1
6367|105136|23|The Sigh of Haruhi Suzumiya IV||涼宮ハルヒの溜息IV|25|04.09.2009 00:00|7.03|23|0|1
6367|105137|24|The Sigh of Haruhi Suzumiya V||涼宮ハルヒの溜息V|25|11.09.2009 00:00|6.94|21|0|1
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6367|102626|3|591291|139306870|0d37ce360248b67998139c7d8df01d8b|f760ca53bd126bdfe421ebdbf4f8a4a1|296580546c9bff223c010526630c8889efa47448|b0a9ec86|1477|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|103079|3|602953|183511092|52cd6835d23daae28c5ff30968afc837|f93342d08b583bcff757bfa9597abbfa|7a0e31e40134b9185e3f81730b786a6d128fe8d8|074ef365|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|103080|3|605868|176956072|a4d9a3dc677ac2c209b3842435d37d18|623b44f31cc9c4b90772b2126bb5df91|2922d9f66c5575db56f78b6a27f50d365f96f480|f6d1a015|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|103888|3|610212|183500758|c9a242fb9322f40775f98b97a4c0af94|22a12ea866a0c7cd95568a7389119a5b|be76dbd9f4d91b67e37dd4d9d3513a099ade858a|a0582df1|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|104933|3|612673|182978284|f585709299cfca36601d2a09e48ad6bf|73cd51b999e141221c083472e88fef34|dc7d38f79f09d5bf796f34bce51e6f6fc988cf27|2bac6de7|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|103889|3|615420|183464662|feecaacdbf540974d84a2f2af74071ea|d2d8959f9ace995606adfbfd50b49be1|add0fb5c75d51f4e27f974258dc16901ca93f3c9|8fc1c017|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|104932|3|617708|183506430|cdabf7ff2f7ae1cae1de30477108b022|d80ad5862259ae159b21cb8bbf486ed3|d04597e93ddd38766fd2d93c77c5d905625780fc|9f8fff8d|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|104931|3|620577|183489826|2ff7a3a14a62c03e12af0c64dc1f5ca2|35e0069b733ae74a50dd9c45c13ecff1|343bbfc5cbac0883a0e331cae6db50b2ea4e9723|2ac7c240|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|104930|3|623647|183493674|d457876d0ab9fe9e4a02aeda0192406e|cc3cf6a1f2e005a39b5c4054b27deef6|48a726891932288aefb71767e94d6b9958c3e7d3|b22565c9|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|105133|3|626503|183535350|16c34c78c0f01e6529b21ae74d7baa9f|1e92ec23e8bff376a51677a79d63d103|139ed8d0407ad87c69959a1cb2d5b1709e1ae72f|d116deb9|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|105134|3|630209|183503432|c7761b6ad4a955cd044937ebd6eb5ec6|c6a0733f5de00616ec0236f3d0fc0f2e|c2eaf8a9b251c94effedc184a519bd996077ea3f|85786b56|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|105135|3|635287|183543154|ca7bf58b10a948a01b7c699be70c4573|38c7f832d11e312ea86a887bb6f09a9a|66a6b49923c931882332875261fc81980862d242|27ee2de5|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|105136|3|641237|165036862|049917e26cb6fd4e55ba498c0a37c65c|d5c4d5c77187bbae46bd5c7a58832168|592ec9496aa2d221919095d98621b7191a698ec9|ca6c81a1|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
6367|105137|3|644493|139286612|a8dbd1352fb12d14b001914e8db5975f|13159068a074b9ba4a33c7a198e7a368|d1c41ac031b7673a3a405761db3ac393ea0582c6|87050a62|1480|10|high|704x396|XviD|MP3 CBR|english|japanese|0|1|1|avi
GROUPS
GID|AGID|Name|ShortName|State
3|42028|a.f.k.|a.f.k.|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
184|Alien|0|200
252|Angst|0|200
22|Asia|0|600
137|Baseball|0|100
369|Breast Fondling|0|300
242|Clubs|0|600
17|Comedy|0|400
330|Coming of Age|0|200
183|Contemporary Fantasy|0|200
470|Cosplay|0|200
289|Earth|0|600
282|Ecchi|0|300
239|High School|0|600
185|Humanoid Alien|0|400
23|Japan|0|600
534|Karaoke|0|200
411|Lingerie|0|300
274|Novel|0|600
487|Parental Abandonment|0|300
151|Parody|0|200
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|200
21|School Life|0|600
492|School Sports Festival|0|200
8|Sci-Fi|0|400
79|Seinen|0|600
220|Stereotypes|0|400
481|Summer Festival|0|200
18|Super Power|0|400
384|Swimming|0|200
494|Talking Animals|0|200
163|Time Travel|0|500
513|Transfer Student|0|200


